Name,Lifetime,Nationality,Genre,Notable Works
Gore Vidal,1925,American,novelist,"The City and the Pillar, Myra Breckinridge"
David Vinas,1929,Argentine,"novelist, dramatist",Un Dios Cotidiano
Bruno Vogel,1898,German,"novelist, short stories",Alf
Sylvia Townsend Warner,1893,English,"novelist, poet, activist",A Moral Ending and Other Stories
John Weir,1959,American,"novelist, journalist","The Irreversible Decline of Eddie Socket, What I Did Wrong"
Denton Welch,1915,English,"writer, painter",Maiden Voyage
Robert Westfield,1972,American,novelist,Suspension
Joshua Whitehead,None,Canadian,"poet, novelist","Full-Metal Indigiqueer, Johnny Appleseed"
Angus Wilson,1913,English,author,Hemlock and After
Douglas Wilson,1950,Canadian,"journalist, novelist",Labour of Love
Jacqueline Wilson,1945,English,novelist,"The Story of Tracy Beaker, Double Act, Hetty Feather"
Jia Qing Wilson-Yang,None,Canadian,novelist,Small Beauty
Donald Windham,1920,American,novelist and memoirist,The Dog Star
Marnie Woodrow,1969,Canadian,novelist,Spelling Mississippi
Virginia Woolf,1882,English,novelist,Orlando: A Biography
Bart Yates,1962,American,novelist,"Leave Myself Behind, Brothers Bishop, The Distance Between Us"
Marguerite Yourcenar,1903,French,novelist,Memoirs of Hadrian
Luis Zapata,1951,Mexican,novelist,De petalos perennes (Perennial Petals)
Eve Zaremba,1930,Polish/Canadian,mystery novelist,"A Reason to Kill, The Butterfly Effect"
Fiona Zedde,1976,Jamaican-American,novelist,Bliss
Cyd Zeigler,1973,American,sportswriter,The Outsports Revolution: Truth and Myth in the World of Gay Sports
Alexander Ziegler,1944,Swiss,"journalist, novelist",Die Konsequenz
Richard Zimler,1956,American/Portuguese,novelist,"The Last Kabbalist of Lisbon, Hunting Midnight, The Search for Sana, The Seventh Gate, The Warsaw Anagrams"
