id,name,genres,publisher,year,page_count,purchase_link,price,avg_rating,num_ratings,maturity_rating,language,description,image,authors
289,The Collected Tales of Nikolai Gogol,['Fiction'],Vintage,2011-08-17,464.0,https://play.google.com/store/books/details?id=LOgv3WtDAbMC&rdid=book-LOgv3WtDAbMC&rdot=1&source=gbs_api,14.99,,,NOT_MATURE,en,"Using, or rather mimicking, traditional forms of storytelling Gogol created stories that are complete within themselves and only tangentially connected to a meaning or moral. His work belongs to the school of invention, where each twist and turn of the narrative is a surprise unfettered by obligation to an overarching theme. Selected from Evenings on a Farm near Dikanka, Mirgorod, and the Petersburg tales and arranged in order of composition, the thirteen stories in The Collected Tales of Nikolai Gogolencompass the breadth of Gogol's literary achievement. From the demon-haunted “St. John's Eve ” to the heartrending humiliations and trials of a titular councilor in “The Overcoat,” Gogol's knack for turning literary conventions on their heads combined with his overt joy in the art of story telling shine through in each of the tales. This translation, by Richard Pevear and Larissa Volokhonsky, is as vigorous and darkly funny as the original Russian. It allows readers to experience anew the unmistakable genius of a writer who paved the way for Dostevsky and Kafka.",http://books.google.com/books/content?id=LOgv3WtDAbMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Nikolai Gogol']
290,"The Complete Tales of Nikolai Gogol, Volume 1",['Fiction'],University of Chicago Press,1985-04-15,301.0,,,4.0,2.0,NOT_MATURE,en,A collection of short stories portrays life in rural Russia and satirizes Russian society,http://books.google.com/books/content?id=FRTtBFZiWUUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"['Nikolai Gogol', 'Николай Васильевич Гоголь']"
291,Dead Souls ( Illustrated Classics ),,,2021-01-10,396.0,,,,,NOT_MATURE,en,"Since its publication in 1842, Dead Souls has been celebrated as a supremely realistic portrait of provincial Russian life and as a splendidly exaggerated tale; as a paean to the Russian spirit and as a remorseless satire of imperial Russian venality, vulgarity, and pomp. As Gogol's wily antihero, Chichikov, combs the back country wheeling and dealing for ""dead souls""--deceased serfs who still represent money to anyone sharp enough to trade in them--we are introduced to a Dickensian cast of peasants, landowners, and conniving petty officials, few of whom can resist the seductive illogic of Chichikov's proposition. This lively, idiomatic English version by the award-winning translators Richard Pevear and Larissa Volokhonsky makes accessible the full extent of the novel's lyricism, sulphurous humor, and delight in human oddity and error.",http://books.google.com/books/content?id=kvApzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Nikolai Gogol']
292,And the Earth Will Sit on the Moon,['Fiction'],Pushkin Collection,2021-04-06,224.0,https://play.google.com/store/books/details?id=E--3DwAAQBAJ&rdid=book-E--3DwAAQBAJ&rdot=1&source=gbs_api,14.99,,,NOT_MATURE,en,"Fresh, stylish new translations of Gogol's greatest short stories collected in a beautiful edition Admired by writers from Nabokov to Bulgakov to George Saunders, Gogol is considered one of the more enigmatic of the Russian greats. He only wrote one novel, Dead Souls, and destroyed much of his later work, so his stories constitute his major output. In this collection, beautifully and skilfully translated by Oliver Ready, Gogol's three greatest St Petersburg stories - 'The Nose', 'The Overcoat' and 'The Diary of a Madman' - are presented alongside three masterworks set in the Ukrainian and Russian provinces, demonstrating the breadth of Gogol's work. Gogol's extraordinary work is characterised by his idiosyncratic and often very funny sensibility, and these stories offer us his unique, original and marvellously skewed perspective on the world.",http://books.google.com/books/content?id=E--3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Nikolai Gogol']
293,The Nose and Other Stories,['Literary Collections'],Columbia University Press,2020-09-01,,https://play.google.com/store/books/details?id=p3TDDwAAQBAJ&rdid=book-p3TDDwAAQBAJ&rdot=1&source=gbs_api,16.99,,,NOT_MATURE,en,"Nikolai Gogol’s novel Dead Souls and play The Government Inspector revolutionized Russian literature and continue to entertain generations of readers around the world. Yet Gogol’s peculiar genius comes through most powerfully in his short stories. By turns—or at once—funny, terrifying, and profound, the tales collected in The Nose and Other Stories are among the greatest achievements of world literature. These stories showcase Gogol’s vivid, haunting imagination: an encounter with evil in a darkened church, a downtrodden clerk who dreams only of a new overcoat, a nose that falls off a face and reappears around town on its own, outranking its former owner. Written between 1831 and 1842, they span the colorful setting of rural Ukraine to the unforgiving urban landscape of St. Petersburg to the ancient labyrinth of Rome. Yet they share Gogol’s characteristic obsessions—city crowds, bureaucratic hierarchy and irrationality, the devil in disguise—and a constant undercurrent of the absurd. Susanne Fusso’s translations pay careful attention to the strangeness and wonder of Gogol's style, preserving the inimitable humor and oddity of his language. The Nose and Other Stories reveals why Russian writers from Dostoevsky to Nabokov have returned to Gogol as the cornerstone of their unparalleled literary tradition.",http://books.google.com/books/content?id=p3TDDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Nikolai Gogol']
294,Delphi Complete Works of Nikolai Gogol (Illustrated),['Fiction'],Delphi Classics,2013-11-17,3491.0,https://play.google.com/store/books/details?id=yHUbAgAAQBAJ&rdid=book-yHUbAgAAQBAJ&rdot=1&source=gbs_api,1.99,,,NOT_MATURE,en,"This unique eBook presents the complete FICTIONAL works of Nikolai Gogol, with beautiful illustrations, informative introductions and the usual Delphi bonus material. (4MB Version 1) * Beautifully illustrated with images relating to Gogol's life and works * Concise introductions to the novels and other works * The complete novels, stories and plays, with contents tables * Features many of Constance Garnett's original translations * Images of how the books were first printed, giving your eReader a taste of the original texts * Excellent formatting of the texts * Special chronological and alphabetical contents tables for the short stories * Easily locate the short stories you want to read * Special criticism section, with two essays evaluating Gogol's contribution to literature * Scholarly ordering of texts into chronological order and literary genres CONTENTS: The Novels TARAS BULBA DEAD SOULS The Short Story Collections EVENINGS ON A FARM NEAR DIKANKA ARABESQUES MIRGOROD UNCOLLECTED SHORT STORIES The Short Stories LIST OF SHORT STORIES IN CHRONOLOGICAL ORDER LIST OF SHORT STORIES IN ALPHABETICAL ORDER The Plays MARRIAGE THE GAMBLERS THE GOVERNMENT INSPECTOR The Criticism GOGOL BY IVAN PANIN EXTRACT FROM ‘ESSAYS ON RUSSIAN NOVELISTS’ BY WILLIAM LYON PHELPS",http://books.google.com/books/content?id=yHUbAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Nikolai Gogol']
295,The Mysterious Portrait,['Art'],Good Press,2021-04-11,48.0,https://play.google.com/store/books/details?id=0rMqEAAAQBAJ&rdid=book-0rMqEAAAQBAJ&rdot=1&source=gbs_api,0.99,,,NOT_MATURE,en,"""The Mysterious Portrait"" by Nikolai Gogol. Published by Good Press. Good Press publishes a wide range of titles that encompasses every genre. From well-known classics & literary fiction and non-fiction to forgotten−or yet undiscovered gems−of world literature, we issue the books that need to be read. Each Good Press edition has been meticulously edited and formatted to boost readability for all e-readers and devices. Our goal is to produce eBooks that are user-friendly and accessible to everyone in a high-quality digital format.",http://books.google.com/books/content?id=0rMqEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Nikolai Gogol']
296,The Night of Christmas Eve,['Art'],Good Press,2021-04-10,47.0,https://play.google.com/store/books/details?id=D7UqEAAAQBAJ&rdid=book-D7UqEAAAQBAJ&rdot=1&source=gbs_api,0.99,,,NOT_MATURE,en,"""The Night of Christmas Eve"" by Nikolai Gogol (translated by George Tolstoy). Published by Good Press. Good Press publishes a wide range of titles that encompasses every genre. From well-known classics & literary fiction and non-fiction to forgotten−or yet undiscovered gems−of world literature, we issue the books that need to be read. Each Good Press edition has been meticulously edited and formatted to boost readability for all e-readers and devices. Our goal is to produce eBooks that are user-friendly and accessible to everyone in a high-quality digital format.",http://books.google.com/books/content?id=D7UqEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Nikolai Gogol']
297,Dead Souls,,,2021-04-16,168.0,,,,,NOT_MATURE,en,"Since its publication in 1842, Dead Souls has been celebrated as a supremely realistic portrait of provincial Russian life and as a splendidly exaggerated tale; as a paean to the Russian spirit and as a remorseless satire of imperial Russian venality, vulgarity, and pomp. As Gogol's wily antihero, Chichikov, combs the back country wheeling and dealing for ""dead souls""--deceased serfs who still represent money to anyone sharp enough to trade in them--we are introduced to a Dickensian cast of peasants, landowners, and conniving petty officials, few of whom can resist the seductive illogic of Chichikov's proposition.",http://books.google.com/books/content?id=a1JmzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Nikolai Gogol']
298,"Nikolai Gogol, Short Stories Collection",['Fiction'],CreateSpace,2014-08-28,370.0,,,,,NOT_MATURE,en,"Nikolai Vasilievich Gogol (1809 - 1852) was a Ukrainian-born Russian dramatist, novelist and short story writer. Considered by his contemporaries one of the preeminent figures of the natural school of Russian literary realism, later critics have found in Gogol's work a fundamentally romantic sensibility, with strains of Surrealism and the grotesque. His early works, such as Evenings on a Farm Near Dikanka, were influenced by his Ukrainian upbringing, Ukrainian culture and folklore. His later writing satirised political corruption in the Russian Empire (The Government Inspector, Dead Souls), leading to his eventual exile. The novel Taras Bulba (1835) and the play Marriage (1842), along with the short stories ""Diary of a Madman,"" ""The Tale of How Ivan Ivanovich Quarreled with Ivan Nikiforovich,"" ""The Portrait"" and ""The Carriage,"" round out the tally of his best-known works. In this book: The Mantle and Other Stories Translator: Claud Field The Inspector-General Translator: Thomas Seltzer Dead Souls Translator: D. J. Hogarth Taras Bulba and Other Tales",http://books.google.com/books/content?id=P1_EoQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"['Nikolai Gogol', 'Claud Field', 'Thomas Seltzer', 'D. j. Hogarth']"
299,Petersburg Tales,['Fiction'],Alma Books,2018-01-01,,https://play.google.com/store/books/details?id=UX5jDwAAQBAJ&rdid=book-UX5jDwAAQBAJ&rdot=1&source=gbs_api,4.06,,,NOT_MATURE,en,"Written in the 1830s and early 1840s, these comic stories tackle life behind the cold and elegant facade of the Imperial capital from the viewpoints of various characters, such as a collegiate assessor who one day finds that his nose has detached itself from his face and risen the ranks to become a state councillor ('The Nose'), a painter and a lieutenant whose romantic pursuits meet with contrasting degrees of success ('Nevsky Prospect') and a lowly civil servant whose existence desperately unravels when he loses his prized new coat ('The Overcoat').Also including the 'Diary of Madman', these Petersburg Tales paint a critical yet hilarious portrait of a city riddled with pomposity and self-importance, masterfully juxtaposing nineteenth-century realism with madcap surrealism, and combining absurdist farce with biting satire.",http://books.google.com/books/content?id=UX5jDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Nikolai Gogol']
300,The Overcoat,,,2014-11-25,52.0,,,4.5,6.0,NOT_MATURE,en,"This early work by Nikolai Gogol was originally published in 1835 and we are now republishing it with a brand new introductory biography. 'The Overcoat' is a short story about a government clerk who has his precious new overcoat stolen. No-one seems willing to help him retrieve his prized possession, a fact that continues to concern him even when he is beyond the grave. Nikolai Vasilievich Gogol was born in Sorochintsi, Ukraine in 1809. In 1831, Gogol brought out the first volume of his Ukrainian stories, 'Evenings on a Farm Near Dikanka'. It met with immediate success, and he followed it a year later with a second volume. 'The Nose' is regarded as a masterwork of comic short fiction, and 'The Overcoat' is now seen as one of the greatest short stories ever written; some years later, Dostoyevsky famously stated ""We all come out from Gogol's 'Overcoat'."" He is seen by many contemporary critics as one of the greatest short story writers who has ever lived, and theFather of Russia's Golden Age of Realism.""",http://books.google.com/books/content?id=wuDerQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Nikolai Gogol']
301,Dead Souls,['Fiction'],Vintage,1997,402.0,,,,,NOT_MATURE,en,"Chichikov, an amusing and often confused schemer, buys deceased serfs' names from landholders' poll tax lists hoping to mortgage them for profit",http://books.google.com/books/content?id=XKxvQFyoGyQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Nikolai Gogol']
302,7 Best Short Stories by Nikolai Gogol,['Fiction'],Tacet Books,2019-01-10,100.0,,,,,NOT_MATURE,en,"Nikolai Gogol had a strong literary upbringing: he learned Ukrainian and Russian, his father wrote poetry and was an amateur playwright, and as a child Gogol helped stage his uncle's plays. He began writing while at a school of higher art in Nizhyn, where he earned the nickname ""mysterious dwarf."" He had a dark and secretive disposition, developed a talent for mimicry and satire, which eventually led to his exile from Russia. His satire was unconventional and much more sophisticated than his contemporaries. Seven of the most iconic tales from the author were selected by the critic August Nemo for your enjoyment: The Nose The Viy The Cloak Old-Fashioned Farmers The Overcoat Memoirs of a Madman The Mysterious Portrait",http://books.google.com/books/content?id=ld-EDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Nikolai Gogol']
303,The Cloak,,Independently Published,2021-03-11,46.0,,,,,NOT_MATURE,en,"""The Cloak"" tells the story of the life and death of Akaky Akakievich Bashmachkin, an unremarkable and indeed pathetic middle-aged titular councillor and copying clerk serving in an unnamed department of the Russian civil service. Though Akaky has very little and is cruelly picked on by his coworkers, Akaky displays no discontentment with his plight, in fact even openly relishing his copying work, in which he appears to find some interesting world of his own. His life is thrown into disarray, however, when he finds that he must buy a new overcoat, a great expense for which he is unprepared. Though he is initially upset by the need for the new overcoat, he soon finds in the quest to save up for and design the new overcoat a higher purpose. The thought of the new overcoat becomes a deep comfort to him, like having a steady companion. The day he receives the coat is the happiest day of his life. However, a turn of events leads to the sudden loss of his coat, and shortly thereafter, of his own life. After his death, Akaky returns as a ghost to haunt St. Petersburg for a time, stealing coats, and in particular the coat of a general who had refused to help Akaky.",http://books.google.com/books/content?id=8SJUzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Nikolai Gogol']
304,Essential Novelists - Nikolai Gogol,['Literary Collections'],Tacet Books,2020-05-03,319.0,https://play.google.com/store/books/details?id=for4DwAAQBAJ&rdid=book-for4DwAAQBAJ&rdot=1&source=gbs_api,2.99,,,NOT_MATURE,en,"Welcome to the Essential Novelists book series, were we present to you the best works of remarkable authors. For this book, the literary critic August Nemo has chosen the two most important and meaningful novels of Nikolai Gogolwhich areDead SoulsandTaras Bulba. Nikolai Vasilievich Gogol was a Ukrainian-born Russian writer. He contributed to Russian literature through his magnificently crafted dramas, novels and short stories. He was one of the major proponents of the natural school of Russian literary realism. Novels selected for this book: - Dead Souls - Taras Bulba This is one of many books in the seriesEssential Novelists. If you liked this book, look for the other titles in the series, we are sure you will like some of the authors.",http://books.google.com/books/content?id=for4DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"['Nikolai Gogol', 'August Nemo']"
305,Nikolai Gogol: The Complete Novels,['Fiction'],MVP,2019-07-19,150.0,https://play.google.com/store/books/details?id=BLakDwAAQBAJ&rdid=book-BLakDwAAQBAJ&rdot=1&source=gbs_api,0.99,,,NOT_MATURE,en,"This book contains the complete novels of Nikolai Gogol in the chronological order of their original publication. - Taras Bulba - Dead Souls Nikolai Vasilievich Gogol was a Russian dramatist of Ukrainian origin. Although Gogol was considered by his contemporaries to be one of the preeminent figures of the natural school of Russian literary realism, later critics have found in his work a fundamentally romantic sensibility, with strains of surrealism and the grotesque (""The Nose"", ""Viy"", ""The Overcoat"", ""Nevsky Prospekt""). His early works, such as Evenings on a Farm Near Dikanka, were influenced by his Ukrainian upbringing, Ukrainian culture and folklore. His later writing satirised political corruption in the Russian Empire (The Government Inspector, Dead Souls). The novel Taras Bulba (1835) and the play Marriage (1842), along with the short stories ""Diary of a Madman"", ""The Tale of How Ivan Ivanovich Quarreled with Ivan Nikiforovich"", ""The Portrait"" and ""The Carriage"", are also among his best-known works.",http://books.google.com/books/content?id=BLakDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Nikolai Gogol']
306,The Works of Nikolai Gogol (Annotated with Biography),['Reference'],Golgotha Press,2013-11-21,600.0,https://play.google.com/store/books/details?id=dEwjAgAAQBAJ&rdid=book-dEwjAgAAQBAJ&rdot=1&source=gbs_api,3.97,,,NOT_MATURE,en,The works of Gogol are compiled here with a biography about his life and times. Works include: The Calash The Cloak Dead Souls The Inspector-General The Mantle A May Night Memoirs of a Madman The Mysterious Portrait The Nose St. John’s Eve The Tale of How Ivan Ivanovich Quarreled with Ivan Nikiforovich Taras Bulba The Viy,http://books.google.com/books/content?id=dEwjAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Nikolai Gogol']
307,7 best short stories by Nikolai Gogol,['Literary Collections'],Tacet Books,2020-05-14,100.0,https://play.google.com/store/books/details?id=1xX5DwAAQBAJ&rdid=book-1xX5DwAAQBAJ&rdot=1&source=gbs_api,1.99,,,NOT_MATURE,en,"Nikolai Gogol had a strong literary upbringing: he learned Ukrainian and Russian, his father wrote poetry and was an amateur playwright, and as a child Gogol helped stage his uncle's plays. He began writing while at a school of higher art in Nizhyn, where he earned the nickname ""mysterious dwarf."" He had a dark and secretive disposition, developed a talent for mimicry and satire, which eventually led to his exile from Russia. His satire was unconventional and much more sophisticated than his contemporaries.Seven of the most iconic tales from the author were selected by the critic August Nemo for your enjoyment:The NoseThe ViyThe CloakOld-Fashioned FarmersThe OvercoatMemoirs of a MadmanThe Mysterious Portrait",http://books.google.com/books/content?id=1xX5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"['Nikolai Gogol', 'August Nemo']"
308,Diary Of A Madman - Nikolai Gogol (Stage-5),['Fiction'],Maviçatı Yayınları,,54.0,,,,,NOT_MATURE,en,"The book centers on the life of Poprishchin, a low-ranking civil servant and titular counsellor who yearns to be noticed by a beautiful woman, the daughter of a senior official, with whom he has fallen in love. His diary records his gradual slide into insanity. As his madness deepens, he begins to suspect two dogs of having a love affair and believes he has discovered letters sent between them. Finally, he begins to believe himself to be the heir to the throne of Spain. When he is hauled off and maltreated in the asylum, the madman believes he is taking part in a strange coronation to the Spanish throne. Only in his madness does the lowly anti-hero attain greatness.",http://books.google.com/books/content?id=JDT-DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Nikolai Gogol']
309,Ripley Under Ground,['Fiction'],W. W. Norton & Company,2008-09-17,288.0,https://play.google.com/store/books/details?id=lEZ1iQWFstoC&rdid=book-lEZ1iQWFstoC&rdot=1&source=gbs_api,15.95,3.5,16.0,NOT_MATURE,en,"""Ripley is an unmistakable descendant of Gatsby, that 'penniless young man without a past' who will stop at nothing.""—Frank Rich Now part of American film and literary lore, Tom Ripley, ""a bisexual psychopath and art forger who murders without remorse when his comforts are threatened"" (New York Times Book Review), was Patricia Highsmith's favorite creation. In these volumes, we find Ripley ensconced on a French estate with a wealthy wife, a world-class art collection, and a past to hide. In Ripley Under Ground (1970), an art forgery goes awry and Ripley is threatened with exposure; in The Boy Who Followed Ripley (1980), Highsmith explores Ripley's bizarrely paternal relationship with a troubled young runaway, whose abduction draws them into Berlin's seamy underworld; and in Ripley Under Water (1991), Ripley is confronted by a snooping American couple obsessed with the disappearance of an art collector who visited Ripley years before. More than any other American literary character, Ripley provides ""a lens to peer into the sinister machinations of human behavior"" (John Freeman, Pittsburgh Gazette).",http://books.google.com/books/content?id=lEZ1iQWFstoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Patricia Highsmith']
310,The Talented Mr. Ripley,['Fiction'],W. W. Norton & Company,2008-06-17,273.0,,,4.0,84.0,NOT_MATURE,en,"In order to convince his son to come home, Herbert Greenleaf, a rich shipbuilder, sends the suave con man Tom Ripley to Italy, but is unaware of his son's friend's criminal activities. Reprint.",http://books.google.com/books/content?id=DO-7KCY6APMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Patricia Highsmith']
311,The Animal-Lover's Book of Beastly Murder,['Fiction'],W. W. Norton & Company,2002-10-17,256.0,https://play.google.com/store/books/details?id=iqCduv9LA1UC&rdid=book-iqCduv9LA1UC&rdot=1&source=gbs_api,13.95,5.0,1.0,NOT_MATURE,en,"""Grisly and atmospheric…[these] stories feature small worlds of animal amorality in which the sweet taste of revenge leaves no aftertaste of guilt."" —Publishers Weekly Nowhere is Patricia Highsmith's affinity for animals more apparent than in The Animal-Lover's Book of Beastly Murder, for here she transfers the murderous thoughts and rages most associated with humans onto the animals themselves. You will meet, for example, in ""In the Dead of Truffle Season,"" a truffle-hunting pig who tries to whet his own appetite for a while; or Jumbo in ""Chorus Girl's Absolutely Final Performance,"" a lonely, old circus elephant who decides she's had enough of show business and cruel trainers for one lifetime. In this satirical reprise of Kafka, cats, dogs, and breeding rodents are no longer ordinary beings in the happy home, but actually have the power to destroy the world in which we live.",http://books.google.com/books/content?id=iqCduv9LA1UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Patricia Highsmith']
312,Strangers on a Train,['Readers'],Longman,2008,63.0,,,3.5,33.0,NOT_MATURE,en,Reading level: 4 [red].,http://books.google.com/books/content?id=BvsFPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"['Patricia Highsmith', 'Michael Nation']"
313,Found in the Street,['Fiction'],Atlantic Monthly Press,1987,276.0,,,,,NOT_MATURE,en,"When Ralph Linderman returns a stranger’s wallet he found during a morning stroll through Greenwich Village, he is entirely unprepared for the complex maze of sexual obsession and disturbing psychological intrigue he is about to be drawn into. Patricia Highsmith, author of The Tremor of Forgery, Strangers on a Train, and The Cry of the Owl has once again created an unsettling thriller that explores the bleakest alleyways of human desire. Highsmith has been called “one of the finest crime novelists” by the New York Times and is now considered one of the most original voices in twentieth-century American fiction.",http://books.google.com/books/content?id=0tRTANNasy0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Patricia Highsmith']
314,Eleven,['Fiction'],Hachette UK,2014-03-06,176.0,,,,,NOT_MATURE,en,"'What is striking about these stories is their integrity: they are all of a piece . . . a brilliant collection' - Sunday Times Unsuspecting victims are devoured by their own obsessions in this perfectly chilling collection of short stories. A man becomes devoted to his pet snails, with fatal results. A young nanny turns arsonist in a bid to become heroine of the hour. A boy finally stands up to his mother, with knife in hand. Highsmith weaves a world claustrophobic in its intensity, disturbing in its mundanity, as she probes the dark corners of the human psyche. Eleven is a collection of masterpieces of Highsmith's particular art, full of compulsion, foreboding and cruel pleasures.",http://books.google.com/books/content?id=QVXMAgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Patricia Highsmith']
315,The Cry of the Owl,['Detective and mystery stories'],Arrow,2021-04-15,272.0,,,,,NOT_MATURE,en,,http://books.google.com/books/content?id=MJmDzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Patricia Highsmith']
316,The Tremor of Forgery,['Fiction'],Open Road + Grove/Atlantic,2011-11-08,272.0,https://play.google.com/store/books/details?id=yTJ-EUssLPQC&rdid=book-yTJ-EUssLPQC&rdot=1&source=gbs_api,10.99,4.0,3.0,NOT_MATURE,en,"The Tremor of Forgery is considered by many to be Patricia Highsmith's finest novel. Set in Tunisia in the mid-1960s, it is the story of Howard Ingham, an American writer who has gone abroad to gather material for a movie too sordid to be set in America. Ingham is cool towards Ina, the girlfriend he left behind in New York, but his feelings start to change when she doesn't answer his increasingly aggravated letters, and John Castlewood, the filmmaker who hired Ingham, fails to show in Tunisia. Amid the tea shops and alleys of the souk, the sun-blasted architecture, and the beaches and hotels frequented by international tourists, will Ingham’s morality survive the withering heat? Includes an introduction by Francine Prose.",http://books.google.com/books/content?id=yTJ-EUssLPQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Patricia Highsmith']
317,Small G,['Fiction'],W. W. Norton & Company,2004,310.0,,,3.5,2.0,NOT_MATURE,en,"In unmistakable Highsmithian fashion, Small g, Patricia Highsmith's final novel, opens near a seedy Zurich bar with the brutal murder of Petey Ritter. Unraveling the vagaries of love, sexuality, jealousy, and death, Highsmith weaves a mystery both hilarious and astonishing, a classic fairy tale executed with a characteristic penchant for darkness. Published in paperback for the first time in America, Small g is at once an exorcism of Highsmith's literary demons and a revelatory capstone to a wholly remarkable career. It is a delightfully incantatory work that, in the tradition of Shakespeare's A Midsummer Night's Dream, shows us how bizarre and unpredictable love can be.",http://books.google.com/books/content?id=5Ta0exNsOfUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Patricia Highsmith']
318,The Two Faces of January,['Fiction'],Open Road + Grove/Atlantic,2014-06-10,288.0,https://play.google.com/store/books/details?id=dxLnBAAAQBAJ&rdid=book-dxLnBAAAQBAJ&rdot=1&source=gbs_api,15.99,3.0,5.0,NOT_MATURE,en,"“[A] classic psychological thriller.”—USA Today Originally published in 1964, and the winner of the CWA Best Foreign Novel Award, Patricia Highsmith’s The Two Faces of January is a chilling tale of suspense, suffused with her trademark slow, creeping unease. In a grubby Athens hotel, Rydal Keener is bored and killing time with petty scams. But when he runs into another American, Chester MacFarland, dragging a man’s body down the hotel hall, Rydan impulsively agrees to help, perhaps because Chester looks like his father. Then Rydal meets Collete, Chester’s younger wife, and captivated, becomes entangled in their sordid lives, as the drama marches to a shocking climax at the ruins of the labyrinth at Knossos. A film version of The Two Faces of January, starring Viggo Mortensen, Kirsten Dunst, and Oscar Isaac (Drive, Inside Llewelyn Davis) is in production. Adapted by Academy Award nominee Hossein Amini (Drive), and produced by Working Title and Timnick Films (The Talented Mr. Ripley), it will be released later this fall. “An offbeat, provocative and absorbing suspense novel.”—The New York Times “Patricia Highsmith is one of the few suspense writers whose work transcends genre.”—The Austin American-Statesman",http://books.google.com/books/content?id=dxLnBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Patricia Highsmith']
319,Nothing That Meets the Eye: The Uncollected Stories of Patricia Highsmith,['Fiction'],W. W. Norton & Company,2003-11-17,464.0,https://play.google.com/store/books/details?id=EJ_ysKBaWV4C&rdid=book-EJ_ysKBaWV4C&rdot=1&source=gbs_api,25.95,3.0,1.0,NOT_MATURE,en,"""Highsmith is no more a practitioner of the murder mystery genre...than are Doestoevsky, Faulkner and Camus.""—Joan Smith, Los Angeles Times The Patricia Highsmith renaissance continues with Nothing That Meets the Eye, a brilliant collection of twenty-eight psychologically penetrating stories, a great majority of which are published for the first time in this collection. This volume spans almost fifty years of Highsmith's career and establishes her as a permanent member of our American literary canon, as attested by recent publication of two of these stories in The New Yorker and Harper's. The stories assembled in Nothing That Meets the Eye, written between 1938 and 1982, are vintage Highsmith: a gigolo-like psychopath preys on unfulfilled career women; a lonely spinster's fragile hold on reality is tethered to the bottle; an estranged postal worker invents homicidal fantasies about his coworkers. While some stories anticipate the diabolical narratives of the Ripley novels, others possess a Capra-like sweetness that forces us to see the author in a new light. From this new collection, a remarkable portrait of the American psyche at mid-century emerges, unforgettably distilled by the inimitable eye of Patricia Highsmith. A New York Times Notable Book and a Washington Post Rave of 2002.",http://books.google.com/books/content?id=EJ_ysKBaWV4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Patricia Highsmith']
320,Ripley Under Water,['Fiction'],W. W. Norton & Company,2008-09-17,296.0,,,4.0,1.0,NOT_MATURE,en,"Now part of American film and literary lore, Tom Ripley, ""a bisexual psychopath and art forger who murders without remorse when his comforts are threatened"" (), was Patricia Highsmith's favorite creation. In these volumes, we find Ripley ensconced on a French estate with a wealthy wife, a world-class art collection, and a past to hide. In (1970), an art forgery goes awry and Ripley is threatened with exposure; in (1980), Highsmith explores Ripley's bizarrely paternal relationship with a troubled young runaway, whose abduction draws them into Berlin's seamy underworld; and in (1991), Ripley is confronted by a snooping American couple obsessed with the disappearance of an art collector who visited Ripley years before. More than any other American literary character, Ripley provides ""a lens to peer into the sinister machinations of human behavior"" (John Freeman, ).",http://books.google.com/books/content?id=50DTithfHi4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Patricia Highsmith']
