name,bio
Creative Book Publishers International,"Creative Book Publishers International is one of two special imprints of the international Marketing and Publicity Specialist Communication Projects International, the other imprint being Global Book Publishers.
"
Cresset Press,"The Cresset Press was a publishing company in London, England, active as an independent press from 1927 for 40 years,[1] and initially specializing in ""expensively illustrated limited editions of classical works, like Milton's Paradise Lost""[2] going on to produce well-designed trade editions of literary and political works.  Among the leading illustrators commissioned by Cresset were Blair Hughes-Stanton and Gertrude Hermes — The Pilgrim's Progress (1928), The Apocrypha (1929), and D. H. Lawrence's Birds, Beasts and Flowers (1930). Cresset subsequently became part of the Barrie Group of publishers, and later an imprint of the Ebury Press within the Random House Group.
"
Crocker & Brewster,"Crocker & Brewster (1818–1876) was a leading publishing house in Boston, Massachusetts, during its 58-year existence. The business was located at today's 173–175 Washington Street for nearly half a century; in 1864 it moved to the adjoining building, where it remained until the firm's dissolution.
"
Crown Publishing Group,"The Crown Publishing Group is a subsidiary of Penguin Random House that publishes across several categories including fiction, non-fiction, biography, autobiography and memoir, cooking, health, business, and lifestyle. Its imprints include Crown, Crown Archetype, Crown Business, Crown Forum, Hogarth, Three Rivers Press, Clarkson Potter, Potter Craft, Potter Style, Broadway Books, Broadway Paperbacks, Image (formerly Doubleday Religion),[1] WaterBrook/Multnomah, Harmony Books, Rodale Books, Watson-Guptill, Amphoto Books, and Ten Speed Press. Formerly, the company also used the Bell Tower Press, Orion Books (unconnected to Orion Publishing in the United Kingdom), and related imprints and subsidiaries, such as Gramercy Publishing Company. However, these have now either been discontinued or transferred to other Random House units.
"
Random House,"
"
D. Appleton & Company,"D. Appleton & Company was an American publishing company founded by Daniel Appleton, who opened a general store which included books. He published his first book in 1831. The company's publications gradually extended over the entire field of literature. It issued the works of contemporary scientists at moderate prices, for example, Herbert Spencer, John Tyndall, Thomas Huxley, Charles Darwin, etc. Medical books formed a special department, and books in the Spanish language for the South American market were a specialty which the firm made its own. In belles lettres and American history, it had a strong list of names among its authors.[2]
"
D. Reidel,"D. Reidel was an academic publishing company based in Dordrecht established in the 1960s which was independent until the 1990s.[when?]
"
Springer Science+Business Media,"Springer Science+Business Media, commonly known as Springer, is a German multinational publishing company of books, e-books and peer-reviewed journals in science, humanities, technical and medical (STM) publishing.[1]
"
Da Capo Press,"Da Capo Press is an American publishing company with headquarters in Boston, Massachusetts. It is now an imprint of Hachette Books.
"
Perseus Books Group,"
"
Dalkey Archive Press,"Dalkey Archive Press is a publisher of fiction, poetry, and literary criticism specializing in the publication or republication of lesser-known, often avant-garde works.  The company has offices in Funks Grove, Illinois, in Dublin, and in London. The publisher is named for the novel The Dalkey Archive, by the Irish author Flann O'Brien.
"
David & Charles,"
"
DAW Books,"DAW Books is an American science fiction and fantasy publisher, founded by Donald A. Wollheim, along with his wife, Elsie B. Wollheim,[1] following his departure from Ace Books in 1971. The company claims to be ""the first publishing company ever devoted exclusively to science fiction and fantasy.""[2] The first DAW Book published was the 1972 short story collection Spell of the Witch World by Andre Norton.[3]
"
Donald A. Wollheim,"
"
Dedalus Books,"Dedalus Books is a British publishing company specialising in European literature.  As stated on their website, Dedalus specialises in ""its own distinctive genre, which we term distorted reality, where the bizarre, the unusual and the grotesque and the surreal meld in a kind of intellectual fiction which is very European.""
"
Del Rey Books,"Del Rey Books is a branch of Ballantine Books, which is owned by Random House and, in turn, by Penguin Random House.  It is a separate imprint established in 1977 under the editorship of author Lester del Rey and his wife Judy-Lynn del Rey.  It specializes in science fiction and fantasy books, and formerly manga under its (now defunct) Del Rey Manga imprint.
"
Random House,"
"
Delacorte Press,"Dell Publishing is an American publisher of books, magazines and comic books, that was founded in 1921 by George T. Delacorte Jr. with $10,000 (approx. $145,000 in 2021), two employees and one magazine title, I Confess, and soon began turning out dozens of pulp magazines, which included penny-a-word detective stories, articles about films, and romance books (or ""smoochies"" as they were known in the slang of the day).
"
Random House,"
"
Deseret Book Company,"
"
Dick & Fitzgerald,"Dick & Fitzgerald was a 19th-century United States publisher, founded by William Brisbane Dick (1827–1901) [1] and Lawrence R. Fitzgerald, based in New York City. They were a publisher of popular books, including music books.
"
Directmedia Publishing,"Directmedia Publishing is a German publishing house created in January 1995 by Ralf Szymanski and Erwin Jurschitza as a publisher of digital media. The emphasis of the publishing house's content lies within the field of digital libraries, particularly scientific collections of texts, and encyclopaedias. 
"
Disney Publishing Worldwide,"Disney Publishing Worldwide (DPW), formerly known as The Disney Publishing Group and Buena Vista Publishing Group, is the publishing subsidiary of Disney Parks, Experiences and Products, a subsidiary of The Walt Disney Company.[1] Its imprints include Disney Editions, Disney Press,[2] Kingswell,[3] Freeform, and Hyperion Books for Children.[4] It has creative centers in Glendale, California, and in Milan, Italy.[2]
"
DK,"Dorling Kindersley Limited (branded as DK) is a British multinational publishing company specialising in illustrated reference books for adults and children in 63 languages.[2] 
It is part of Penguin Random House, a subsidiary of German media conglomerate Bertelsmann.
Established in 1974, DK publishes a range of titles in genres including travel (including DK Eyewitness travel), history, science, nature, sport, gardening, cookery and parenting.  
The worldwide CEO of DK is Carsten Coesfeld.[3] DK has offices in New York, Melbourne, London, Munich, New Delhi, Toronto, Madrid, Beijing and Jiangmen.
DK works with licensing partners such as Disney, LEGO, DC Comics, the Royal Horticultural Society, MasterChef, and the Smithsonian Institution. 
DK has commissioned Mary Berry, Monty Don, Robert Winston, Huw Richards and Steve Mould for a range of books.
"
DNA Publications,"DNA Publications was an American publishing company that existed from 1993 to 2007 and was run by the husband-and-wife team of Warren Lapine and Angela Kessler. Initially based in Massachusetts, DNA Publications relocated to Radford, Virginia.[when?] As of 2004, it was the second-largest genre magazine publisher in the United States.[1] Its first publication, in 1993, was the magazine Harsh Mistress, which Lapine produced in collaboration with Kevin Rogers and Tim Ballon.[citation needed]
"
Dobson Books,"Dennis Dobson (1919 – 1978)[1] was a British book publisher who was the eponymous founder of a small but respected company in London.
"
"Dodd, Mead & Co.","
"
Dorchester Publishing,"
"
Doubleday,"Doubleday is an American publishing company. It was founded as the Doubleday & McClure Company in 1897 and was the largest in the United States by 1947. It published the work of mostly U.S. authors under a number of imprints and distributed them through its own stores. In 2009 Doubleday merged with Knopf Publishing Group to form the Knopf Doubleday Publishing Group, which is now part of Penguin Random House. In 2019, the official website presents Doubleday as an imprint, not a publisher.
"
Random House,"
"
Douglas & McIntyre,"Douglas and McIntyre (2013) Ltd.  is a Canadian book publishing firm.
"
Dove Medical Press,"Dove Medical Press is an academic publisher of open access peer-reviewed scientific and medical journals, with offices in Manchester, London (United Kingdom), Princeton, New Jersey (United States), and Auckland (New Zealand).[1] In September 2017, Dove Medical Press was acquired by the Taylor and Francis Group.[2][3]
"
Dover Publications,"Dover Publications, also known as Dover Books, is an American book publisher founded in 1941 by Hayward Cirker and his wife, Blanche.  It primarily reissues books that are out of print from their original publishers. These are often, but not always, books in the public domain. The original published editions may be scarce or historically significant. Dover republishes these books, making them available at a significantly reduced cost.
"
Dreamspinner Press,"Dreamspinner Press is a Tallahassee, Florida based LGBTQ publisher.[1][2] Dreamspinner Press is an independent publisher, specializing in gay romantic fiction with print, eBook, and audiobook releases, and titles translated in French, German, Italian, Spanish, Japanese, Korean, Thai, Turkish and Hungarian. Titles include content in contemporary, historical, mystery and suspense, science fiction, fantasy and paranormal, steampunk, transgender, Western, and humor genres, along with the house branded lines. In March 2012, a GLBT teen and new adult fiction imprint, Harmony Ink Press,[3] was launched for readers ages 14–21.
"
Dundurn Press,"Dundurn Press is one of the largest Canadian-owned book publishing companies of adult and children's fiction and non-fiction.[3] The company publishes Canadian literature, history, biography, politics and arts. Dundurn has about 2500 books in print, and averages around one hundred new titles each year.[4] Dundurn Press was established in 1972 by Kirk Howard,[5] In 2009, Dundurn forged a co-publishing partnership with the Ontario Genealogical Society, and in 2011, Dundurn purchased Napoleon & Company and Blue Butterfly Books.[6][7] In 2013, Dundurn acquired Thomas Allen Publishers, the publishing branch of Thomas Allen & Son Limited.[8] Thomas Allen & Son Limited is a Canadian book distributor, and remains Canada's oldest family-owned and operated distributor, having been in continuous operation for over 90 years.[9][10] Its books include Burning Down the House by Russell Wangersky.[11][12]
"
E. P. Dutton,"E. P. Dutton was an American book publishing company[clarification needed]. It was founded as a book retailer in Boston, Massachusetts, in 1852[1] by Edward Payson Dutton.
"
Penguin Group,"
"
Earthscan,"Earthscan is an English-language publisher of books and journals on climate change, sustainable development and environmental technology for academic, professional and general readers.
"
ECW Press,"ECW Press is a Canadian book publisher located in Toronto, Ontario.  It was founded by Jack David and Robert Lecker in 1974 as a Canadian literary magazine named Essays on Canadian Writing.  They started publishing trade and scholarly books in 1979.
"
Eel Pie Publishing,"Eel Pie Publishing is a publishing house founded by musician and author Pete Townshend in 1977, and named after Eel Pie Island.[1] It is part of the Eelpie Group of Companies including Eel Pie Recording Production Ltd (renamed Honorable Ltd) which was set up in 1970 by Pete Townshend.[2]
"
Elliot Stock,"Elliot Stock (1838 - 1 March 1911) was an English publisher and bibliophile who collected first editions.[1] The publishing company that bore his name was in business from 1859 to 1939.[2]
"
Ellora's Cave,"Ellora's Cave was an independent erotic fiction publisher. It was launched in 2000, and initially published in e-book only format and later moved into print. Ellora's Cave published in several genres, which included but were not limited to adult romance, erotica, erotica for men, non-fiction, and traditional romance.[1]
"
Elsevier,"
"
RELX,"
"
Emerald Group Publishing,"
"
Etruscan Press,"Etruscan Press is an American publisher founded in 2001 with a grant from the Oristaglio Foundation. [1] Housed at Wilkes University and partnering with Youngstown State University, Etruscan Press is distributed nationally by Consortium Distribution.
"
Europa Press,"The Europa Press was a publishing house founded and run by the Irish surrealist poet George Reavey. The press was based in Paris from its inception in 1932 until 1935, when Reavey moved to London. It ceased operation in 1939.
"
Everyman's Library,"Everyman's Library is a series of reprints of classic literature, primarily from the Western canon. It is currently[when?] published in hardback by Random House. It was originally an imprint of J. M. Dent (itself later a division of Weidenfeld & Nicolson and presently an imprint of Orion Books), who continue to publish Everyman Paperbacks.
"
Ewha Womans University Press,"Ewha Womans University Press (이화여자대학교출판부 ) is a book publisher founded in 1949.  
"
Exact Change,"Exact Change is an American independent book publishing company founded in 1989 by Damon Krukowski and Naomi Yang who, outside of their publishing careers, were musicians associated with  Galaxie 500 and Damon and Naomi. The company specialises in re-publishing 19th- and 20th-century avant-garde literature and has published works by John Cage, Salvador Dalí and Denton Welch among many others.[1]
"
Express Publishing,"
"
Faber and Faber,"
"
FabJob,"FabJob is a book publisher based in Calgary, Canada, and Seattle, the United States. It was founded in 1999 by sisters Tag and Catherine Goulet.
"
Fairview Press,"
"
Fantagraphics Books,"Fantagraphics (previously Fantagraphics Books) is an American publisher of alternative comics, classic comic strip anthologies, manga, magazines, graphic novels, and the erotic Eros Comix imprint. Many notable cartoonists have published their work through Fantagraphics, including Jessica Abel, Peter Bagge, Ivan Brunetti, Charles Burns, Daniel Clowes, Mary Fleener, Roberta Gregory, Joe Sacco, Chris Ware, and the Hernandez brothers.
"
"Farrar, Straus and Giroux","Farrar, Straus and Giroux (FSG) is an American book publishing company, founded in 1946 by Roger Williams Straus Jr. and John C. Farrar.[3] FSG is known for publishing literary books, and its authors have won numerous awards, including Pulitzer Prizes, National Book Awards, and Nobel Peace Prizes. The publisher is currently a division of Macmillan, whose parent company is the German publishing conglomerate Holtzbrinck Publishing Group.[4]
"
Henry Holt and Company,"Henry Holt and Company is an American book-publishing company based in New York City. One of the oldest publishers in the United States, it was founded in 1866 by Henry Holt and Frederick Leypoldt.[2] Currently, the company publishes in the fields of American and international fiction, biography, history and politics, science, psychology, and health, as well as books for children's literature. In the US, it operates under Macmillan Publishers.
"
Fearless Books,"Fearless Books is an independent publisher in northern California, founded in 1997 by the author, editor, and literary agent D. Patrick Miller.
"
Felony & Mayhem Press,"Felony & Mayhem Press is an American book publisher which specializes in re-issues of out-of-print mystery novels, first paperback editions of books previously published in hardcover, and U.S. editions of books that initially came out overseas.[1][2] The company is located in New York City and  was founded in June 2005 by Maggie Topkis,[3] co-owner of the Greenwich Village bookstore, Partners and Crime.[2] All Felony & Mayhem imprints are trade paperbacks.[2] The company was called ""the most dastardly local press"" in the Village Voice's Best of New York 2008 issue.[4]
"
Firebrand Books,"Firebrand Books is a publishing house established in 1984 by Nancy K. Bereano---a lesbian/feminist activist in Ithaca, NY.  Karen Oosterhouse, publisher since 2003, describes Firebrand as ""the independent publisher of record for feminist and lesbian fiction and nonfiction,"" championing ""authors whose work has been marginalized: women of color, women coming out of poverty, transwomen, the genderqueer, and other underrepresented voices.""[1] It is among the many feminist and lesbian publishing houses that grew out of the Women's Press Movement; other presses of that period include Naiad Press, Persephone and Kitchen Table: Women of Color Press.
"
Flame Tree Publishing,"Flame Tree Publishing is an independent publisher of books, calendars and other stationery items, based in Fulham, London, United Kingdom with an editorial office in New York. It focuses on art, music, lifestyle and fiction categories. Flame Tree creates content in the form of paper printed encyclopedias, guides and practical books and publishes them in different book, gift, stationery and digital markets worldwide. It has a number of license arrangements with museums, galleries and other licensors, including Tate,[3] V&A[4] and The Royal Academy of Arts.[5] The publisher started releasing e-books and launched a new fantasy, crime and science fiction classics imprint called Flame Tree 451.[6] In 2015 Flame Tree launched a range of deluxe Gothic Fantasy titles combining new stories from open submissions and curated classic writing. In 2018 a new trade imprint fiction imprint called Flame Tree Press[7] began to publish new novels in the horror and suspense, sf and fantasy and crime and mystery genres. 
"
Focal Press,"Focal Press is a publisher of media technology books and it is an imprint of Taylor & Francis. It was founded in 1938 by Andor Kraszna-Krausz,[1] a Hungarian photographer who immigrated to England in 1937 and eventually published over 1,200 books on photography.
"
Folio Society,"
"
Forum Media Group,"The FORUM MEDIA GROUP (FMG) is an international media company headquartered near Munich (Germany) with leading professional publishing houses worldwide. In 2017, the FMG achieved a turnover of 110 million Euro[1] and employed more than 1,200 employees in Europe, Asia, North America, and Australia.
"
Four Courts Press,"
"
Four Walls Eight Windows,"Four Walls Eight Windows was an independent book publisher in New York City. Known as 4W8W or Four Walls, the company was notable for its dual commitment to progressive politics and adventurous, edgy literary fiction. 
"
"Frederick Fell Publishers, Inc.","Frederick Fell Publishers, Inc. is an independent American publishing company specializing in self-help books in genres such as business, entertainment, children, health, and cooking. Their motto is ""A World of Books That Fill A Need"".[1]
"
Frederick Warne & Co,"Frederick Warne & Co. is a British publisher founded in 1865. It is famous for children's books, particularly those of Beatrix Potter, and for its Observer's Books, which have gained a cult following.[1][2]
"
Free Press,"Free Press was an independent book publisher that later became an imprint of Simon & Schuster. It was one of the best-known publishers specializing in serious nonfiction, including path-breaking sociology books of the 1950s, 1960s and 1970s. After a period under new ownership in the 1980s of publishing neoconservative books, it was purchased by Simon & Schuster in 1994. By 2012, the imprint ceased to exist as a distinct entity; however, some books were still being published using the Free Press imprint.[1][2]
"
Fulcrum Press,"Fulcrum Press (1965 – 1974)[1] was founded in London in the mid-1960s by medical student Stuart Montgomery (born 1938, in Rhodesia) and his wife Deirdre. Montgomery later became an eminent psychiatrist and expert in depression. Earning a reputation as the premier small press of the late 1960s to early '70s,[2] Fulcrum published major American and British poets in the modernist and the avant-garde traditions in carefully designed books on good paper.  The Fulcrum Press made a significant contribution to the British Poetry Revival and was one of the best known little presses of the period, recognized for publishing the works of Modernist poets including Ezra Pound, Basil Bunting, Allen Ginsberg and Roy Fisher.[1]
"
Funk & Wagnalls,"Funk & Wagnalls was an American publisher known for its reference works, including A Standard Dictionary of the English Language (1st ed. 1893–5), and the Funk & Wagnalls Standard Encyclopedia (25 volumes, 1st ed. 1912).[1]
"
G. P. Putnam's Sons,"G. P. Putnam's Sons is an American book publisher based in New York City, New York. Since 1996, it has been an imprint of the Penguin Group.[1]
"
G-Unit Books,"G-Unit Books was an American book publishing imprint started by rapper 50 Cent in partnership with MTV/Pocketbooks on January 4, 2007 following a prior relationship with the company dating back to the publication of his memoir in 2005.[1] He launched  G-Unit Books at the Time Warner Building in New York.[2]
"
Gaspereau Press,"Gaspereau Press is a Canadian book publishing company, based in Kentville, Nova Scotia. Established in 1997 by Andrew Steeves and Gary Dunfield, the company's philosophy emphasizes ""making books that reinstate the importance of the book as a physical object"", maintaining control over the design and the manufacturing quality of its titles as one of the few Canadian publishing houses that continues to print and bind its own books in-house.[1]
"
Gay Men's Press,"Gay Men's Press was a publisher of books based in London, United Kingdom. Founded in 1979, the imprint was run until 2000 by its founders, then until 2006 by Millivres Prowler.[1]
"
Gefen Publishing House,"Gefen Publishing House (הוצאת גפן) is an English language  publishing firm located in Jerusalem, Israel, which also has a department in New York City.[2][1]
"
George H. Doran Company,"
"
George Newnes,"George Newnes Ltd is a British publisher. The company was founded in 1891 by George Newnes (1851–1910), considered a founding father of popular journalism. Newnes published such magazines and periodicals as Tit-Bits, The Wide World Magazine, The Captain, The Strand Magazine, The Grand Magazine, John O'London's Weekly, Sunny Stories for Little Folk, Woman's Own, and the ""Practical"" line of magazines overseen by editor Frederick J. Camm. Long after the founder's death, Newnes was known for publishing ground-breaking consumer magazines such as Nova.
"
Godhead publishing,NaN
Godwit Press,"
Godwit Press is a major New Zealand publisher of non-fiction works, mainly of New Zealand arts, literature, and natural history. Initially founded in Auckland in 1989, the company was taken over by Random House New Zealand in 2000 and has since been its main non-fiction publishing arm in New Zealand.
"
Golden Cockerel Press,"
"
The Good Book Company,"The Good Book Company (TGBC) is an evangelical Christian publisher, located in Epsom, Surrey, England.[1] They are structured as a large unquoted, private company, limited by share capital.[2] Their practices include publishing, mission outreach and training. The Publisher was declared runner up in the Christian Publisher of the Year Award by the Trade Body for Christian Publishing and Retailing in the UK. [3][citation needed]
"
Good News Publishers,"Good News Publishers, now known by its publishing ministry Crossway, is an evangelical Christian not-for-profit organization headquartered in Wheaton, Illinois.[1] Clyde and Muriel Dennis founded Good News Publishers in 1938, working out of their home in Minneapolis, Minnesota.[2]
"
Goops Unlimited,"
"
Goose Lane Editions,"Goose Lane Editions is a Canadian book publishing company founded in 1954 in Fredericton, New Brunswick as Fiddlehead Poetry Books by Fred Cogswell and a group of students and faculty from the University of New Brunswick associated with The Fiddlehead.[2]  After Cogswell retired in 1981, his successor, Peter Thomas, changed the name to Goose Lane Editions. From 1989 to 1997 Douglas Lochhead was president of Goose Lane. It is now headed by publisher and co-owner Susanne Alexander. The Canada Council for the Arts says the publishing company ""has evolved to become one of Canada's most exciting showcases of home-grown literary talent.""[3]
"
Grafton,"Grafton was a British paperback imprint established c.1981 by Granada Publishing Ltd, a subsidiary of media company Granada Group Ltd.  It was named after the publishing company's then address, 8 Grafton Street, in central London.  Other paperback imprints of Granada at the time included Paladin, later home of the Paladin Poetry Series, Panther and Mayflower.[1] A collaboration with hardback publishers Jonathan Cape, Chatto and Windus and The Bodley Head in 1976 resulted in the creation of Triad Books.[1]
"
Graywolf Press,"Graywolf Press is an independent, non-profit publisher located in Minneapolis, Minnesota. Graywolf Press publishes fiction, non-fiction, and poetry.[1]
"
Greenery Press,"Greenery Press is a publishing house based in Emeryville, California, specializing in books on BDSM (particularly femdom) and polyamory, with over 50 titles in print.  Most titles are non-fiction, but a smaller number of fiction titles and memoirs are published under the Grass Stain Press name.  Greenery's sales top 100,000 books per year.
"
Greenleaf Book Group,"Greenleaf Book Group is an independent book publisher and distributor, which was established by Clint Greenleaf in 1997.[3] Greenleaf was a CPA and accountant at Deloitte & Touche before writing his first book, Attention to Detail, in 1997 and then founding the company[4] over his parents’ garage.[5] The company is based on a business model where the author pays for the publishing under a selective imprint and retains all rights.[6] It has been based in Austin, Texas, United States of America since 2004.[7][unreliable source?]
"
Greenleaf Publishing Ltd,"Greenleaf Publishing is a UK-based publishing imprint specializing in corporate responsibility, business ethics, environmental policy and management, future business strategy and practice, and sustainable development.[1] Founded in 1992 as an independent publisher,[1] the company became part of GSE Research Limited, an online scholarly publisher specializing in governance, sustainability and the environment, in 2012.[2] In 2017, the company was sold to Taylor & Francis and became part of its Routledge imprint.[3]
"
Greenwillow Books,"HarperCollins Publishers LLC is one of the Big Five English-language publishing companies, alongside Penguin Random House, Simon & Schuster, Hachette, and Macmillan. The company is headquartered in New York City and is a subsidiary of News Corp. The name is a combination of several publishing firm names: Harper & Row, an American publishing company acquired in 1987—whose own name was the result of an earlier merger of Harper & Brothers (founded in 1817) and Row, Peterson & Company—together with Scottish publishing company William Collins, Sons (founded in 1819), acquired in 1989.
"
HarperCollins,"HarperCollins Publishers LLC is one of the Big Five English-language publishing companies, alongside Penguin Random House, Simon & Schuster, Hachette, and Macmillan. The company is headquartered in New York City and is a subsidiary of News Corp. The name is a combination of several publishing firm names: Harper & Row, an American publishing company acquired in 1987—whose own name was the result of an earlier merger of Harper & Brothers (founded in 1817) and Row, Peterson & Company—together with Scottish publishing company William Collins, Sons (founded in 1819), acquired in 1989.
"
Greenwood Publishing Group,"Greenwood Publishing Group, Inc. (GPG), also known as ABC-Clio/Greenwood (stylized ABC-CLIO/Greenwood), is an educational and academic publisher (middle school through university level) which is today part of ABC-Clio. Established in 1967 as Greenwood Press, Inc. and based in Westport, Connecticut,[1] GPG publishes reference works under its Greenwood Press imprint, and scholarly, professional, and general interest books under its related imprint, Praeger Publishers (/ˈpreɪɡər/). Also part of GPG is Libraries Unlimited, which publishes professional works for librarians and teachers.[2]
"
Gregg Press,"Gregg Press was founded about 1965 by Charles Gregg in Upper Saddle River, New Jersey to distribute in the United States the antiquarian reprints published in the UK by Gregg Press International.
"
Grosset & Dunlap,"Grosset & Dunlap is a United States publishing house founded in 1898.
"
Grove Atlantic,"
"
Grove Press,"Grove Press is an American publishing imprint that was founded in 1947. Imprints include: Black Cat, Evergreen, Venus Library, and Zebra. Barney Rosset purchased the company in 1951 and turned it into an alternative book press in the United States. He partnered with Richard Seaver to bring French literature to the United States. The Atlantic Monthly Press, under the aegis of its publisher, Morgan Entrekin, merged with Grove Press in 1991. Grove later became an imprint of the publisher Grove/Atlantic, Inc.
"
Hachette Books,"Hachette Books, formerly Hyperion Books, is a general-interest book imprint of the Perseus Books Group, which is a division of Hachette Book Group and ultimately a part of Lagardère Group. Established in 1990, Hachette publishes general-interest fiction and non-fiction books for adults. A former subsidiary of The Walt Disney Company, it was originally named after Hyperion Avenue, the location of Walt Disney Studios prior to 1939. Hachette took over a 1,000 book backlist when Hyperion was purchased from Disney in 2013[3] with 250 bestselling novels, including Mitch Albom’s The Five People You Meet in Heaven.[4]
"
Perseus Books Group,"
"
Hachette Book Group USA,"Hachette Book Group (HBG) is a publishing company owned by Hachette Livre, the largest publishing company in France, and the third largest trade and educational publisher in the world. Hachette Livre is a wholly owned subsidiary of Lagardère Group. HBG was formed when Hachette Livre purchased the Time Warner Book Group from Time Warner on March 31, 2006.[1] Its headquarters are located at 1290 Avenue of the Americas, Midtown Manhattan, New York City.[2] Hachette is considered one of the big-five publishing companies, along with Holtzbrinck/Macmillan, Penguin Random House, HarperCollins, Scholastic, and Simon & Schuster.[3] In one year, HBG publishes approximately 1400+ adult books (including 50-100 digital-only titles), 300 books for young readers, and 450 audio book titles (including both physical and downloadable-only titles). In 2017, the company had 167 books on the New York Times bestseller list, 34 of which reached No. 1.[4]
"
Hackett Publishing Company,"Hackett Publishing Company, Inc. is an academic publishing house located in Indianapolis, Indiana. Since beginning operations in 1972, Hackett has concentrated mainly on the humanities, especially classical and philosophical texts. Many Hackett titles are used as textbooks, making the company very visible at American colleges and universities.  Their publications are distinguished by their high quality and extensive commentary.
"
Hamish Hamilton,"
"
Penguin Books,"
"
Harbor Mountain Press,"Harbor Mountain Press is an American, nonprofit, poetry press located in White River Junction, Vermont. The press was founded by poet and editor Peter Money in 2006 (in Brownsville, Vermont).[1][2] Notable authors published by the press include Alice B. Fogel, Sinan Antoon, Jan Clausen, Robert Farnsworth, Ana Merino, Laura Davies Foley, Elizabeth Robinson, Elena Georgiou, Norman MacAfee, and Mario Susko.[2] Harbor Mountain Press titles have been reviewed in venues including TIME Magazine,[3] Library Journal,[4] Bookslut,[5]  and others. The press has received funding from the Byrne Foundation and Pentangle Council on the Arts and individual donors. Harbor Mountain Press titles are distributed by Small Press Distribution and GenPop Books.[6][2]
"
Harcourt Assessment,"Harcourt Assessment was a company that published and distributed educational and psychological assessment tools and therapy resources and provided educational assessment and data management services for national, state, district and local assessments. On January 30, 2008, Harcourt Assessment was merged into Pearson's Assessment & Information group after being acquired from Reed Elsevier for $950 million.[1]
"
Harcourt,"
"
Harlequin Enterprises,"Harlequin Enterprises Limited (known simply as Harlequin) is a romance and women's fiction publisher founded in Winnipeg in 1949. Now[when?] based in Toronto, Harlequin was owned by the Torstar Corporation, the largest newspaper publisher in Canada, from 1981 to 2014. It was then purchased by News Corp[2][3] and is now a division of HarperCollins.[4]
"
Harper,"Harper is an American publishing house, the flagship imprint of global publisher HarperCollins based in New York City.
"
Harper & Row,"Harper is an American publishing house, the flagship imprint of global publisher HarperCollins based in New York City.
"
HarperCollins,"HarperCollins Publishers LLC is one of the Big Five English-language publishing companies, alongside Penguin Random House, Simon & Schuster, Hachette, and Macmillan. The company is headquartered in New York City and is a subsidiary of News Corp. The name is a combination of several publishing firm names: Harper & Row, an American publishing company acquired in 1987—whose own name was the result of an earlier merger of Harper & Brothers (founded in 1817) and Row, Peterson & Company—together with Scottish publishing company William Collins, Sons (founded in 1819), acquired in 1989.
"
HarperPrism,"HarperCollins Publishers LLC is one of the Big Five English-language publishing companies, alongside Penguin Random House, Simon & Schuster, Hachette, and Macmillan. The company is headquartered in New York City and is a subsidiary of News Corp. The name is a combination of several publishing firm names: Harper & Row, an American publishing company acquired in 1987—whose own name was the result of an earlier merger of Harper & Brothers (founded in 1817) and Row, Peterson & Company—together with Scottish publishing company William Collins, Sons (founded in 1819), acquired in 1989.
"
HarperCollins,"HarperCollins Publishers LLC is one of the Big Five English-language publishing companies, alongside Penguin Random House, Simon & Schuster, Hachette, and Macmillan. The company is headquartered in New York City and is a subsidiary of News Corp. The name is a combination of several publishing firm names: Harper & Row, an American publishing company acquired in 1987—whose own name was the result of an earlier merger of Harper & Brothers (founded in 1817) and Row, Peterson & Company—together with Scottish publishing company William Collins, Sons (founded in 1819), acquired in 1989.
"
HarperTrophy,"HarperCollins Publishers LLC is one of the Big Five English-language publishing companies, alongside Penguin Random House, Simon & Schuster, Hachette, and Macmillan. The company is headquartered in New York City and is a subsidiary of News Corp. The name is a combination of several publishing firm names: Harper & Row, an American publishing company acquired in 1987—whose own name was the result of an earlier merger of Harper & Brothers (founded in 1817) and Row, Peterson & Company—together with Scottish publishing company William Collins, Sons (founded in 1819), acquired in 1989.
"
HarperCollins,"HarperCollins Publishers LLC is one of the Big Five English-language publishing companies, alongside Penguin Random House, Simon & Schuster, Hachette, and Macmillan. The company is headquartered in New York City and is a subsidiary of News Corp. The name is a combination of several publishing firm names: Harper & Row, an American publishing company acquired in 1987—whose own name was the result of an earlier merger of Harper & Brothers (founded in 1817) and Row, Peterson & Company—together with Scottish publishing company William Collins, Sons (founded in 1819), acquired in 1989.
"
Harvard University Press,"
"
Harvest House,"Harvest House Publishers is a Christian publishing company founded in 1974 in Irvine, California, United States, and is now located in Eugene, Oregon.  It publishes Christian fiction and non-fiction books, coming out with over 160 new books a year.[2] It publishes The Harvest Handbook of Apologetics which has been described as defending ""the basic historical reliability of the gospels, as most good apologetics books today do, and then proceeds to go the extra mile to unapologetically commend and defend the doctrine of inerrancy.""[3]
"
Harvill Press at Random House,"
"
Harvill Secker,"
"
Hawthorne Books,"Hawthorne Books is an independent publisher founded in 2001 in Portland, Oregon, U.S., specializing in literary fiction and creative nonfiction original trade paperbacks.
"
Hay House,"
"
