,name,image,origin,publication_types,founded,parent_comp,hq,website
413,Prime Books,-1,United States,Books,2001,Unkown,"Gaithersburg, Maryland",www.prime-books.com
414,Princeton University Press,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Princeton_University_Press_logo.svg/150px-Princeton_University_Press_logo.svg.png,United States,Books,1905,Unkown,"Princeton, New Jersey",press.princeton.edu
415,Profile Books,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Profile_Books_logo.png/250px-Profile_Books_logo.png,UK,Books,1996; 25 years ago (1996),Unkown,London,profilebooks.com
416,Progress Publishers,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Progress_Publishers_Logo.svg/250px-Progress_Publishers_Logo.svg.png,Unknown,Unknown,1931,Unkown,Unknown,Not available
417,Prometheus Books,-1,USA,Unknown,1969,Unkown,"Amherst, New York",www.prometheusbooks.com
418,Puffin Books,https://upload.wikimedia.org/wikipedia/en/6/69/Puffin_Books_logo.png,United Kingdom,Books,2 April 1940; 81 years ago (1940-04-02),Penguin Random House,London,www.puffin.co.uk
419,Penguin Books,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Penguin_logo.svg/120px-Penguin_logo.svg.png,United Kingdom,Books,1935; 86 years ago (1935),Penguin Random House,City of Westminster,www.penguin.com
420,Purple House Press,-1,United States,Books,2000,Unkown,"Cynthiana, Kentucky",purplehousepress.com
421,Pushkin Press,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Pushkin_Press.jpg/120px-Pushkin_Press.jpg,United Kingdom,Unknown,1997; 24 years ago (1997),Unkown,London,http://pushkinpress.com
422,The Quarto Group,https://upload.wikimedia.org/wikipedia/commons/b/bb/Quarto_Group_Logo.png,United Kingdom,Unknown,1976 (as The Quarto Group),Unkown,London,www.quarto.com
423,Que Publishing,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Pearson_logo.svg/220px-Pearson_logo.svg.png,United Kingdom,Textbooks,1844; 177 years ago (1844),Pearson plc,London,pearsoned.com
424,Quebecor,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Quebecor_logo.svg/200px-Quebecor_logo.svg.png,Unknown,Unknown,[1],Unkown,Unknown,Not available
425,Quirk Books,-1,United States,Books,2002,Unkown,Philadelphia,www.quirkbooks.com
426,Random House,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available
427,Reed Publishing,-1,New Zealand,Unknown,1907,Penguin Group,Unknown,Not available
428,RELX,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/RELX_logo.svg/220px-RELX_logo.svg.png,Unknown,Unknown,1993; 28 years ago (1993)(by merger),Unkown,Unknown,Not available
429,Riverhead Books,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Riverhead_Books_logo.png/220px-Riverhead_Books_logo.png,United States,Books,1994,Penguin Group,New York City,www.riverheadbooks.com
430,Robson Books,-1,Unknown,Books,2005,Unkown,London,www.pavilionbooks.com
431,Rodopi,-1,Netherlands,book series and journals,1966,Brill,Amsterdam,www.rodopi.nl/default.asp
432,Routledge Kegan Paul,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Routledge_logo.svg/150px-Routledge_logo.svg.png,United Kingdom,academic journals,1851; 170 years ago (1851),Taylor & Francis,Milton Park,routledge.com
433,Routledge,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Routledge_logo.svg/150px-Routledge_logo.svg.png,United Kingdom,academic journals,1851; 170 years ago (1851),Taylor & Francis,Milton Park,routledge.com
434,Taylor & Francis,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Taylor_%26_Francis_logo.svg/250px-Taylor_%26_Francis_logo.svg.png,United Kingdom,Peer-reviewed,1852; 169 years ago (1852),Informa,Milton Park,taylorandfrancis.com
435,Rowman & Littlefield,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Rowman_Littlefield_Logo.png/220px-Rowman_Littlefield_Logo.png,United States,Unknown,1949,Unkown,"Lanham, Maryland",rowman.com
436,Royal Society of Chemistry,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/RSC-brand-guidelines-2019_tcm18-246471.svg/250px-RSC-brand-guidelines-2019_tcm18-246471.svg.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
437,S&P Global,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/S%26P_Global_logo.svg/220px-S%26P_Global_logo.svg.png,Unknown,Unknown,1917; 104 years ago (1917),Unkown,Unknown,Not available
438,SAGE Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/SAGE_Publishing_logo.svg/220px-SAGE_Publishing_logo.svg.png,United States,"Academic books, journals, reference and library products",1965 (1965),Unkown,"Thousand Oaks, California",sagepub.com
439,St. Martin's Press,https://upload.wikimedia.org/wikipedia/en/9/90/St_martins_press_logo.png,United States,Unknown,1952; 69 years ago (1952),Macmillan Publishers,Equitable Building,stmartins.com
440,Salt Publishing,-1,United Kingdom,Books,1999,Unkown,Cromer,www.saltpublishing.com
441,Sams Publishing,-1,United States,Unknown,1940,Pearson Education,"Carmel, Indiana",www.informit.com/sams
442,Schocken Books,https://upload.wikimedia.org/wikipedia/en/5/58/Schocken_Books_logo.png,United States,Books,1931,Random House,New York City,schocken.knopfdoubleday.com
443,Scholastic Corporation,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Scholastic_logo.svg/220px-Scholastic_logo.svg.png,Unknown,Unknown,Wilkinsburg,Unkown,Unknown,Not available
444,Scribner,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Scribner-building.jpg/220px-Scribner-building.jpg,United States,Books,1846; 175 years ago (1846),Simon & Schuster,"153–157 Fifth Avenue, New York City",scribnerbooks.com
445,Seagull Books,-1,India,Books,1982,Unkown,Kolkata,www.seagullbooks.org
446,Serif,-1,United Kingdom,Books,1992; 29 years ago (1992),OR Books,London,www.serifbooks.co.uk
447,Shambhala Publications,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Shambhala_Publications_logo.gif/93px-Shambhala_Publications_logo.gif,United States,Unknown,1969,Unkown,Boulder,www.shambhala.com
448,Shire Books,-1,United Kingdom,Books,1962 (1962),Bloomsbury Publishing,London,www.bloomsbury.com/uk/non-fiction/history/heritage/
449,Sidgwick & Jackson,-1,United Kingdom,Books,1908,Pan Macmillan,London,http://www.panmacmillan.com
450,Signet Books,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/New_American_Library_-_logo.png/180px-New_American_Library_-_logo.png,United States,Unknown,1948,Berkley Books,New York City,www.penguin.com
451,New American Library,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/New_American_Library_-_logo.png/180px-New_American_Library_-_logo.png,United States,Unknown,1948,Berkley Books,New York City,www.penguin.com
452,Simon & Schuster,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Simon_and_Schuster.svg/220px-Simon_and_Schuster.svg.png,Unknown,Unknown,"January 2, 1924; 97 years ago (January 2, 1924)",Unkown,Unknown,Not available
453,Sinclair-Stevenson,-1,United Kingdom,books,1989,Unkown,Unknown,Not available
454,Society for Promoting Christian Knowledge,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/SPCK_Logo_from_2018_Onwards.png/200px-SPCK_Logo_from_2018_Onwards.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
455,Sounds True,-1,Unknown,Unknown,1985,Unkown,Unknown,Not available
456,Sourcebooks,-1,United States,Books,1987,Unkown,Naperville,www.sourcebooks.com
457,South End Press,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/South_End_Press.png/250px-South_End_Press.png,United States,Books,1977,Unkown,Boston,www.southendpress.org (dead link)
458,Spinsters Ink,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Spinsters_Ink_logo.png/100px-Spinsters_Ink_logo.png,Unknown,Unknown,1978,Unkown,Unknown,Not available
459,Springer Science+Business Media,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Springer.svg/250px-Springer.svg.png,Germany,Unknown,10 May 1842; 179 years ago (1842-05-10) (as Springer-Verlag),Unkown,Berlin,www.springer.com
460,Square One Publishers,https://upload.wikimedia.org/wikipedia/en/d/d2/Square_One_Publishers_logo.gif,United States,Books,2000,Unkown,"Garden City Park, NY",www.squareonepublishers.com
461,Stanford University Press,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Stanford_University_Press_logo.svg/220px-Stanford_University_Press_logo.svg.png,United States,Books,1892,Unkown,"Redwood City, California",sup.org
462,The Stationery Office,https://upload.wikimedia.org/wikipedia/en/8/84/TSO_logo.png,Unknown,Unknown,1996,Unkown,Unknown,Not available
463,Steidl,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Steidl_Logo.jpg/220px-Steidl_Logo.jpg,Germany,"Books, Photobooks",1968,Unkown,Göttingen,steidl.de
464,Stein and Day,-1,United States,Books,1962,Unkown,New York City,Not available
465,Summit Media,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Summit_Media_logo.svg/180px-Summit_Media_logo.svg.png,Unknown,Unknown,Mandaluyong,Unkown,Unknown,Not available
466,SUNY Press,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/State_University_of_New_York_seal.svg/150px-State_University_of_New_York_seal.svg.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
467,T&T Clark,-1,United Kingdom,Academic journals,Edinburgh,Bloomsbury Publishing,London,www.bloomsbury.com
468,Tachyon Publications,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Tachyon_logo.jpg/120px-Tachyon_logo.jpg,United States,Unknown,1995,Unkown,San Francisco,www.tachyonpublications.com
469,Target Books,https://upload.wikimedia.org/wikipedia/en/1/11/Target_books.png,United Kingdom,Unknown,1973,Universal-Tandem Publishing Co Ltd,Unknown,Not available
470,Tarpaulin Sky Press,-1,United States,"Books, literary journals",2006,Unkown,"Grafton, Vermont",tarpaulinsky.com
471,Tartarus Press,-1,United Kingdom,"Books, journals",1990,Unkown,Leyburn,www.tartaruspress.com
472,Taunton Press,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/TheTauntonPressLogo.png/225px-TheTauntonPressLogo.png,United States,Magazines,1975,Unkown,Newtown,www.taunton.com
473,Taylor & Francis,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Taylor_%26_Francis_logo.svg/250px-Taylor_%26_Francis_logo.svg.png,United Kingdom,Peer-reviewed,1852; 169 years ago (1852),Informa,Milton Park,taylorandfrancis.com
474,Ten Speed Press,https://upload.wikimedia.org/wikipedia/en/5/5e/Ten_Speed_Press_logo.png,United States,Books,1971,Crown Publishing Group,Unknown,crownpublishing.com/archives/imprint/ten-speed-press
475,Thames & Hudson,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Thames_and_Hudson_logo.svg/100px-Thames_and_Hudson_logo.svg.png,United Kingdom,Books,1949,Unkown,High Holborn,www.thamesandhudson.com
476,Thames & Hudson USA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Thames_and_Hudson_logo.svg/100px-Thames_and_Hudson_logo.svg.png,United Kingdom,Books,1949,Unkown,High Holborn,www.thamesandhudson.com
477,Thieme Medical Publishers,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Thieme_logo.png/250px-Thieme_logo.png,Germany,Books,1886 (1886),Unkown,Stuttgart,www.thieme.com
478,Third World Press,-1,United States,Books,1967,Unkown,Chicago,thirdworldpressfoundation.org
479,Thomas Nelson,https://upload.wikimedia.org/wikipedia/en/1/15/Thomas_Nelson_logo.jpg,Scotland,"Bibles, books, curriculum, digital content",17981854 (US),HarperCollins,"Nashville, Tennessee",www.thomasnelson.com
480,Ticonderoga Publications,https://upload.wikimedia.org/wikipedia/commons/8/87/TP-Logo-Black-web-100px.jpg,Australia,Unknown,1996,Unkown,"Greenwood, Western Australia",http://ticonderogapublications.com
481,Time Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Time_Inc._logo.svg/220px-Time_Inc._logo.svg.png,Unknown,Unknown,spin-off,Unkown,Unknown,Not available
482,Times Books,-1,United States,Unknown,19592000 (relaunch),Henry Holt,New York City,Not available
483,Titan Books,-1,UK,Books,1981,Titan Entertainment Group,Bankside,titanbooks.com
484,Top Shelf Productions,https://upload.wikimedia.org/wikipedia/en/4/47/Topshelf_logo.png,United States,Comics,1997,IDW Publishing,Marietta,www.topshelfcomix.com
485,Tor Books,https://upload.wikimedia.org/wikipedia/en/thumb/1/1f/Tor_Books_2016.svg/200px-Tor_Books_2016.svg.png,United States,E-books,"April 2, 1980; 41 years ago (1980-04-02)",Macmillan,Equitable Building,us.macmillan.com/torforge
486,Triangle Books,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/SPCK_Logo_from_2018_Onwards.png/200px-SPCK_Logo_from_2018_Onwards.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
487,Society for Promoting Christian Knowledge,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/SPCK_Logo_from_2018_Onwards.png/200px-SPCK_Logo_from_2018_Onwards.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
488,Tupelo Press,-1,United States,Books,1999,Unkown,"North Adams, Massachusetts",www.tupelopress.org
489,Tuttle Publishing,-1,United States of America,Books,1948,Periplus Publishing Group,"North Clarendon, Vermont",tuttlepublishing.com
490,Two Dollar Radio,-1,United States,Unknown,2005,Unkown,"Columbus, Ohio",www.twodollarradio.com
491,United States Government Publishing Office,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Seal_of_the_United_States_Government_Printing_Office.svg/100px-Seal_of_the_United_States_Government_Printing_Office.svg.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
492,Universal Publishers (United States),https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Universal-Publishers-BrownWalkerPress-DissertationCom-Logos2015a.jpg/220px-Universal-Publishers-BrownWalkerPress-DissertationCom-Logos2015a.jpg,United States,Books,1999,Unkown,"Irvine, California",www.universal-publishers.com
493,University of Akron Press,-1,United States,Books,1988,University of Akron,"Akron, Ohio",www.uakron.edu/uapress/
494,University of Alabama Press,-1,United States,"Books, Journals",1945; 76 years ago (1945),University of Alabama,"Tuscaloosa, Alabama",www.uapress.ua.edu
495,University of Alaska Press,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/University_of_Alaska_Press.jpg/220px-University_of_Alaska_Press.jpg,United States,Books,1967,University of Alaska,"College, Alaska",www.alaska.edu/uapress/
496,University of British Columbia Press,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/UBC_Press_logo.png/220px-UBC_Press_logo.png,Canada,Books,1971,University of British Columbia,Vancouver,www.ubcpress.ca
497,University of California Press,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/UCPRESS_LOGO.png/220px-UCPRESS_LOGO.png,United States,Books,1893,University of California,"Berkeley, California",www.ucpress.edu
498,University of Chicago Press,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/University_of_Chicago_Press_logo.jpg/220px-University_of_Chicago_Press_logo.jpg,United States,Books,[1],University of Chicago,Chicago,press.uchicago.edu
499,University of Michigan Press,https://upload.wikimedia.org/wikipedia/en/8/88/UMPress-logo.png,United States,"Books, digital media",[1],University of Michigan,"Ann Arbor, Michigan",press.umich.edu
500,University of Minnesota Press,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/University_of_Minnesota_Press_logo.svg/50px-University_of_Minnesota_Press_logo.svg.png,United States,Books,1925,Unkown,Minneapolis,www.upress.umn.edu
501,University of Nebraska Press,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Nebraska-logo.jpg/220px-Nebraska-logo.jpg,United States,Books,1941,University of Nebraska–Lincoln,"Lincoln, Nebraska",www.nebraskapress.unl.edu
502,University of Pennsylvania Press,https://upload.wikimedia.org/wikipedia/en/b/b7/Penn_press.jpg,United States,"Books, magazine, journals","March 26, 1890",University of Pennsylvania,Philadelphia,Official website
503,University of Queensland Press,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/UQP_logo_gif_medium.gif/220px-UQP_logo_gif_medium.gif,Australia,Books,1948,University of Queensland,Brisbane,www.uqp.com.au
504,University of South Carolina Press,-1,United States,Books,1944,University of South Carolina,"Columbia, South Carolina",uscpress.com
505,University of Toronto Press,-1,Canada,Scholarly books and journals,1901,University of Toronto,Toronto,Official website
506,University of Wales Press,-1,United Kingdom,Journals,1922,University of Wales Trinity Saint David,Cardiff,www.uwp.co.uk
507,The University Press Limited,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Logo_of_University_Press_Limited.png/220px-Logo_of_University_Press_Limited.png,Bangladesh,journals,1975; 46 years ago (1975),Unkown,Farmgate,www.uplbooks.com
508,University Press of America,-1,United States,Books,1975,Rowman & Littlefield,Lanham,www.univpress.com
509,University Press of Kansas,-1,United States,Books,1946,Kansas Board of Regents,"Lawrence, Kansas",kansaspress.ku.edu
510,University Press of Kentucky,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/UPK_HorizontalLogo.png/220px-UPK_HorizontalLogo.png,United States,Unknown,1949,University of Kentucky Office of the Provost,"Lexington, Kentucky",www.kentuckypress.com
511,Usborne Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Usborne_Books_logo.svg/220px-Usborne_Books_logo.svg.png,United Kingdom,Unknown,5 December 1973; 47 years ago (1973-12-05),Unkown,London,usborne.com
512,Valancourt Books,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Valancourt_Books_Corporate_Logo_2014.png/220px-Valancourt_Books_Corporate_Logo_2014.png,United States,Novels,2005,Unkown,"Richmond, Virginia",valancourtbooks.com
513,Verso Books,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Verso_Books_logo.svg/220px-Verso_Books_logo.svg.png,Unknown,Books,1970; 51 years ago (1970) (as New Left Books),New Left Review,Meard Street,www.versobooks.com
514,Victor Gollancz Ltd,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Victor-gollancz-logo.png/100px-Victor-gollancz-logo.png,United Kingdom,Books,1927; 94 years ago (1927),Orion Publishing Group,London,www.gollancz.co.uk
515,Viking Press,https://upload.wikimedia.org/wikipedia/en/9/9a/Viking_Press_logo.png,United States,Unknown,1925; 96 years ago (1925),Penguin Random House,New York City,Viking Books
516,Vintage Books,https://upload.wikimedia.org/wikipedia/en/a/ae/Vintage_Books_logo.png,"United States, United Kingdom",Unknown,1954; 67 years ago (1954),Random House,New York City,knopfdoubleday.com/imprint/vintage/
517,Virago Press,-1,United Kingdom,Unknown,1973; 48 years ago (1973),Hachette Livre,Unknown,http://www.virago.co.uk/
518,Virgin Books,https://upload.wikimedia.org/wikipedia/en/4/4f/Virgin_Books.png,United Kingdom,Books,[1],Unkown,London,www.penguin.co.uk/company/publishers/ebury/virgin-books.html
519,Voyager Books,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com
520,HarperCollins,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com
521,W. H. Allen & Co.,-1,United Kingdom,Books,1835 (1835),Unkown,London,Not available
522,W. W. Norton & Company,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Norton_Company_logo.svg/220px-Norton_Company_logo.svg.png,United States,Books,1923; 98 years ago (1923),Unkown,New York City,wwnorton.com
523,Walter de Gruyter,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Verlag_Walter_de_Gruyter_Logo.svg/220px-Verlag_Walter_de_Gruyter_Logo.svg.png,Germany,Unknown,1749; 272 years ago (1749),Unkown,Berlin,www.degruyter.com
524,Ward Lock & Co,-1,United Kingdom,"Books, magazines",1854; 167 years ago (1854),Unkown,London,Not available
525,WBusiness Books,-1,United States,Books,1974,Academic Learning Company,"El Monte, California",newwinpublishing.com
526,Weidenfeld & Nicolson,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/Wn-logo-2014.jpg/220px-Wn-logo-2014.jpg,United Kingdom,Books,[1],Orion Publishing Group,London,orionbooks.co.uk
527,Wesleyan University Press,-1,United States,Books,1957,Wesleyan University,"Middletown, Connecticut",wesleyan.edu/wespress
528,WestBow Press,https://upload.wikimedia.org/wikipedia/en/1/15/Thomas_Nelson_logo.jpg,Scotland,"Bibles, books, curriculum, digital content",17981854 (US),HarperCollins,"Nashville, Tennessee",www.thomasnelson.com
529,Thomas Nelson,https://upload.wikimedia.org/wikipedia/en/1/15/Thomas_Nelson_logo.jpg,Scotland,"Bibles, books, curriculum, digital content",17981854 (US),HarperCollins,"Nashville, Tennessee",www.thomasnelson.com
530,Westminster John Knox Press,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/Westminster_John_Knox_logo.jpg/200px-Westminster_John_Knox_logo.jpg,United States,Books,Unknown,Presbyterian Publishing Corporation,"Louisville, Kentucky",www.wjkbooks.com
531,Wildside Press,-1,United States,Audiobooks,1989,Unkown,"Rockville, Maryland",www.wildsidepress.com
532,Wiley,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Wiley_logo.svg/220px-Wiley_logo.svg.png,United States,Unknown,New York City,Unkown,"Hoboken, New Jersey",www.wiley.com
533,William B. Eerdmans Publishing Company,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Eerdmans-logo.png/200px-Eerdmans-logo.png,United States,Books,1911,Unkown,"Grand Rapids, Michigan",www.eerdmans.com
534,Windgate Press,-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
535,Wipf and Stock,-1,United States,books,1995,Unkown,"Eugene, Oregon",wipfandstock.com
536,Wisdom Publications,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/FPMT.png/180px-FPMT.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
537,Witherby Publishing Group,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Witherby_Publishing_Group_Logo.png/220px-Witherby_Publishing_Group_Logo.png,United Kingdom,Unknown,1740,Unkown,"Livingston, West Lothian",www.witherbypublishinggroup.com
538,Woodhead Publishing,-1,Unknown,Books,1989,Elsevier,Sawston,www.elsevier.com/books-and-journals/woodhead-publishing
539,Wordfarm,-1,United States,Books,2003,Unkown,Seattle,www.wordfarm.net
540,Workman Publishing Company,https://upload.wikimedia.org/wikipedia/en/9/93/Workmen.jpg,United States,Books,1968,Unkown,New York City,workman.com
541,World Publishing Company,-1,United States,Books,1902; 119 years ago (1902),Times Mirror Company,Cleveland,Not available
542,World Scientific,https://upload.wikimedia.org/wikipedia/en/c/c1/WSPC-LOGO.jpg,Singapore,Books,1981; 40 years ago (1981),Unkown,Unknown,www.worldscientific.com
543,Wiley,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Wiley_logo.svg/220px-Wiley_logo.svg.png,United States,Unknown,New York City,Unkown,"Hoboken, New Jersey",www.wiley.com
544,WSOY,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Sanoma_logo_2013.png/220px-Sanoma_logo_2013.png,Unknown,Unknown,1999,Unkown,Unknown,Not available
545,Xoanon Publishing,-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
546,Yale University Press,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Yale_press_logo.png/100px-Yale_press_logo.png,United States,Unknown,1908,Yale University,"New Haven, Connecticut",yalebooks.yale.edu
547,Zed Books,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/ZED_Books_New_Logo.png/220px-ZED_Books_New_Logo.png,United Kingdom,Books,1976; 45 years ago (1976),Unkown,London,www.zedbooks.net
548,Ziff Davis,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Ziff_Davis_Logo.png/220px-Ziff_Davis_Logo.png,Unknown,Unknown,"Chicago, Illinois",Unkown,Unknown,Not available
549,Zondervan,https://upload.wikimedia.org/wikipedia/en/7/75/ZondervanLogo.png,United States,Books,1931,HarperCollins,"Grand Rapids, Michigan",zondervan.com
550,Abaddon Books,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Abaddon_Books.png/220px-Abaddon_Books.png,United Kingdom,Books,August 2006,Rebellion,Oxford,www.abaddonbooks.com
551,Academic Press,-1,United States,Unknown,1941,Elsevier,"Cambridge, Massachusetts",www.elsevier.com/books-and-journals/academic-press
552,Adlard Coles Nautical,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Adlard_Coles_logo.png/220px-Adlard_Coles_logo.png,United Kingdom,Books,1947,Bloomsbury Publishing Plc,London,Adlard Coles Nautical
553,Allen & Unwin,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Allen_%26_Unwin_logo.svg/220px-Allen_%26_Unwin_logo.svg.png,Australia,Books,1914 (British arm)  1976 (Australia),Unkown,"Crows Nest, New South Wales",allenandunwin.com
554,Allison & Busby,-1,England,Books,1967; 54 years ago (1967),Unkown,London,www.allisonandbusby.com
555,Alma Books,-1,United Kingdom,books,2005,Unkown,London,www.almabooks.com
556,And Other Stories,-1,United Kingdom,Books,2009,Unkown,Sheffield,www.andotherstories.org
557,Andersen Press,https://upload.wikimedia.org/wikipedia/en/1/17/Andersenpresslogo.png,United Kingdom,Unknown,1976; 45 years ago (1976),Unkown,London,www.andersenpress.com
558,Angry Robot,-1,United Kingdom,Unknown,2008,Watkins Media,Nottingham,www.angryrobotbooks.com
559,Arc Publications,https://upload.wikimedia.org/wikipedia/en/a/a4/Arc_Publications_logo.gif,United Kingdom,Books,1969,Unkown,"Todmorden, Lancashire",www.arcpublications.co.uk
560,Artech House,-1,United States,Unknown,1974,Horizon House Publications,"Norwood, Massachusetts",www.artechhouse.com
561,Ashgate Publishing,-1,United Kingdom,Unknown,1967,Unkown,Farnham,www.ashgate.com
562,Atlantic Books,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Atlantic_Books_logo.jpg/200px-Atlantic_Books_logo.jpg,United Kingdom,Books,February 2000,Unkown,London,http://www.atlantic-books.co.uk
563,Atlas Press,-1,United Kingdom,Unknown,1983,Unkown,Unknown,www.atlaspress.co.uk
564,Atomic Antelope,-1,Unknown,Textbooks,2009,Unkown,Unknown,Not available
565,Bantam Press,-1,United Kingdom,Textbooks,Unknown,Penguin Random House,London,www.penguin.co.uk/company/publishers/transworld/bantam-press.html
566,Barrie & Jenkins,-1,United Kingdom,Unknown,1964,Random House,London,Not available
567,Batsford Books,-1,Unknown,Unknown,2005,Unkown,London,www.pavilionbooks.com
568,BBC Books,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/BBCbooks.svg/200px-BBCbooks.svg.png,United Kingdom,Unknown,Unknown,Penguin Random House,London,eburypublishing.co.uk
569,Berghahn Books,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Blue_BB_LOGO_TIFF.tif/lossy-page1-90px-Blue_BB_LOGO_TIFF.tif.jpg,United States,Unknown,1994,Unkown,New York City,www.berghahnbooks.com
570,Bitter Lemon Press,-1,United Kingdom,Books,2003,Unkown,London,www.bitterlemonpress.com
571,BL Publishing,https://upload.wikimedia.org/wikipedia/en/0/08/Sabertooth_Games_logo.jpg,Unknown,Books,2001,Unkown,Unknown,Not available
572,Black Dog Publishing,-1,United Kingdom,Unknown,1993,St James’s House Media Group,London,www.blackdogonline.com
573,Black Flame (publisher),-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
574,Black Ink Collective,-1,England,Books,1978,Unkown,"Brixton, London",Not available
575,Black Library,-1,United Kingdom,Books,April 1997,Games Workshop,Nottingham,www.blacklibrary.com
