,name,image,origin,publication_types,founded,parent_comp,hq,website,AuthorConnections,BookConnections,id
0,1517 Media,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Augsburg_Fortress_logo.png/200px-Augsburg_Fortress_logo.png,United States,Books,1988,Evangelical Lutheran Church in America,Minneapolis,www.1517.media,,,0
1,Evangelical Lutheran Church in America,https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/ELCA_Brandmark_Stacked.png/200px-ELCA_Brandmark_Stacked.png,Unknown,Unknown,Unknown,Unkown,Unknown,www.elca.org,,,1
2,37 INK,-1,United States,Books,2013,Simon & Schuster,New York City,37 INK,,,2
3,Atria,https://upload.wikimedia.org/wikipedia/en/3/32/Atria_logo.png,United States,Books,2002,Simon & Schuster,Simon & Schuster Building,www.simonandschusterpublishing.com/atria/,,,3
4,A & C Black,-1,United Kingdom,Books,1807; 214 years ago (1807),Bloomsbury Publishing,London,www.acblack.com,,,4
5,Bloomsbury Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Bloomsbury-publishing-logo.PNG/250px-Bloomsbury-publishing-logo.PNG,United Kingdom,books,26 September 1986; 35 years ago (1986-09-26),Unkown,London,www.bloomsbury.com,,,5
6,Abilene Christian University Press,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/ACU_Press_Current_Logo.jpg/220px-ACU_Press_Current_Logo.jpg,Unknown,Books,1984,Abilene Christian University,"Abilene, Texas",www.acupressbooks.com,,,6
7,Ablex Publishing,-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,7
8,Elsevier,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Elsevier_logo_2019.svg/220px-Elsevier_logo_2019.svg.png,Unknown,Unknown,1880; 141 years ago (1880),Unkown,Unknown,Not available,113,406,8
9,Abrams Books,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Abrams_Logo.svg/220px-Abrams_Logo.svg.png,United States,Books,"November 3, 1949; 71 years ago (1949-11-03)",La Martinière,New York City,www.abramsbooks.com,,,9
10,Academic Press,-1,United States,Unknown,1941,Elsevier,"Cambridge, Massachusetts",www.elsevier.com/books-and-journals/academic-press,,,10
11,Elsevier,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Elsevier_logo_2019.svg/220px-Elsevier_logo_2019.svg.png,Unknown,Unknown,1880; 141 years ago (1880),Unkown,Unknown,Not available,113,406,11
12,Ace Books,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Ace-books-logo.png/220px-Ace-books-logo.png,United States,Books,1952; 69 years ago (1952),Berkley Books,New York City,www.penguin.com,,,12
13,Penguin Group,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Penguin_Publishing_Group_logo.png/220px-Penguin_Publishing_Group_logo.png,Unknown,Unknown,1935; 86 years ago (1935)(as Penguin Books),Unkown,Unknown,Not available,27,106,13
14,Addison-Wesley,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Addison_Wesley_Logo.svg/220px-Addison_Wesley_Logo.svg.png,United States,Textbooks,1942; 79 years ago (1942),Pearson Education,Boston,www.savvas.com,,,14
15,Pearson Education,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Pearson_logo.svg/220px-Pearson_logo.svg.png,United Kingdom,Textbooks,1844; 177 years ago (1844),Pearson plc,London,pearsoned.com,,,15
16,Adis International,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Springer.svg/250px-Springer.svg.png,Germany,Unknown,10 May 1842; 179 years ago (1842-05-10) (as Springer-Verlag),Unkown,Berlin,www.springer.com,,,16
17,Wolters Kluwer,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Wolters_Kluwer_logo.svg/220px-Wolters_Kluwer_logo.svg.png,Unknown,Unknown,1968; 53 years ago (1968),Unkown,Unknown,Not available,,,17
18,Airiti Press,https://upload.wikimedia.org/wikipedia/en/c/ca/Airiti_Logo.jpg,Unknown,Unknown,2000,Unkown,Unknown,Not available,,,18
19,Airiti Inc,https://upload.wikimedia.org/wikipedia/en/c/ca/Airiti_Logo.jpg,Unknown,Unknown,2000,Unkown,Unknown,Not available,,,19
20,Akashic Books,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/AkashicBooksLogo.jpg/220px-AkashicBooksLogo.jpg,United States,Books,1997,Unkown,Brooklyn,www.akashicbooks.com,,,20
21,Aladdin Paperbacks,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Aladdin_Paperbacks_Publishing_Logo_%28Simon_%26_Schuster%29.png/220px-Aladdin_Paperbacks_Publishing_Logo_%28Simon_%26_Schuster%29.png,United States,Books,"March 5, 1967; 54 years ago (1967-03-05)",Simon & Schuster,New York City,simonandschusterpublishing.com/aladdin/,,,21
22,Simon & Schuster,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Simon_and_Schuster.svg/220px-Simon_and_Schuster.svg.png,Unknown,Unknown,"January 2, 1924; 97 years ago (January 2, 1924)",Unkown,Unknown,Not available,,,22
23,Alfred A. Knopf,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Knopf_Borzoi_1920.png/220px-Knopf_Borzoi_1920.png,United States,Unknown,1915; 106 years ago (1915),Penguin Random House,New York City,knopf.knopfdoubleday.com,,,23
24,Allen & Unwin,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Allen_%26_Unwin_logo.svg/220px-Allen_%26_Unwin_logo.svg.png,Australia,Books,1914 (British arm)  1976 (Australia),Unkown,"Crows Nest, New South Wales",allenandunwin.com,110,"373,378,382,385",24
25,Allison & Busby,-1,England,Books,1967; 54 years ago (1967),Unkown,London,www.allisonandbusby.com,,,25
26,Alma Books,-1,United Kingdom,Books,2005,Unkown,London,www.almabooks.com,,,26
27,Alyson Books,-1,United States,Books,1980,Regent Media,New York City,www.alyson.com,,,27
28,André Deutsch,-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,28
29,Carlton Publishing Group,-1,United Kingdom,Books,2019,Unkown,London,www.welbeckpublishing.com,,,29
30,Andrews McMeel Publishing,-1,United States,"Books, Calendars",1975; 46 years ago (1975),Andrews McMeel,"Kansas City, Missouri",publishing.andrewsmcmeel.com,,,30
31,Anova Books,-1,Unknown,Books,2005,Unkown,London,www.pavilionbooks.com,,,31
32,Pavilion Books,-1,Unknown,Books,2005,Unkown,London,www.pavilionbooks.com,,,32
33,Antenne Books,-1,United Kingdom,Books,2010,Unkown,London,www.antennebooks.com,,,33
34,Applewood Books,-1,United States,Unknown,1976,Unkown,"Carlisle, Massachusetts",www.awb.com,,,34
35,Apress,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Apress-logo.png/220px-Apress-logo.png,United States,Books,Unknown,Springer Nature,New York City,www.apress.com,,,35
36,Arbor House,-1,United States,Unknown,1969,Unkown,Unknown,Not available,,,36
37,Arbordale Publishing,https://upload.wikimedia.org/wikipedia/en/3/32/Arbordale_Publishing.jpg,United States,Books,2004,Unkown,"Mount Pleasant, SC",arbordalepublishing.com,,,37
38,Arcade Publishing,-1,United States,Books,1988,Skyhorse Publishing,Unknown,www.arcadepub.com,,,38
39,Arcadia Publishing,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Arcadia_Vertical_Logo.png/180px-Arcadia_Vertical_Logo.png,United States,Books,1993,Lezen,"Charleston, South Carolina",www.arcadiapublishing.com,,,39
40,Arkham House,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Arkham_House_%28logo%29.png/100px-Arkham_House_%28logo%29.png,Unknown,Books,1939 (1939),Unkown,"Sauk City, Wisconsin",www.arkhamhouse.com,,,40
41,Arktos Media,-1,Unknown,Unknown,[1],Unkown,Budapest,https://arktos.com,,,41
42,Armida Publications,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Armida_new_logo.jpg/220px-Armida_new_logo.jpg,Cyprus,Books,1997,Armida Publications Ltd,Ayios Dhometios,www.armidabooks.com,,,42
43,ArtScroll,https://upload.wikimedia.org/wikipedia/en/d/df/ArtScroll_logo.jpg,United States,Unknown,1976,Mesorah Publications,"Rahway, New Jersey",www.artscroll.com,,,43
44,Athabasca University Press,-1,Canada,Unknown,2007,Athabasca University,"Athabasca, Alberta",www.aupress.ca,,,44
45,Atheneum Books,-1,United States,Books,1959,Simon & Schuster,New York City,simonandschusterpublishing.com/atheneum/,,,45
46,Simon & Schuster,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Simon_and_Schuster.svg/220px-Simon_and_Schuster.svg.png,Unknown,Unknown,"January 2, 1924; 97 years ago (January 2, 1924)",Unkown,Unknown,Not available,,,46
47,The Making of the President 1960,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/The_Making_of_the_President_1960_Front_Cover_%281961_first_edition%29.jpg/220px-The_Making_of_the_President_1960_Front_Cover_%281961_first_edition%29.jpg,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,47
48,Atlantic Books,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Atlantic_Books_logo.jpg/200px-Atlantic_Books_logo.jpg,United Kingdom,Books,February 2000,Unkown,London,http://www.atlantic-books.co.uk,110,"371,372,376",48
49,Atlas Press,-1,United Kingdom,Unknown,1983,Unkown,Unknown,www.atlaspress.co.uk,69,216,49
50,ATOM Books,-1,United Kingdom,Books,1938,Hachette,Victoria Embankment,www.littlebrown.co.uk,,,50
51,Atria Publishing Group,https://upload.wikimedia.org/wikipedia/en/3/32/Atria_logo.png,United States,Books,2002,Simon & Schuster,Simon & Schuster Building,www.simonandschusterpublishing.com/atria/,,,51
52,"Little, Brown",https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Little_Brown_Company_logo.svg/220px-Little_Brown_Company_logo.svg.png,United States/United Kingdom,Unknown,1837; 184 years ago (1837),Hachette Book Group USA,New York City,littlebrown.com,104,"341,342,344,345,346,347,349,350,354,355",52
53,Aunt Lute Books,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Aunt_Lute_Books.jpg/220px-Aunt_Lute_Books.jpg,Unknown,Books,1982,Unkown,"San Francisco, CA",auntlute.com,,,53
54,Austin Macauley Publishers,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Logo_for_Austin_Macauley_Publishers.jpg/220px-Logo_for_Austin_Macauley_Publishers.jpg,United Kingdom,Books,2006,Unkown,London,www.austinmacauley.com,,,54
55,Avery Publishing,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Avery_Publishing_logo.png/220px-Avery_Publishing_logo.png,United States,Books,1976,Penguin Random House,New York City,www.penguin.com,,,55
56,Penguin Group,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Penguin_Publishing_Group_logo.png/220px-Penguin_Publishing_Group_logo.png,Unknown,Unknown,1935; 86 years ago (1935)(as Penguin Books),Unkown,Unknown,Not available,27,106,56
57,Avon Publications,-1,United States,Unknown,1941; 80 years ago (1941),HarperCollins,New York City,avonromance.com,,,57
58,HarperCollins,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com,"83,110","263,273,275,277,377",58
59,Baen Books,https://upload.wikimedia.org/wikipedia/en/e/e1/Baen_Books_logo.png,United States,Books,1983,Unkown,"Wake Forest, North Carolina",www.baen.com,,,59
60,Baker Publishing Group,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Baker_Publishing_Group_logo.jpg/200px-Baker_Publishing_Group_logo.jpg,United States,Unknown,1939,Unkown,"Ada, Michigan",bakerpublishinggroup.com,,,60
61,Ballantine Books,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Ballantine-books-logo.png/160px-Ballantine-books-logo.png,United States,Unknown,1952; 69 years ago (1952),Random House,New York City,randomhousebooks.com,17,"54,56,57,59,60,63",61
62,Banner of Truth Trust,https://upload.wikimedia.org/wikipedia/en/thumb/1/19/Banner_of_Truth.jpg/100px-Banner_of_Truth.jpg,United Kingdom,"Books, magazine",1957 (1957),Unkown,Edinburgh,www.banneroftruth.org,,,62
63,Bantam Books,https://upload.wikimedia.org/wikipedia/en/e/e2/Bantam_Logo.png,United States,Unknown,1945; 76 years ago (1945),Random House,New York City,www.randomhousebooks.com,17,67,63
64,Random House,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available,"17,24,27,83,86,110","58,66,68,75,281,284,296,299,313,374,384",64
65,Bantam Spectra,https://upload.wikimedia.org/wikipedia/en/e/e4/Bantam_Spectra_logo.png,United States,Books,1945,Bantam Books,"New York City, New York",www.unboundworlds.com,,,65
66,Bantam Books,https://upload.wikimedia.org/wikipedia/en/e/e2/Bantam_Logo.png,United States,Unknown,1945; 76 years ago (1945),Random House,New York City,www.randomhousebooks.com,17,67,66
67,Barrie & Jenkins,-1,United Kingdom,Books,1964,Random House,London,Not available,,,67
68,Basic Books,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Basic_Books_colophon.png/220px-Basic_Books_colophon.png,United States,Unknown,1950,Hachette Books,"New York, New York",www.basicbooks.com,,,68
69,BBC Books,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/BBCbooks.svg/200px-BBCbooks.svg.png,United Kingdom,Books,Unknown,Penguin Random House,London,eburypublishing.co.uk,,,69
70,Belknap Press,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Harvard_univ_press.svg/220px-Harvard_univ_press.svg.png,United States,Academic publishing,"January 13, 1913 (1913-01-13)",Harvard University,"Cambridge, Massachusetts",www.hup.harvard.edu,,,70
71,Bella Books,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Bella_Books_logo.png/100px-Bella_Books_logo.png,United States,Unknown,2001,Unkown,"Tallahassee, Florida",www.bellabooks.com,,,71
72,Bellevue Literary Press,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Bellevue_literary_press.png/180px-Bellevue_literary_press.png,United States,Books,2007,Unkown,"New York, New York",www.blpress.org,,,72
73,Bendon Publishing International,-1,United States,Books,2001,Unkown,Ohio,www.bendonpub.com,,,73
74,Berg Publishers,-1,United Kingdom,Books,1983 (1983),Unkown,Oxford,www.bergpublishers.com/Home/tabid/36/Default.aspx,,,74
75,Bloomsbury Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Bloomsbury-publishing-logo.PNG/250px-Bloomsbury-publishing-logo.PNG,United Kingdom,books,26 September 1986; 35 years ago (1986-09-26),Unkown,London,www.bloomsbury.com,,,75
76,Berkley Books,https://upload.wikimedia.org/wikipedia/commons/1/1b/Berkley_Books_logo.png,United States,Unknown,1955; 66 years ago (1955),Penguin Group,New York City,berkleyjoveauthors.com,,,76
77,Bison Books,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Nebraska-logo.jpg/220px-Nebraska-logo.jpg,United States,Books,1941,University of Nebraska–Lincoln,"Lincoln, Nebraska",www.nebraskapress.unl.edu,,,77
78,Black Dog Publishing,-1,United Kingdom,Books,1993,St James’s House Media Group,London,www.blackdogonline.com,,,78
79,Black Ink Collective,-1,England,Books,1978,Unkown,"Brixton, London",Not available,,,79
80,Black Library,-1,United Kingdom,Books,April 1997,Games Workshop,Nottingham,www.blacklibrary.com,,,80
81,Black Sparrow Press,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Black_Sparrow_Press_Logo.jpg/220px-Black_Sparrow_Press_Logo.jpg,United States,Books,1966,Godine,Boston,godine.com,,,81
82,Black & White Publishing,-1,United Kingdom,Books,1999,Unkown,Edinburgh,blackandwhitepublishing.com,,,82
83,Blackstaff Press,https://upload.wikimedia.org/wikipedia/en/c/c4/Blackstaff_Press_logo.jpg,Northern Ireland,Books,1971,Colourpoint Books,Newtownards,blackstaffpress.com,,,83
84,Blackwell Publishing,https://upload.wikimedia.org/wikipedia/commons/5/54/Wiley_Blackwell_Logo.gif,United States,academic journals,1922; 99 years ago (1922),John Wiley & Sons,"Hoboken, New Jersey",www.wiley.com/wiley-blackwell,,,84
85,Blake Publishing,-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,85
86,Bloodaxe Books,-1,United Kingdom,Books,1978,Unkown,Hexham,www.bloodaxebooks.com,,,86
87,Bloomsbury Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Bloomsbury-publishing-logo.PNG/250px-Bloomsbury-publishing-logo.PNG,United Kingdom,books,26 September 1986; 35 years ago (1986-09-26),Unkown,London,www.bloomsbury.com,,,87
88,Blue Ribbon Books,https://upload.wikimedia.org/wikipedia/en/thumb/f/fe/Doubleday_Publishing.png/220px-Doubleday_Publishing.png,United States,Books,1897; 124 years ago (1897),Penguin Random House,New York City,knopfdoubleday.com/imprint/doubleday/,,,88
89,Bobbs-Merrill Company,-1,United States,Unknown,1850; 171 years ago (1850),SAMS Publishing,Indianapolis,Not available,,,89
90,Howard W. Sams Company,-1,United States,Unknown,1940,Pearson Education,"Carmel, Indiana",www.informit.com/sams,,,90
91,Bogle-L'Ouverture Publications,-1,UK,"Non-fiction, fiction, poetry and children's books by Black writers",1969; 52 years ago (1969),Unkown,Unknown,Not available,,,91
92,Book League of America,https://upload.wikimedia.org/wikipedia/en/5/5a/Book-League-of-America-logo.png,Unknown,Unknown,1930,Unkown,Unknown,Not available,,,92
93,Booktrope,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Booktrope_Logo.png/300px-Booktrope_Logo.png,United States,Books,Unknown,Unkown,Seattle,www.booktrope.com,,,93
94,Borgo Press,-1,United States,Unknown,1975,Unkown,"San Bernardino, California",Not available,,,94
95,Wildside Press,-1,United States,Audiobooks,1989,Unkown,"Rockville, Maryland",www.wildsidepress.com,,,95
96,Boundless,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Boundless-logo-centered.png/220px-Boundless-logo-centered.png,Unknown,Unknown,March 2011; 10 years ago (2011-03),Unkown,Unknown,Not available,,,96
97,Boydell & Brewer,-1,England,Unknown,1978; 43 years ago (1978),Unkown,Suffolk,boydellandbrewer.com,,,97
98,Broadside Lotus Press,-1,United States,Books,Dudley Randall – Broadside Press 1965; 56 years ago (1965),Unkown,Detroit,broadsidelotuspress.org,,,98
99,Brill Publishers,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Brill_Publishers_logo.svg/180px-Brill_Publishers_logo.svg.png,Netherlands,Books,1683; 338 years ago (1683),Unkown,Leiden,brill.com,,,99
100,Broadview Press,-1,Canada,Books,1985,Unkown,"Peterborough, Ontario",broadviewpress.com,,,100
101,Burns & Oates,-1,United Kingdom,Books,1835,Continuum,London,Not available,69,221,101
102,Continuum International Publishing Group,-1,United Kingdom,Books,1999 (1999),Unkown,"London, New York City",bloomsbury.com,,,102
103,Butterworth-Heinemann,https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Butterworth-Heinemann_logo.jpg/220px-Butterworth-Heinemann_logo.jpg,United Kingdom,Unknown,1990,Elsevier,Oxford,www.elsevier.com/books-and-journals/butterworth-heinemann,,,103
104,Elsevier,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Elsevier_logo_2019.svg/220px-Elsevier_logo_2019.svg.png,Unknown,Unknown,1880; 141 years ago (1880),Unkown,Unknown,Not available,113,406,104
105,Caister Academic Press,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Caister-academic-press.jpg/250px-Caister-academic-press.jpg,United Kingdom,Unknown,1993,Unkown,"Poole, UK",www.caister.com,,,105
106,Cambridge University Press,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Cambridge_University_Press_%26_Assessment_Logo.png/220px-Cambridge_University_Press_%26_Assessment_Logo.png,United Kingdom,Unknown,1534; 487 years ago (1534),University of Cambridge,Cambridge,www.cambridge.org,77,"230,236,237",106
107,Canadian Science Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Canadian_Science_Publishing_Logo.png/220px-Canadian_Science_Publishing_Logo.png,Canada,academic journals,1929,Unkown,Ottawa,cdnsciencepub.com,,,107
108,Candlewick Press,https://upload.wikimedia.org/wikipedia/en/7/78/Candlewick_Press_logo.jpg,United States,Books,1992 (1992),Walker Books Ltd.,"Somerville, Massachusetts",www.candlewick.com,,,108
109,Canongate Books,-1,United Kingdom,Books,1973; 48 years ago (1973),Unkown,Edinburgh,www.canongate.co.uk,,,109
110,Capstone Publishers,-1,United States,Books,Unknown,Coughlan Companies,"Mankato, Minnesota",www.mycapstone.com,,,110
111,Carcanet Press,-1,United Kingdom,Books,1969; 52 years ago (1969),Unkown,Manchester,www.carcanet.co.uk,,,111
112,Carlton Publishing Group,-1,United Kingdom,Books,2019,Unkown,London,www.welbeckpublishing.com,,,112
113,Carnegie Mellon University Press,-1,United States,Books,1973,Carnegie Mellon University,Pittsburgh,www.cmu.edu/universitypress/,,,113
114,Casemate Publishers,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Casemate.jpg/220px-Casemate.jpg,United States of America,Unknown,"Havertown, PA",Unkown,"Havertown, Pennsylvania",www.casematepublishers.com,,,114
115,Cassava Republic Press,-1,Nigeria,Books,2006; 15 years ago (2006),Unkown,Unknown,www.cassavarepublic.biz,,,115
116,Cassell,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/OrionLogo.png/220px-OrionLogo.png,United Kingdom,Books,1991; 30 years ago (1991),Hachette Livre,London,www.orionbooks.co.uk,,,116
117,Cengage,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Cengage_group.jpg/220px-Cengage_group.jpg,United States,"Educational content, technology, and services",2007; 14 years ago (2007),Unkown,Boston,www.cengagegroup.com,,,117
118,Central European University Press,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Logo_of_Central_European_University.svg/250px-Logo_of_Central_European_University.svg.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,118
119,Century,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available,,,119
120,Random House,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available,"17,24,27,83,86,110","58,66,68,75,281,284,296,299,313,374,384",120
121,Chambers,-1,Unknown,Unknown,First publication in 1819,Unkown,Unknown,Not available,,,121
122,Charles Scribner's Sons,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Scribner-building.jpg/220px-Scribner-building.jpg,United States,Books,1846; 175 years ago (1846),Simon & Schuster,"153–157 Fifth Avenue, New York City",scribnerbooks.com,,,122
123,Chatto & Windus,https://upload.wikimedia.org/wikipedia/en/thumb/a/a5/Chatto_%26_Windus_logo.jpg/220px-Chatto_%26_Windus_logo.jpg,United Kingdom,Unknown,1855; 166 years ago (1855),Penguin Random House,"London, England",www.penguin.co.uk/company/publishers/vintage/chatto-windus.html,9,24,123
124,Chronicle Books,https://upload.wikimedia.org/wikipedia/en/5/5e/ChronicleBooks.jpg,United States,Books,1967,McEvoy Group,San Francisco,www.chroniclebooks.com,,,124
125,Churchill Livingstone,-1,Unknown,Books,1971,Elsevier,London,www.elsevierhealth.com,,,125
126,Elsevier,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Elsevier_logo_2019.svg/220px-Elsevier_logo_2019.svg.png,Unknown,Unknown,1880; 141 years ago (1880),Unkown,Unknown,Not available,113,406,126
127,Cisco Press,https://upload.wikimedia.org/wikipedia/commons/2/2a/Cisco_Press_logo.png,United States,Unknown,1996,Pearson Education,"Indianapolis, Indiana",www.ciscopress.com,,,127
128,City Lights Publishers,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/City_Lights_Bookstore.jpg/240px-City_Lights_Bookstore.jpg,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,128
129,Cold Spring Harbor Laboratory Press,-1,USA,Unknown,Unknown,Cold Spring Harbor Laboratory,"Cold Spring Harbor, New York",www.cshlpress.com,,,129
130,Collector's Guide Publishing,-1,Canada,Books,1984,Unkown,"Burlington, Ontario",www.cgpublishing.com,,,130
131,Collins,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com,"51,83,110","169,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,370,377",131
132,Columbia University Press,https://upload.wikimedia.org/wikipedia/en/6/6c/Columbia_University_Press.png,United States,Books,1893,Columbia University,New York City,cup.columbia.edu,"86,112","301,310,396",132
133,Concordia Publishing House,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Concordia_Publishing_House_logo.svg/200px-Concordia_Publishing_House_logo.svg.png,United States,Books,1869,Unkown,"St Louis, Missouri",www.cph.org,,,133
134,Constable & Co Ltd,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Constable_%26_Robinson_Ltd_logo.jpg/200px-Constable_%26_Robinson_Ltd_logo.jpg,United Kingdom,Books,"1999 (Constable & Co. founded 1795, Robinson Publishing Ltd founded 1983)","Little, Brown Book Group",Russell Square,www.constablerobinson.com,,,134
135,Constable & Robinson,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Constable_%26_Robinson_Ltd_logo.jpg/200px-Constable_%26_Robinson_Ltd_logo.jpg,United Kingdom,Books,"1999 (Constable & Co. founded 1795, Robinson Publishing Ltd founded 1983)","Little, Brown Book Group",Russell Square,www.constablerobinson.com,,,135
136,Continuum International Publishing Group,-1,United Kingdom,Books,1999 (1999),Unkown,"London, New York City",bloomsbury.com,,,136
137,Copper Canyon Press,https://upload.wikimedia.org/wikipedia/en/b/be/LogoCCP.png,United States,Books,1972,Unkown,Fort Worden,www.coppercanyonpress.org,,,137
138,Cork University Press,-1,Ireland,Books,1925,University College Cork,Cork,www.corkuniversitypress.com,,,138
139,Cornell University Press,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Cornell-University-Press.png/220px-Cornell-University-Press.png,United States,Books,1869,Cornell University,"Ithaca, New York",www.cornellpress.cornell.edu,,,139
140,Coronet Books,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Coronet_Logo.tif/lossy-page1-200px-Coronet_Logo.tif.jpg,United Kingdom,Unknown,1966,Hodder & Stoughton,"London, England",https://www.hodder.co.uk/imprint/hodder/coronet/page/hs-imprint-coronet/,,,140
141,Hodder & Stoughton,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Hodder_%26_Stoughton_%28logo%29.jpg/200px-Hodder_%26_Stoughton_%28logo%29.jpg,United Kingdom,Unknown,1868; 153 years ago (1868),Hachette,London,hodder.co.uk,,,141
142,Counterpoint,-1,United States,Unknown,2007,Unkown,"Berkeley, California",counterpointpress.com,,,142
143,Craftsman Book Company,https://upload.wikimedia.org/wikipedia/en/thumb/c/cd/Craftsman_Book_Co_Logo.png/220px-Craftsman_Book_Co_Logo.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,143
144,CRC Press,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/CRC_Press_logo.svg/300px-CRC_Press_logo.svg.png,United States,Unknown,1973 (as a publishing house),Taylor & Francis,Boca Raton,crcpress.com,,,144
145,Crown Publishing Group,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/The_Crown_Publishing_Group_logo.png/220px-The_Crown_Publishing_Group_logo.png,United States,Unknown,1933,Random House,New York City,www.crownpublishing.com,,,145
