name,bio
Carmen Conde Abellán,"Carmen Conde Abellán (15 August 1907 – 8 January 1996) was a Spanish poet, narrative writer and teacher. In 1931 she founded the first Popular University of Cartagena, along with her husband Antonio Oliver Belmás. She was also the first woman to become an academic numerary of the Real Academia Española,[1] where she delivered her induction speech in 1979.
"
Timothy Conigrave,"
"
Garrard Conley,"Garrard Conley (born 1984 or 1985[1]) is an American author and LGBTQ activist known for his autobiography Boy Erased: A Memoir, recounting his childhood as part of a fundamentalist family in Arkansas that enrolled him in conversion therapy. The book was adapted for the 2018 film, Boy Erased.
"
Bernard Cooper,"Bernard Cooper is an American novelist and short story writer. He was born on October 3, 1951 in Hollywood, California.
His writing is in part autobiographical and influenced by his own experiences as a gay man.
Bernard Cooper's fiction and essays have received several awards. He has both his BFA and MFA in art from California Institute of the Arts.
"
Dennis Cooper,"[needs update]
"
Copi,"Raúl Damonte Botana (November 20, 1939, Buenos Aires – December 14, 1987, Paris), better known by the nom de plume Copi (French: [kɔpi]; from ""copito de nieve"", Spanish for ""little snowflake""), was an Argentine writer, cartoonist, and playwright who spent most of his career in Paris.
"
Rick Copp,"
"
Steven Corbin,"Steven Corbin (October 3, 1953 – August 31, 1995) was an American writer.[1] He was known for his novel Fragments That Remain, a Lambda Literary Award nominee for Gay Fiction at the 1994 6th Lambda Literary Awards.[2]
"
Jeanne Cordova,"Jeanne Córdova (July 18, 1948 – January 10, 2016) was an American trailblazer of the lesbian and gay rights movement, founder of The Lesbian Tide, and a founder of the West Coast LGBT movement.  Córdova was a second-wave feminist lesbian activist and proud butch.[1][2][3][4]
"
Marie Corelli,"
"
Carl Corley,"Carl Vernon Corley (December 8, 1921 – November 3, 2016) was an American author and illustrator. Beginning in the 1950s, he drew physique art for male beefcake magazines and for sale as posters.  In the 1960s and 1970s, he wrote twenty-two novels of gay male pulp fiction. From the 1970s into the early 1990s, Corley continued to write stories for gay pornography magazines. Corley also has written and illustrated non-erotic projects, including Louisiana history and religious books. Gay historian John Howard, who rediscovered Corley's gay pulp novels in the 1990s, argues that Corley's work ""complicates queer cultural studies by unsettling its urbanist roots."" Corley's texts are not typical stories of gay young men from rural areas finding their ways to sexual liberation in cities, but instead describe ""many complex nodes of circulation, not just aggregation"".[1]
"
Brenda Cossman,"Brenda Cossman (born 1960) is a professor of law at the University of Toronto.[1] She is currently the director at the Mark S. Bonham Centre for Sexual Diversity Studies. In 2012, Cossman was named a Fellow of the Royal Society of Canada.[2]
"
Douglas Coupland,"Douglas Coupland[a] OC OBC (born 1961) is a Canadian novelist, designer, and visual artist. His first novel, the 1991 international bestseller Generation X: Tales for an Accelerated Culture, popularized the terms Generation X and McJob. He has published thirteen novels, two collections of short stories, seven non-fiction books, and a number of dramatic works and screenplays for film and television. He is a columnist for the Financial Times[3] and a frequent contributor to The New York Times, e-flux journal, Dis, and Vice.[4] His art exhibits include Everywhere Is Anywhere Is Anything Is Everything which was exhibited at the Vancouver Art Gallery,[5] and the Royal Ontario Museum and the Museum of Contemporary Canadian Art, (now the Museum of Contemporary Art Toronto)[6] and Bit Rot at Rotterdam's Witte de With Center for Contemporary Art[7] and the Villa Stuck.[8]
"
Dani Couture,"Danielle (Dani) Couture (born 1978) is a Canadian poet and novelist.[1]
"
Noël Coward,"
"
Daniel Allen Cox,"
"
Ivan Coyote,"Ivan E. Coyote (born August 11, 1969 in Whitehorse, Yukon) is a Canadian spoken word performer, writer, and LGBT advocate. Coyote has won many accolades for their collections of short stories, novels, and films. They also visit schools to tell stories and give writing workshops.[1] The CBC has called Coyote a ""gender-bending author who loves telling stories and performing in front of a live audience.""[2] Coyote is non-binary and uses singular they pronouns.[3] Many of Coyote's stories are about gender, identity, and social justice. Coyote currently resides in Vancouver, BC.
"
Caleb Crain,"Caleb Crain is an American writer, who was a Lambda Literary Award nominee in the Gay Fiction category at the 26th Lambda Literary Awards in 2014 for his debut novel Necessary Errors.[1]
"
Hart Crane,"Harold Hart Crane (July 21, 1899 – April 27, 1932) was an American poet. Provoked and inspired by T. S. Eliot, Crane wrote modernist poetry that was difficult, highly stylized, and ambitious in its scope. In his most ambitious work, The Bridge, Crane sought to write an epic poem, in the vein of The Waste Land, that expressed a more optimistic view of modern, urban culture than the one that he found in Eliot's work. In the years following his suicide at the age of 32, Crane has been hailed by playwrights, poets, and literary critics alike (including Robert Lowell, Derek Walcott, Tennessee Williams, and Harold Bloom), as being one of the most influential poets of his generation.[1][2][3]
"
Mark Crawford,"Mark Crawford is a Canadian theatre actor and playwright.[1] He is best known for his 2016 play The Birds and the Bees, one of the most widely-produced new Canadian plays of the 2010s.[2]
"
Quentin Crisp,"
"
Eva Crocker,"Eva Crocker is a Canadian writer based in St. John's, whose debut short story collection Barrelling Forward was published in 2017.[1]
"
Mart Crowley,"
"
Countee Cullen,"Countee Cullen (born Countee LeRoy Porter; May 30, 1903 – January 9, 1946) was an American poet, novelist, children's writer, and playwright, particularly well known during the Harlem Renaissance.[1]
"
Nancy Jo Cullen,"
"
Tom Culligan,"
Tom Culligan (born 1945) is a Canadian entrepreneur and author.[1]
"
Michael Cunningham,"Michael Cunningham (born November 6, 1952)[1] is an American novelist and screenwriter. He is best known for his 1998 novel The Hours, which won the  Pulitzer Prize for Fiction and the PEN/Faulkner Award in 1999. Cunningham is a senior lecturer of creative writing at Yale University.
"
Peter Cureton,"Peter Cureton (1965 – March 2, 1994) was a Canadian actor and playwright.[1] He was best known for his 1993 play Passages, an autobiographical show about living with HIV/AIDS.[2]
"
Jameson Currier,"Jameson Currier (October 16, 1955) is an American novelist, short story writer,[1] poet, critic, journalist, editor, and publisher.
"
Jen Currin,"Jen Currin is an American/Canadian poet and fiction writer. Born and raised in Portland, Oregon, she is currently based in Vancouver, British Columbia and teaches creative writing at Kwantlen Polytechnic University.[1] Her 2010 collection The Inquisition Yours won the Audre Lorde Award for Lesbian Poetry in 2011,[1] and was shortlisted for that year's Lambda Literary Award, Dorothy Livesay Poetry Prize and ReLit Award.[1] Her 2014 collection School was a finalist for the Pat Lowther Award, the Dorothy Livesay Prize, and a ReLit Award.
"
Jean-Paul Daoust,"Jean-Paul Daoust (born January 30, 1946) is a Canadian poet. He won the Governor General's Award for French-language poetry at the 1990 Governor General's Awards for Les Cendres bleues.[1]
"
Jim David,"Jim David is an American stand-up comedian, actor and writer. He is originally from Asheville, North Carolina, and lives in New York City.
"
Christopher Davis,"Christopher Davis (born 1950) is an American writer.[1] He is best known for his HIV/AIDS-themed novels Valley of the Shadow (1988),[2] which was a shortlisted nominee for the Lambda Literary Award for Gay Fiction at the 1st Lambda Literary Awards in 1989,[3] and Philadelphia (1994), a novelization of the 1993 drama film Philadelphia.[1]
"
Tanya Davis,"
"
Amber Dawn,"
"
Samuel R. Delany,"
"
A. M. Dellamonica,"Alyxandra Margaret ""A. M."" Dellamonica (born February 25, 1968)[1] is a Canadian science fiction writer who has published over forty short stories in the field since the 1980s. Dellamonica writes in a number of subgenres including science fiction, fantasy, and alternate history. Their stories have been selected for ""Year's Best"" science fiction anthologies in 2002 and 2007.
"
David Demchuk,"David Demchuk is a Canadian playwright and novelist,[1] who received a longlisted Scotiabank Giller Prize nomination in 2017 for his debut novel The Bone Mother.[2]
"
Joel Derfner,"
"
Augusto D'Halmar,"Augusto Goemine Thomson, who adopted the pseudonym Augusto d’Halmar (April 23, 1882 – January 27, 1950) was a Chilean writer who earned the National Prize for Literature in 1942.
"
Emily Dickinson,"
"
Joe DiPietro,"
"
Thomas Disch,"
"
Farzana Doctor,"
"
John Donne,"
"
Nisa Donnelly,"Nisa Donnelly (November 11, 1950-January 30, 2021) was an American writer.[1] She was most noted for her 1989 novel The Bar Stories: A Novel After All, which won the Lambda Literary Award for Lesbian Fiction at the 2nd Lambda Literary Awards in 1990.[2]
"
Emma Donoghue,"
"
José Donoso,"
"
John Donovan,"John Donovan (1928 - April 29, 1992) was an American writer of young adult literature.[1] He is best known for his 1969 novel I'll Get There. It Better Be Worth the Trip, the first known young adult novel to directly address the subject of homosexuality.[2]
"
H.D.,"
"
Fernand Dorais,"
"
Mark Doty,"
"
Lord Alfred Douglas,"
"
Norman Douglas,"
"
Brian Drader,"Brian Drader (born 1960) is a Canadian stage actor and playwright.[1] He is best known for his plays Prok, about Alfred Kinsey and Clara McMillen,[1] and The Fruit Machine, about the Royal Canadian Mounted Police's controversial 1960s fruit machine project to identify homosexual people.[2]
"
Neal Drinnan,"
"
Daphne du Maurier,"
"
Peter Dubé,"Peter Dubé is a Canadian writer, who has published novels, short stories and essays.[1] Originally from Montreal, he earned an MA from Concordia University's Creative Writing Program.
"
René-Daniel Dubois,"René-Daniel Dubois (born July 20, 1955 in Montreal) is a Québécois playwright and actor.
"
Carol Ann Duffy,"
"
Maureen Duffy,"
"
Stella Duffy,"
"
Robert Duncan,"Robert Edward Duncan (January 7, 1919 – February 3, 1988[1]) was an American poet and a devotee of Hilda ""H.D."" Doolittle and the Western esoteric tradition who spent most of his career in and around San Francisco. Though associated with any number of literary traditions and schools, Duncan is often identified with the poets of the New American Poetry and Black Mountain College. Duncan saw his work as emerging especially from the tradition of Pound, Williams and Lawrence. Duncan was a key figure in the San Francisco Renaissance.
"
Warren Dunford,"Warren Dunford (born 1963) is a Canadian writer, who published three comedic mystery novels in the 1990s and 2000s.[1] All three novels centred on Mitchell Draper, a gay aspiring screenwriter and amateur detective plunged into unusual criminal investigations in the film industries of both Toronto and Hollywood.[1]
"
Paul Dunn,"Paul Dunn is a Canadian playwright and actor.[1] He is most noted as co-creator with Damien Atkins and Andrew Kushnir of The Gay Heritage Project,[2] a theatrical show dramatizing aspects of LGBT history which was shortlisted for the Dora Mavor Moore Award for Outstanding New Play in 2014,[3]
"
Kristyn Dunnion,"Kristyn Dunnion (born August 6, 1969, in Kingsville, Ontario) is a Canadian fiction writer and performance artist.[1] She has published four novels and a short story collection to date. Her short fiction appears in literary journals, including Grain Magazine, The Tahoma Literary Review, and Cosmonauts Avenue, as well as in several anthologies. Dunnion is the 2015 Machigonne Fiction prize winner for the short story, ""Last Call at the Dogwater Inn,"" published in The New Guard Volume V. For several years she performed cabaret shows under the name Miss Kitty Galore, and was the bassist in the all-female heavy metal band Heavy Filth (2008-2011). She currently plays bass in the Toronto-based rock band Bone Donor. Her more recent literary work is aimed at an adult audience, but earlier writing was primarily intended for young adult readers. Her writing incorporates aspects of science fiction, punk culture and horror literature,[2] although she has also published several stories in anthologies of adult erotic literature.
"
Larry Duplechan,"Larry Duplechan (born December 30, 1956 in Los Angeles, California) is an American novelist. He is best known for his novels Blackbird, adapted in 2014 by Patrik-Ian Polk as a film starring Mo'Nique and Isiah Washington,[1] and Got 'til It's Gone, which won an award in the Gay Romance category at the 21st Lambda Literary Awards.[2]
"
Elana Dykewomon,"Elana Dykewomon (born Elana Nachman, October 11, 1949) is a lesbian activist, author, editor and teacher. She is a recipient of the Lambda Literary Award for Lesbian Fiction.
"
Jim Egan,"James Egan (1921 – March 9, 2000) was a Canadian LGBT rights activist, best known for his role in the landmark Supreme Court of Canada case Egan v. Canada.[2] He is considered Canada's first prominent LGBTQ activist, due to his initial period of activism from 1949 to 1964.[1]
"
Bret Easton Ellis,"
"
Guy Édoin,"Guy Édoin is a Canadian film director and screenwriter, whose debut full-length film Wetlands (Marécages) was released in 2011.[1]
"
Chike Frankie Edozien,"
"
Jorge Eduardo Eielson,"
"
Lars Eighner,"
"
Francesca Ekwuyasi,"Francesca Ekwuyasi is a Canadian writer and artist.[1] She is most noted for her debut novel Butter Honey Pig Bread, which was published in 2020.
"
Deborah Ellis,"Deborah Ellis CM OOnt (born August 7, 1960) is a Canadian fiction-writer and activist. Her themes are often concerned with the sufferings of persecuted children in the Third World.
"
Sarah Ellis,"Sarah Ellis (born 19 May 1952) is a Canadian children's writer and librarian. She was born in Vancouver, British Columbia, and attended the University of British Columbia where she received her Bachelor of Arts honours in 1973 and a Master of Library Science in 1975. She also attended the Centre for the Study of Children's Literature, Simmons College in Boston in 1980.[1] She has been a librarian in Toronto and Vancouver. She has also written reviews for Quill and Quire.[2] She teaches writing at the Vermont College of Fine Arts and is a masthead reviewer for The Hornbook.
"
T. S. Eliot,"
"
Gloria Escomel,"Gloria Escomel (born October 15, 1941 in Montevideo, Uruguay) is a Canadian writer.[1] She first moved from Uruguay to France in 1960 to study literature at the Université de Paris,[1] later moving to Canada to pursue her doctorate at the Université de Montréal.[1]
"
Michael Estok,"Michael John Estok (1939–1989) was a Canadian poet.[1] He was best known for his posthumous collection A Plague Year Journal, considered one of the crucial works of HIV/AIDS literature in Canada.[2]
"
Evan Fallenberg,"Evan Fallenberg (born August 8, 1961 in Cleveland, Ohio) is an American-born writer and translator residing in Israel. His debut novel Light Fell, published in 2008, won the Stonewall Book Award[1] and the Edmund White Award, and was a shortlisted Lambda Literary Award nominee for Gay Debut Fiction at the 21st Lambda Literary Awards.[2] His second novel, When We Danced on Water, was published in 2011 by HarperPerennial, and his third, The Parting Gift, by Other Press in 2018.[3] He has also published English translations of several Israeli writers, including Meir Shalev, Hanoch Levin, Ron Leshem and Batya Gur.[4]
"
Sara Farizan,"
"
David B. Feinberg,"David Barish Feinberg (November 25, 1956 – November 2, 1994) was an American writer and AIDS activist.
"
Leslie Feinberg,"
"
Joshua M. Ferguson,"Luna Ferguson is a Canadian filmmaker and LGBTQ activist.[1] Ferguson uses the pronouns they/them.
"
Anderson Ferrell,"Anderson Ferrell is an American novelist. He was the winner of a 1996 Whiting Award for his novel Home for a Day.[1]
"
Robert Ferro,"Robert Ferro (October 21, 1941 – July 11, 1988) was an American novelist whose semi-autobiographical fiction explored the uneasy integration of homosexuality and traditional American upper middle class values.
"
Hubert Fichte,"
"
Edward Field,"
Edward Field (born June 7, 1924) is an American poet and author.
"
Harvey Fierstein,"Harvey Forbes Fierstein (/ˈfaɪərˌstiːn/ FIRE-steen; born June 6, 1954)[1] is an American actor and playwright. He is best known for his theater work in Torch Song Trilogy and Hairspray and movie roles in Mrs. Doubtfire, Independence Day, and as the voice of Yao in Mulan and Mulan II. Fierstein won two Tony Awards, Best Actor in a Play and Best Play, for Torch Song Trilogy. He received his third Tony Award, Best Book of a Musical, for the musical La Cage aux Folles and his fourth, the Tony Award for Best Actor in a Musical, for playing Edna Turnblad in Hairspray.[2] Fierstein also wrote the book for the Tony Award-winning musical Kinky Boots, Newsies, and A Catered Affair. He was inducted into the American Theater Hall of Fame in 2007.[3]
"
Connie Fife,"Connie Fife (1961-2017) was a Cree Canadian poet and editor. She published three books of poetry, and edited several anthologies of First Nations women's writing. Her work appeared in numerous other anthologies and literary magazines.[1]
"
Timothy Findley,"
"
Lois Fine,"Lois Fine is a Canadian playwright. She is most noted for her play Freda and Jem's Best of the Week, which premiered at Buddies in Bad Times in 2014[1] and garnered a Lambda Literary Award nomination in the Drama category at the 29th Lambda Literary Awards in 2017.[2]
"
Larry Fineberg,"Larry Fineberg (born 1945 in Montreal, Quebec) is a Canadian playwright. He is most noted for his 1976 play Eve, an adaptation of Constance Beresford-Howe's novel The Book of Eve which won the Floyd S. Chalmers Canadian Play Award.[1]
"
Ronald Firbank,"
"
Diane Flacks,"
"
Janet Flanner,"
"
Lisa Foad,"Lisa Foad is a Canadian short story writer and journalist.[1] Her debut collection, The Night Is a Mouth, won the 2009 ReLit Award for short fiction,[1] as well as an Honour of Distinction citation from the Writers' Trust of Canada's 2010 Dayne Ogilvie Grant  for an emerging lesbian, gay, bisexual or transgender writer.[2]
"
Waawaate Fobister,"Waawaate Fobister (Anishinaabe) is a Canadian actor, dancer, playwright, choreographer, instructor, producer[1] and storyteller,[2] best known for their semi-autobiographical one-man play, Agokwe.[3]
"
Michael Thomas Ford,"Michael Thomas Ford (born October 1, 1968) is an American author of primarily gay-themed literature.[1] He is best known for his ""My Queer Life"" series of humorous essay collections and for his award-winning novels Last Summer, Looking for It, Full Circle, Changing Tides and What We Remember.
"
E. M. Forster,"
"
Guy Mark Foster,"Guy Mark Foster is an American writer and academic.[1] His short story collection The Rest of Us was a finalist for the Lambda Literary Award for Debut Fiction at the 26th Lambda Literary Awards in 2014.[2]
"
Marion Foster,"Marion Foster was the pen name of Shirley Shea (September 3, 1924 – June 30, 1997), a Canadian broadcaster and mystery novelist.[1]
"
Michel Foucault,"
"
Brian Francis,"Brian Francis (born 1971) is a Canadian writer. His 2004 novel Fruit was selected for inclusion in the 2009 edition of Canada Reads, where it was championed by novelist and CBC Radio One personality Jen Sookfong Lee.[1] It finished the competition as the runner-up, making the last vote against the eventual winner, Lawrence Hill's The Book of Negroes.[2]
"
Judith Frank,"Judith Frank is an American writer and professor.[1][2] She has been a two-time Lambda Literary Award nominee, winning in the Lesbian Debut Fiction category at the 17th Lambda Literary Awards in 2005 for her novel Crybaby Butch,[3] and being a shortlisted nominee in the Gay Fiction category at the 27th Lambda Literary Awards in 2015 for All I Love and Know.[4] She is Jewish.[5]
"
Brad Fraser,"Brad Fraser (born June 28, 1959 in Edmonton, Alberta) is a Canadian playwright, screenwriter and cultural commentator.[1] He is one of the most widely produced Canadian playwrights both in Canada and internationally. His plays typically feature a harsh yet comical view of contemporary life in Canada, including frank depictions of sexuality, drug use and violence.[1]
"
Mary Eleanor Wilkins Freeman,"
"
Alice French,"Alice French (March 19, 1850 – January 9, 1934), better known as Octave Thanet, was an American novelist and short fiction writer.
"
Ladislav Fuks,"Ladislav Fuks (September 24, 1923 in Prague – August 19, 1994 in Prague) was a Czech novelist. He focused mainly on psychological novels, portraying the despair and suffering of people under German occupation of Czechoslovakia.
"
Janine Fuller,"Janine Fuller (born 1958)[1] is a Canadian businessperson and writer. She is the manager of Little Sister's Book and Art Emporium in Vancouver, British Columbia,[2] and is best known for her role as an anti-censorship activist in the bookstore's ongoing battles with Canada Customs, which culminated in the Supreme Court of Canada case Little Sisters Book and Art Emporium v. Canada (Minister of Justice) in 2000.[2][3]
"
Wes Funk,"Wes Funk (February 18, 1969 – October 9, 2015) was a Canadian writer. Based in Saskatoon, Saskatchewan,[2] he published several novels and a chapbook of poetry and short stories, and hosted a weekly television series, Lit Happens, on Shaw TV's services in Saskatchewan.[3]
"
Patrick Gale,"
Patrick Evelyn Hugh Sadler Gale (born 31 January 1962)[1][2] is a British novelist.[3]
"
Federico García Lorca,"
"
Magali García Ramis,"Magali García Ramis (born 1946, Santurce, Puerto Rico) is a Puerto Rican writer.[1]
"
Gustavo Alvarez Gardeazabal,"
"
Nancy Garden,"Nancy Garden (May 15, 1938 – June 23, 2014) was an American writer of fiction for children and young adults, best known for the lesbian novel Annie on My Mind. She received the 2003 Margaret Edwards Award from the American Library Association recognizing her lifetime contribution in writing for teens, citing Annie alone.[1][2]
"
Ken Garnhum,"Ken Garnhum is a Canadian playwright, performance artist and theatrical designer.[1] He is most noted for his performance piece Beuys, Buoys, Boys, which was a shortlisted finalist for the Dora Mavor Moore Award for Outstanding New Play in 1989,[2] and his play Pants on Fire, which won the Floyd S. Chalmers Canadian Play Award in 1995.
"
C. E. Gatchalian,"C.E. ""Chris"" Gatchalian (born June 5, 1974) is a Canadian author who writes in multiple genres. Born in Vancouver, British Columbia to Filipino parents,[1] he holds an MFA in Creative Writing and Theatre from the University of British Columbia.[1] His play Motifs & Repetitions aired on Bravo! (Canada) in 1997 and on the Knowledge in 1998. His other produced plays include Claire, Crossing, Broken and People Like Vince, a play for young audiences about mental health.[1] His latest play, Falling in Time, had its world premiere in Vancouver in November 2011 and was published by Scirocco Drama in 2012. In 2013 he won the Dayne Ogilvie Prize, a prize presented by the Writers' Trust of Canada to an openly LGBT writer.[2] In 2019 his memoir Double Melancholy: Art, Beauty, and the Making of a Brown Queer Man was published by Arsenal Pulp Press.
"
Daniel Gawthrop,"Daniel Gawthrop (born 1963 in Nanaimo, British Columbia) is a Canadian writer and editor.[1] He is the author of five books, most recently The Trial of Pope Benedict and The Rice Queen Diaries. As a journalist he was the original publisher and editor of Xtra! West in Vancouver,[2] and has also contributed to publications including the Vancouver Sun, The Economist, The Georgia Straight, Quill & Quire, Canadian Forum and The Tyee.  He now works as a communications representative for the Canadian Union of Public Employees.[3]
"
Jean Genet,"
"
Stefan George,"Stefan Anton George (German: [ˈʃtɛfan ˈʔantoːn ɡeˈ(ʔ)ɔʁɡə]; 12 July 1868 – 4 December 1933) was a German symbolist poet and a translator of Dante Alighieri, William Shakespeare, Hesiod, and Charles Baudelaire. He is also known for his role as leader of the highly influential literary group called the George-Kreis and for founding the literary magazine Blätter für die Kunst [de] (""Journal for the Arts"").
"
Hyeong-do Gi,"Ki Hyongdo  (The romanization preferred by the author according to LTI Korea[2]) was a modern Korean poet.[3] His posthumously-published collection of poems The Black Leaf in My Mouth (입 속의 검은 잎) has gone through more than 65 printings in the two decades since his death.[4]
"
André Gide,"
"
Sky Gilbert,"Schuyler Lee (Sky) Gilbert Jr. (born December 20, 1952) is a Canadian writer, actor, academic and drag performer. Born in Norwich, Connecticut, he studied theatre at York University in Toronto, Ontario, and at the University of Toronto, before becoming the co-founder and artistic director of Buddies in Bad Times, a Toronto theatre company dedicated to LGBT drama. His drag name is Jane. Gilbert also teaches a course on playwrighting at the University of Guelph.
"
John Gilgun,"John Gilgun (born October 1, 1935 in Malden, Massachusetts)[1] is an American writer.[2] He is best known for his 1989 novel Music I Never Dreamed Of, which was a shortlisted nominee for the Lambda Literary Award for Gay Fiction at the 3rd Lambda Literary Awards in 1990.[3]
"
Allen Ginsberg,"
"
M-E Girard,"M-E Girard is a Canadian writer[1] whose debut young adult novel Girl Mans Up was published in 2016.[2]
"
John Glassco,"John Glassco (December 15, 1909 – January 29, 1981) was a Canadian poet, memoirist and novelist. According to Stephen Scobie, ""Glassco will be remembered for his brilliant autobiography, his elegant, classical poems, and for his translations.""[1] He is also remembered by some for his erotica.
"
Connie Glynn,"
"
Nikolai Gogol,"
"
Michael Golding,"Michael Golding is an American novelist.[1] He is most noted for his 2015 novel A Poet of the Invisible World, which won the Ferro-Grumley Award[2] and was a shortlisted finalist for the Lambda Literary Award for Gay Fiction in 2016.[3]
"
Andrea Goldsmith,"Andrea Goldsmith (born 1950) is an Australian writer and novelist.
"
Agustín Gómez-Arcos,"
"
Ibis Gómez-Vega,"
"
Rigoberto González,"Rigoberto González (born July 18, 1970) is an American writer and book critic. He is an editor and author of poetry, fiction, nonfiction, and bilingual children's books, and self-identifies in his writing as a gay Chicano. His most recent project is The Book of Ruin, a poetry collection. His memoir What Drowns the Flowers in Your Mouth: A Memoir of Brotherhood was a finalist for the National Book Critics Circle Award in Autobiography. He is the 2015 recipient of the Bill Whitehead Award for Lifetime Achievement from the Publishing Triangle,[1] and the 2020 recipient of the PEN/Voelcker Award for Poetry.[2]
"
Brad Gooch,"Brad Gooch (born 1952) is an American writer.
"
Paul Goodman,"
"
Daphne Gottlieb,"Daphne Gottlieb is a San Francisco-based performance poet.
"
Juan Goytisolo,"For decades, my name was more popular in police stations than bookshops, and I do not mean to compliment the literary awareness of Spanish policemen.[2]
"
Judy Grahn,"
"
Camarin Grae,"Camarin Grae is the pen name of Marian Grace (born 1941),[1] an American writer of lesbian-themed science fiction.[2] She has been a three-time Lambda Literary Award nominee: The Secret in the Bird was a Lambda Literary Award for Lesbian Fiction nominee at the 1st Lambda Literary Awards in 1989, Slick was a nominee for Lesbian Mystery at the 3rd Lambda Literary Awards in 1991, and Stranded was nominated for Lesbian Science Fiction, Fantasy or Horror at the 4th Lambda Literary Awards in 1992.
"
R. W. Gray,"Robert (R. W.) Gray is a Canadian writer, filmmaker and academic.
"
Thomas Gray,"
"
Nick Green,"Nick Green is a Canadian actor and playwright.[1] He won the Dora Mavor Moore Award for Outstanding New Play in 2017 for his play Body Politic,[2] a dramatization of the history of the Canadian LGBTQ newsmagazine The Body Politic.[3]
"
Harlan Greene,"Harlan Greene (born June 19, 1953) is an American writer and historian. He has published both fiction and non-fiction works. He won the Lambda Literary Award for Gay Fiction for his 1991 novel What the Dead Remember.
"
Garth Greenwell,"Garth Greenwell (born March 19, 1978) is an American novelist, poet, literary critic, and educator. He has published the novella Mitko (2011) and the novels What Belongs to You (2016) and Cleanness (2020). He has also published stories in The Paris Review[1] and A Public Space and writes criticism for The New Yorker[2] and The Atlantic.[3]
"
Robert Joseph Greene,"
"
Matthew Griffin,"Matthew Griffin is an American writer.[1] His debut novel Hide won the Crook's Corner Book Prize in 2017,[2] and was a shortlisted nominee for the Lambda Literary Award for Gay Fiction at the 29th Lambda Literary Awards.[3]
"
Doris Grumbach,"Doris M. Grumbach (born July 12, 1918) is an American novelist, memoirist, biographer, literary critic, and essayist. She taught at the College of Saint Rose in Albany, New York, the Iowa Writers' Workshop, and American University in Washington, DC, and was literary editor of The New Republic for several years. She has published many novels highlighting and focusing on gay and lesbian characters. For two decades, she and her partner, Sybil Pike, operated a bookstore, Wayward Books, in Sargentville, Maine. She turned 100 in July 2018.[2]
"
Hervé Guibert,"
"
Thom Gunn,"
"
Samra Habib,"
"
Saleem Haddad,"Saleem Haddad (born 1983) is an author, filmmaker and aid worker of Iraqi-German and Palestinian-Lebanese descent, whose debut novel Guapa was published in 2016.[1]
"
Radclyffe Hall,"
"
Richard Hall,"Richard Hall (November 26, 1926 – October 29, 1992), sometimes credited as Richard Walter Hall, was an American novelist, playwright and short story writer.[1]
"
Aaron Hamburger,"Aaron Hamburger (born 1973) is an American writer best known for his short story collection The View from Stalin's Head (2004) and novels Faith for Beginners (2005) and Nirvana Is Here (2019).
"
Jane Eaton Hamilton,"Eaton Hamilton [1] (born July 19, 1954) is a Canadian short story writer, novelist, essayist and poet, who goes by ""Hamilton"", 2021 legal name “Eaton Hamilton"" and uses they/their pronouns.
"
Dena Hankins,"Dena Hankins (born 1975) is an American novelist and short story author, best known for queer and transgender erotic romance. Her short stories have been published in several erotica anthologies, including Best Lesbian Romance of the Year 2015 edited by Radclyffe.
"
Bretten Hannam,"Bretten Hannam is a Canadian screenwriter and film director.[1] They are most noted for their 2015 feature film debut North Mountain, which premiered at the Atlantic Film Festival in 2015 before going into limited commercial release in 2018.[2]
"
Joseph Hansen,"Joseph Hansen (July 19, 1923 – November 24, 2004) was an American crime writer and poet, best known for a series of novels featuring private eye Dave Brandstetter.
"
Robin Hardy,"Robin Clarkson Hardy (July 12, 1952 – October 28, 1995) was a Canadian journalist and author.[1]
"
Bertha Harris,"Bertha Harris (December 17, 1937 – May 22, 2005) was an American lesbian novelist. She is highly regarded by critics and admirers, but her novels are less familiar to the broader public.
"
Michael Harris,"Michael Harris is a Canadian author and journalist. His first book, The End of Absence: Reclaiming What We’ve Lost in a World of Constant Connection won the Governor General's Award for English-language non-fiction at the 2014 Governor General's Awards.[1] It was also long-listed for both the RBC Charles Taylor Prize and the B.C. National Nonfiction Award. The End of Absence is a reported memoir about living through a ""Gutenberg Moment."" It is a portrait of the last generation in history to remember life before the Internet. By describing the constant connectivity of contemporary life, Harris explores the idea that lack and absence are actually human virtues being stripped from us.[2]
"
Adam Haslett,"Adam Haslett (born December 24, 1970) is an American fiction writer and journalist.[1][2][3] His debut short story collection, You Are Not a Stranger Here, and his second novel, Imagine Me Gone, were both finalists for both the Pulitzer Prize and the National Book Award.[2][4] He has been awarded fellowships from the Guggenheim Foundation, the American Academy of Arts and Letters, and the American Academy in Berlin. In 2017, he won the Los Angeles Times Book Prize.[4]
"
Trebor Healey,"Trebor Healey is an American poet and novelist.  He was born in San Francisco, raised in Seattle, and studied English and American Literature at the University of California, Berkeley.  He spent his twenties in San Francisco, where he was active in the spoken word scene of the late 1980s and early 1990s, publishing five chapbooks of poetry as well as numerous poems and short stories in various reviews, journals,[1] anthologies and zines.
"
Scott Heim,"Scott Heim (born 1966) is an American novelist from Hutchinson, Kansas, currently living in Massachusetts. Heim's first novel, Mysterious Skin, was published in 1995.[1]
"
