Name,Lifetime,Nationality,Genre,Notable works,References
Matthew Griffin,,American,novelist,Hide,[204]
Doris Grumbach,b. 1918,American,"novelist, biographer, essayist",Chamber Music,[9]
Hervé Guibert,1955–1991,French,novelist,L'homme blessé (screenplay that he co-wrote),[205]
Thom Gunn,1929–2004,English,poet,The Man with Night Sweats,[9]
Samra Habib,,Canadian,memoirist,We Have Always Been Here,[206]
Saleem Haddad,b. 1983,Kuwaiti-British,novelist,Guapa,[207]
Radclyffe Hall,1880–1943,English,novelist,The Well of Loneliness,[9]
Richard Hall,1926–1992,American,"novelist, short stories, drama, criticism",Couplings,[9]
Aaron Hamburger,b. 1973,American,"novelist, short story writer","The View from Stalin's Head (short story collection), Faith for Beginners (",[109]
Jane Eaton Hamilton,b. 1954,Canadian,"poet, short story writer, memoirist, novelist","Love Will Burst into a Thousand Shapes, Hunger, Body Rain, No More Hurt,Weekend",[208]
Dena Hankins,b. 1975,American,"novelist, short story writer",Blue Water Dreams,[209]
Bretten Hannam,b. ?,Canadian,screenwriter,North Mountain,[210]
Joseph Hansen,1923–2004,American,"novelist, poet",Series of novels featuring private eye Dave Brandstetter,[9]
Robin Hardy,1952-1995,Canadian,"novelist, journalist, founding member of Publishing Triangle","Freelance contributor to The Advocate, Village Voice and Penthouse",[211]
Bertha Harris,b. 1937,American,novelist,Lover,[9]
Michael Harris,b. 1980,Canadian,"non-fiction, young adult literature",The End of Absence: Reclaiming What We've Lost in a World of Constant Connection,[212]
Adam Haslett,b. 1970,American,"novelist, short story writer","You Are Not A Stranger Here, Imagine Me Gone",[213]
Trebor Healey,b. 1962,American,"novelist, poet",Through It Came Bright Colors,[214]
Scott Heim,b. 1969,American,novelist,Mysterious Skin,[39]
Essex Hemphill,1957–1995,American,"poet, activist",Co-founder of Nethula Journal of Contemporary Literature,[78]
Philip Hensher,b. 1965,English,"novelist, critic, journalist",The Mulberry Empire,[215]
John Herbert,1926-2001,Canadian,playwright,Fortune and Men's Eyes,[216]
Catherine Hernandez,b. ?,Canadian,"playwright, novelist",Scarboorough,[217]
Greg Herren,b. ?,American,novelist,Murder in the Rue Chartres,[218]
Patricia Highsmith,1921–1995,American,novelist,The Talented Mr. Ripley,[9]
Scott Hightower,b. 1952,American,poet,Part of the Bargain,[9]
Tomson Highway,b. 1951,Canadian,"novelist, playwright",The Rez Sisters and Dry Lips Oughta Move to Kapuskasing (plays),[6]
Thorn Kief Hillsbery,b. ?,American,novelist,What We Do Is Secret,[109]
Daryl Hine,1936-2012,Canadian,poet,The Carnal and the Crane,[6][9][18]
Hippothales,4th Century B.C.,Athenian,poet,numerous love poems to Lysis,[219]
Guy Hocquenghem,1946–1988,French,theorist,"Homosexual Desire, L'Amour en relief (novel)",[9]
Susan Holbrook,b. ?,Canadian,poet,"Misled, Joy Is So Exhausting, Throaty Wipes",[220]
Andrew Holleran (pseudonym of Eric Garber),b. 1944,American,"novelist, essayist",Dancer from the Dance,[9][39]
Alan Hollinghurst,b. 1954,English,novelist,"The Swimming Pool Library, The Folding Star, The Spell, The Line of Beauty",[39][78]
Ike Holter,b. 1985,American,playwright,"Hit the Wall, Exit Strategy, The Wolf at the End of the Block",[221]
Gerard Manley Hopkins,1844–1889,English,poet,The Habit of Perfection,[9]
Horace,65-8 B.C.,Roman,poet,Odes,[9]
Leah Horlick,b. ?,Canadian,poet,"Riot Lung, For Your Own Good",[222]
Silas House,b. 1971,American,"novelist, journalist",[1]
Stephen Hough,b. 1961,British,"pianist, composer, writer",The Final Retreat
A. E. Housman,1859–1936,English,poet,A Shropshire Lad,[9]
Richard Howard,b. 1929,American,poet,Alone With America,[9]
James Howe,b. 1946,American,children's writer,The Misfits series,[223]
Tanya Huff,b. 1957,Canadian,novelist,Blood Books series,[224]
Langston Hughes,1902–1967,American,poet,The Big Sea,[9]
Jay Hulme,b.1997,British,poet,I Bet I Can Make You Laugh,[225]
Bo Huston,1959-1993,American,"novelist, short stories","Dream Life, The Listener",[226]
Joris-Karl Huysmans,1848–1907,French,novelist,"Against the Grain (À rebours, 1884)",[9]
Maureen Hynes,b. ?,Canadian,poet,Rough Skin poetry(collection),[227]
John Ibbitson,b. 1955,Canadian,"journalist, playwright, children's writer","1812: Jeremy's War, The Landing, The Big Shift: The Seismic Change in Canadian Politics, Business, and Culture and What It Means for Our Future",[228]
Nnanna Ikpo,b. ?,Nigerian,novelist,Fimí Sílẹ̀ Forever,[229]
George K. Ilsley,b. 1958,Canadian,"short stories, novelist","Random Acts of Hatred, ManBug",[172][230]
William Inge,1913–1973,American,playwright,"Come Back, Little Sheba, Picnic",[9]
Malcolm Ingram,b. 1968,Canadian,screenwriter,"Tail Lights Fade, Small Town Gay Bar, Continental",[231]
Juana Inés de la Cruz,1648?-1695,Mexican,"poet, playwright",The Dream,[8]
Christopher Isherwood,1904–1986,English,"novelist, autobiographer","I Am a Camera, Down There on a Visit, A Single Man, Christopher and His Kind",[78]
Arturo Islas,1938–1991,American,writer,The Rain God,[232]
Harish Iyer,b. 1979,Indian,journalist,"Social media writer (blogs, Facebook and Twitter)",[233][234][235]
Tove Jansson,1914–2001,Finnish,"novelist, painter, illustrator, comic strip author",Moomins series,[236]
Derek Jarman,1942–1994,English,author and filmmaker,At Your Own Risk,[9]
Alfred Jarry,1873–1907,French,writer,Ubu Roi,[9]
Sarah Orne Jewett,1849–1909,American,"novelist, short story writer and poet",The Country of the Pointed Firs,[9]
Geraldine Jewsbury,1812–1880,British,"novelist, London literary social figure",Zoe: the History of Two Lives,[237][238][239]
Craig Johnson,b. ?,American,"screenwriter, film director","True Adolescents, The Skeleton Twins",[240]
June Jordan,1936–2002,American,poet,Directed by Desire: Collected Poems,[9]
Konrad Juengling,b. 1987,American,Humor; LGBT activism,Jeb's ABCs,[241]
Amanda Junquera Butler,1898-1986,Spanish,"chronicler, translator, storyteller","Personajes de la Inquisición [Characters of the Inquisition, by William Thomas Walsh], Un hueco en la luz",[242][106]
Claude Jutra,1930-1986,Canadian,screenwriter,"Mon oncle Antoine, Kamouraska",[243]
Karin Kallmaker,b. 1960,American,"romance, erotica, science fiction",Maybe Next Time,[244]
Christopher Kelly,b. ?,American,"novelist, journalist",A Push and a Shove,[245]
Jonathan Kemp,b. 1967,English,novelist,London Triptych,[246]
Randall Kenan,1963–2020,American,writer,"Let the Dead Bury Their Dead, A Visitation of Spirits",[39]
Nina Kennedy,b. 1960,American,"writer, pianist, screenwriter",Practicing for Love: A Memoir,[247][248]
Maurice Kenny,b. 1929,Native American,poet,The Mama Poems,[9]
Jack Kerouac,1922–1969,American,novelist,"On the Road, The Subterraneans",[78]
Gary Kinsman,b. 1955,Canadian,sociologist,The Regulation of Desire: Homo and Hetero Sexualities,[249]
Heinrich von Kleist,1777–1811,Prussian,"poet, dramatist, short story writer, and novelist","The Broken Jug, The Marquise of O, Michael Kohlhaas, Penthesilea, The Prince of Homburg",[9]
Todd Klinck,b. 1974,Canadian,"novelist, journalist, screenwriter","Tacones, Sugar",[250]
Tamai Kobayashi,b. 1965,Canadian,"novelist, short story writer",Prairie Ostrich,[6]
Wayne Koestenbaum,b. 1958,American,poet and cultural critic,The Queen's Throat,[251]
Bernard-Marie Koltès,1948–1989,French,playwright,"La Nuit juste avant les forêts, Dans la solitude des champs de coton",[252]
Bill Konigsberg,b. 1970,American,"sportswriter, young adult literature","Out of the Pocket, Openly Straight",[253]
Greg Kramer,1961–2013,British/Canadian,"novelist, playwright","The Pursemonger of fugu, Hogtown Bonbons",[254]
Larry Kramer,b. 1935,American,"novelist, journalist, playwright","Faggots, The Normal Heart",[78]
Ellen Kushner,b. 1955,American,writer,Thomas the Rhymer,[255]
Tony Kushner,b. 1956,American,playwright,Angels in America: A Gay Fantasia on National Themes,[78]
Mikhail Kuzmin,187?–1936,Russian,writer,The Trout Breaks the Ice,[9]
Lydia Kwa,b. 1959,Singaporean-Canadian,novelist,"This Place Called Absence, The Walking Boy",[6]
Lawrence La Fountain-Stokes,b. 1968,Puerto Rican,"poet, playwright, scholar",Uñas pintadas de azul/Blue Fingernails,[25]
Kama La Mackerel,b. ?,Mauritian-Canadian,poet,ZOM-FAM,[256]
Richard Labonté,b. 1949,Canadian,"literary critic, anthologist",Editor for works like Best Gay Erotica 2005,[257]
Edward A. Lacey,1938–1995,Canadian,poet,"The Delight of Hearts, or What You Will Not Find in Any Book",[6]
Ben Ladouceur,b. 1978,Canadian,poet,Otter,[258]
Jean-Luc Lagarce,1957–1995,French,playwright,Juste la fin du monde,[259]
Selma Lagerlöf,1859–1940,Swedish,"novelist, playwright",Gösta Berling's Saga,[9]
Lori L. Lake,b. 1960,American,novelist,The Gun Series police quadrology,[260]
Kevin Lambert,b. 1992,Canadian,novelist,"Tu aimeras ce que tu as tué, Querelle de Roberval",[261]
Michael Lannan,b. ?,American,screenwriter,Looking,[262]
Benjamin Law,b. 1982,Australian,journalist,"The Family Law, Gaysia",[193]
D. H. Lawrence,1885–1930,English,"novelist, playwright","The Rainbow, Lady Chatterley's Lover",[9]
David Leavitt,b. 1961,American,novelist,The Lost Language of Cranes,[9][39]
Violette Leduc,1907–1972,French,novelist,"La Batarde, Therese and Isabelle",[9]
John Alan Lee,1933–2013,Canadian,sociologist,"The Colours of Love, Getting Sex",[263]
Vernon Lee,1856–1935,French,essayist,[9]
Konstantin Leontiev,1831–1891,Russian,"literary critic, philosopher","The East, Russia, and Slavdom (essay collections)",[264]
Robert Lepage,b. 1957,Canadian,"playwright, screenwriter","The Confessional, Polygraph, Far Side of the Moon",[98]
Douglas LePan,1914–1998,Canadian,poet,"The Wounded Prince, Bright Glass of Memory, Macalister",[18]
Alex Leslie,Canadian,"poet, short story writer","People Who Disappear, The Things I Heard About You",[265]
David Levithan,1972–,American,novelist,Boy Meets Boy,[266]
Matthew G. Lewis,1775–1818,English,novelist,The Monk,[9]
José Lezama Lima,1910–1976,Cuban,novelist,Paradiso,[8][9]
Ali Liebegott,b. 1971,American,poet,"Writer/producer on the acclaimed Amazon original series, Transparent",[267]
Earl Lind,1874–?,American,autobiographer,Autobiography of an Androgyne,[268]
Eddie Linden,b. 1935,British,poet and editor,Hampstead by Night,[269]
Lynette Loeppky,b. ?,Canadian,memoirist,Cease,[270]
Audre Lorde,1934–1992,American,"poet, essayist","Zami: A New Spelling of My Name, Sister Outsider",[9]
Michael Lowenthal,b. 1969,American,novelist,Avoidance,[39][109]
Ed Luce,b. ?,American,graphic novelist,Wuvable Oaf,[271]
Michael Lynch,1944-1991,Canadian,"poet, journalist, academic",These Waves of Dying Friends,[78]
Elizabeth A. Lynn,b. 1946,American,novelist,Chronicles of Tornor,[272]
Ann-Marie MacDonald,b. 1957,Canadian,"playwright, novelist","Goodnight Desdemona (Good Morning Juliet), Fall on Your Knees, The Way the Crow Flies",[98]
Bryden MacDonald,b. 1960,Canadian,playwright,Whale Riding Weather|[273]
Lee MacDougall,b. ?,Canadian,playwright,"High Life, The Gingko Tree",[274]
Daniel MacIvor,b. 1962,Canadian,"playwright, screenwriter","House, Marion Bridge, Weirdos",[184]
John Henry Mackay,1864–1933,Scottish-German,"novelist, philosopher",Die Anarchisten (The Anarchists),[9]
Bennett Madison,b. 1981,American,novelist,Lulu Dark (young adult series),[275]
Gregory Maguire,b. 1954,American,novelist,Wicked: The Life and Times of the Wicked Witch of the West,[276]
Anand Mahadevan,b. 1979,Indian-Canadian,novelist,The Strike,[277]
Louise Maheux-Forcier,b. 1929,Canadian,novelist,"Amadou, Une Forêt pour Zoé",[6]
Klaus Mann,1906–1949,German,"novelist, short story writer",Mephisto (novel),[9]
Thomas Mann,1875–1955,German,"novelist, short story writer, essayist",Death in Venice,[9]
David Charles Manners,b. 1965,English,"novelist, poet",In the Shadow of Crows,[278]
Jaime Manrique,b. 1949,Colombian-American,"poet, journalist","Latin Moon in Manhattan, Eminent Maricones",[8][232]
Blaine Marchand,b. 1949,Canadian,poet,Regular columnist for Ottawa's LGBT newspaper Capital Xtra!,[279]
Jovette Marchessault,1938-2012,Canadian,"novelist, playwright","La Terre est trop courte, Violette Leduc, Le Voyage magnifique d'Emily Carr",[6]
Daphne Marlatt,b. 1942,Canadian,"poet, novelist","Ana Historic, The Given, This Tremor Love Is",[67]
Douglas A. Martin,b. 1973,American,"novelist, poet",Outline of My Lover,[280]
Paula Martinac,b. 1954,American,"novelist, non-fiction","Out of Time, Home Movies",[281]
Richard Mason,b. 1977,South African/British,novelist,The Drowning People,[282]
Blair Mastbaum,b. 1979,American,novelist,"Clay's Way, Us Ones in Between",[109]
Nemir Matos-Cintrón,b. 1949,Puerto Rican,poet,"Las mujeres no hablan asi, A través del aire y del fuego pero no del cristal' ""El arte de morir y La pequeña muerte,""Aliens in NYC.""",[8][25]
F. O. Matthiessen,1902–1950,American,literary critic,American Renaissance,[9]
W. Somerset Maugham,1874–1965,English,"playwright, novelist",Of Human Bondage,[9]
Armistead Maupin,b. 1944,American,novelist,Tales of the City,[9]
Tawiah M'carthy,b. ?,Canadian,playwright,Obaaberima,[283]
Richard McCann,b. 1949,American,"short story writer, poet",Ghost Letters (poetry collection),[109]
Barry McCrea,b. 1974,Irish,"novelist, academic",The First Verse,[109]
Carson McCullers,1917–1967,American,novelist,Reflections in a Golden Eye,[9]
Val McDermid,b. 1955,Scottish,"journalist, crime writer",Lindsay Gordon series and other notable crime series,[284]
Keith McDermott,b. 1953,American,"novelist, playwright",Acqua Calda,[109]
Michael McDowell,1950–1999,American,"novelist, screenwriter",Beetlejuice screenplay and story,[285]
Peter McGehee,1955-1991,American/Canadian,novelist,"Boys Like Us, Sweetheart",[286]
Fiona McGregor,1965-,Australian,"novelist, essayist, critic","Indelible Ink, Strange Museums",[287]
Vestal McIntyre,b. ?,American,short story writer,Lake Overturn,[109]
Terrence McNally,b. 1939,American,playwright,"The Ritz, Love! Valour! Compassion!",[288]
Lída Merlínová,1906-1988,Czech,novelist,Vyhnanci lásky (Exiles of Love),[289]
Mark Merlis,1950-2017,American,novelist,"An Arrow's Flight, American Studies",[290]
James Merrill,1926–1995,American,poet,"The Changing Light at Sandover, A Different Person",[9]
Charlotte Mew,1869–1928,English,poet,The Farmer's Bride (poetry collection),[9]
Shayne Michael,b. ?,Canadian,poet,Fif et sauvage,[291]
Grant Michaels,b. 1947,American,mysteries,"A Body to Dye For, Dead as a Doornail",[151]
Michelangelo,1475–1564,Italian,"artist, poet","Poetry and artistic work such as ""David""",[9]
Stevie Mikayne,b. ?,Canadian,"mystery, children's","UnCatholic Conduct, Illicit Artifacts",[292]
Edna St. Vincent Millay,1892–1950,American,poet,"""Euclid alone has looked on Beauty bare"", ""Renascence"", and ""The Ballad of the Harp-Weaver"" (poems)",[9]
Isabel Miller (pseudonym of Alma Routsong),1924–1996,American,novelist,A Place for Us,[9]
Roswell George Mills,1896-1966,Canadian,"journalist, poet",Les Mouches Fantastiques,[293]
John Milton,1608–1674,English,poet,"Paradise Lost, Paradise Regained",[9]
Yukio Mishima,1925–1970,Japanese,"poet, playwright, novelist",Confessions of a Mask,[9]
Sylvia Molloy,b. 1938,Argentine,essayist and academic,,[8]
Paul Monette,1945–1995,American,"poet, essayist",Borrowed Time,[9]
Carlos Monsiváis,b. 1938,Mexican,"journalist, biographer",Días de guardar,[8]
Shani Mootoo,b. 1957,Canadian,novelist,"Cereus Blooms at Night, Moving Forward Sideways Like a Crab",[294]
Cherríe Moraga,b. 1952,Chicana,"poet, essayist, playwright",Loving in the War Years,[8][22]
Ethan Mordden,b. 1949,American,"novelist, essayist","""Buddies"" cycle of novels",[295]
César Moro,1903–1956,Peruvian,poet,La tortuga ecuestre,[8]
Erwin Mortier,b. 1965,Belgian,"novelist, poet, essayist, translator",While the Gods Were Sleeping,[296]
Erín Moure,b. 1955,Canadian,poet,"Furious, O Cidadan, Little Theatres",[220]
Cherry Muhanji,b. 1939,American,"novelist, poet",Her,[297]
Manuel Mujica Láinez,1910–1984,Argentine,"novelist, essayist",Glosas castellanas,[8]
Mirjam Müntefering,b. 1969,German,novelist,Welche Farbe auch immer oder das Blaue Gefühl,[298]
Hasan Namir,b. 1987,Canadian,novelist,God in Pink,[299]
Nathanaël (Nathalie Stephens),b. 1971,Canadian,poet,"The Middle Notebooks, Touch to Affliction",[220]
Michael Nava,b. 1954,American,mystery novels,"How Town, The Hidden Law, The Death of Friends, The Burning Plain, and Rag and Bone",[8]
Abdi Nazemian,b. 1977,Iranian/American,"novelist, screenwriter","The Walk-In Closet, The Quiet",[300]
Frances Negrón-Muntaner,b. 1966,Puerto Rican,filmmaker,Brincando el charco: Portrait of a Puerto Rican,[8][25]
Luis Negrón,b. 1970,Puerto Rican,short stories,Mundo Cruel,[301]
Patrick Ness,b. 1971,American,novelist,"Chaos Walking, Monsters of Men, A Monster Calls",[302]
Anaïs Nin,1903–1977,French,diarist,"Delta of Venus, Little Birds",[9]
Salvador Novo,1904–1974,Mexican,poet,Romance de Angelillo y Adela,[8]
Katia Noyes,b. ?,American,writer,Crashing America,[303]
Achy Obejas,b. 1956,Cuban/American,writer and translator,Memory Mambo,[8]
Frank O'Hara,1926–1966,American,poetry,Lunch Poems,[9]
Joe Okonkwo,b. ?,American,novelist,Jazz Moon,[304]
Jamie O'Neill,b. 1962,Irish,novelist,"At Swim, Two Boys",[305]
Joe Orton,1933–1967,English,playwright,Loot,[9]
Lawrence O'Toole,b. ?,Canadian,"film critic, memoirist","Heart's Longing: Newfoundland, New York and the Distance Home",[306]
Wilfred Owen,1893–1918,English,poet,"""Anthem for Doomed Youth"" (poem)",[9]
John Palmer,1943-2020,Canadian,"playwright, screenwriter","A Touch of God in the Golden Age, Sugar",[98]
Morris Panych,b. 1952,Canadian,playwright,"Girl in the Goldfish Bowl, The Ends of the Earth",[307]
Arleen Paré,b. 1946,Canadian,"poet, novelist","Paper Trails, Leaving Now, Lake of Two Mountains",[308]
Sophia Parnok,1885–1933,Russian,poet,"Алмаст (Almast, (libretto)",[9]
Pier Paolo Pasolini,1922–1975,Italian,"novelist, playwright","Ragazzi di vita, Una vita violenta",[9]
Benito Pastoriza Iyodo,b. 1954,Puerto Rican,"poet, narrator, essayist",Cartas a la sombra de tu piel,[309]
Walter Pater,1839–1894,British,"novelist, essayist, literary critic","The Renaissance (1873), Marius the Epicurean (1885)",[9]
Fiona Patton,b. 1962,Canadian,novelist,The Branion Realm (book series),[224]
Robert Patrick,b. 1937,American,playwright,"Kennedy's Children, Camera Obscura",[9]
Karleen Pendleton Jiménez,b. 1971,American/Canadian,memoirist,How to Get a Girl Pregnant,[310]
Sandro Penna,1906–1977,Italian,poet,This Strange Joy,[9]
Cristina Peri Rossi,1830-1894,English,poet,La nave de los locos,[311]
Néstor Perlongher,1949–1992,Argentine,poet,Prosa plebeya,[8]
Fernando Pessoa,1888–1935,Portuguese,"poet, literary critic","Mensagem, The Book of Disquiet",[9]
Petronius,ca 27-66,Roman,novelist,The Satyricon,[9]
Edward O. Phillips,1931-2020,Canadian,novelist,"Sunday's Child, Buried on Sunday",[312]
Katherine Philips,1632–1664,English,poet,"Translator of Pierre Corneille's Pompée and Horace,",[9]
Leah Lakshmi Piepzna-Samarasinha,b. 1975,Canadian,poet,Love Cake (poetry collection),[258]
János Pilinszky,1921–1981,Hungarian,poet,Nagyvárosi ikonok,[313]
Sarah Pinder,b. ?,Canadian,poet,"Cutting Room, Common Place",[314]
Virgilio Piñera,1912–1979,Cuban,"poet, novelist, playwright",Rene's Flesh,[8]
Jean-Paul Pinsonneault,1923-1978,Canadian,"novelist, dramatist",Les terres sèches,[95]
Alejandra Pizarnik,1936–1972,Argentine,poet,"Los trabajos y las noches, Extracción de la piedra de la locura and El infierno musical",[8]
David Plante,b. 1940,American,novelist,"Francoeur Trilogy--The Family, The Country and The Woods",[39]
August von Platen,1796–1835,Bavarian,poet,Gedichte,[9]
Plato,427-327 B.C.,Greek,philosopher,Symposium,[9]
Casey Plett,b. ?,Canadian,short stories,A Safe Girl to Love,[265]
William Plomer,1903–1973,South African,"novelist, poet",Literary editor for Faber and Faber,[9]
Plutarch,ca 46-ca 120,Greek,"historian, biographer, essayist",Parallel Lives,[9]
Craig Poile,b. ?,Canadian,poet,True Concessions,[315]
Sydney Pokorny,1965–2008,American,journalist,So You Want to be a Lesbian?,[316]
Sarah Ponsonby,1755–1831,Anglo-Irish,writer,"Known as one of the ""Ladies of Llangollen""",[9]
Ljuba Prenner,1906–1977,Slovenian,"novelist, dramatist","Neznani storilec (The Unknown Perpetrator, first crime novel of Slovenia); Bruc: roman neznanega slovenskega študenta (Freshman: The Novel of an Unknown Slovene Student, an autobiographical novel which explores the fluidity of sexual identity in the interwar period)",[317][318][319]
John Preston,1945–1994,American,"novelist, editor",I Once Had a Master,[39]
Edward Irenaeus Prime-Stevenson,1858-1942,American,"novelist, journalist","Imre: a Memorandum, The Intersexes, Left to Themselves: Being the Ordeal of Philip and Gerald, White Cockades",[9]
Marcel Proust,1871–1922,French,"novelist, essayist",A la recherche du temps perdu (In Search of Lost Time),[9]
Manuel Puig,1932–1990,Argentine,novelist,Kiss of the Spider Woman,[8][9]
Yair Qedar,b. 1969,Israeli,"journalist, screenwriter",Gay Days,[320]
Andy Quan,b. 1969,Canadian,"poetry, short fiction, non-fiction","Calendar Boy, Six Positions",[321]
Carol Queen,b. 1958,American,"non-fiction, erotica",Real Live Nude Girl: Chronicles of Sex-Positive Culture,[322]
Sina Queyras,b. 1963,Canadian,poetry,"Autobiography of Childhood, Lemon Hound, Expressway",[323]
D. Michael Quinn,1944–2021,American,historian,Same-Sex Dynamics Among Nineteenth-Century Americans: A Mormon Example,[324]
Cheryl Rainfield,b. 1972,Canadian,"novels, short stories",Scars,[325]
David Rakoff,1964-2012,Canadian,humorist,"Fraud, Don't Get Too Comfortable",[326]
Ahmad Danny Ramadan,b. 1984,Syrian-Canadian,"novelist, short stories","Death and Other Fools, Aria, The Clothesline Swing",[327]
Manuel Ramos Otero,1948–1990,Puerto Rican,"poet, writer",The Story of the Woman of the Sea,[8][25]
James Randi,b. 1928,Canadian,scientific skeptic,"An Encyclopedia of Claims, Frauds, and Hoaxes of the Occult and Supernatural",[328]
Lev Raphael,b. 1954,American,"novelist, short stories, memoir, mysteries","Dancing on Tisha B'Av, Winter Eyes",[329]
Ian Iqbal Rashid,b. 1971,Tanzanian/Canadian,"screenwriter, poet",Touch of Pink,[330]
David Rayside,b. 1947,Canadian,political scientist,On the Fringe: Gays and Lesbians in Politics,[331]
John Rechy,b. 1934,American,fiction,City of Night,[8][232]
Riley Redgate,b. ?,American,young adult fiction,"Seven Ways We Lie, Note Worthy, Final Draft",[332]
Paul Reed,1956-2002,American,"fiction, memoir, erotica","Facing It, Longing",[329]
Raziel Reid,b. 1990,Canadian,young adult fiction,When Everything Feels Like the Movies,[333]
Steven Reigns,b. 1975,American,poet,"Inheritance, The Gay Rub, In The Room, and 3-Pack Jack (poetical works)",[334]
Mary Renault,1905–1983,English,fiction,"The Charioteer, The Last of the Wine",[9]
Glen Retief,b. ?,South African/American,memoirist,The Jack Bank,[335]
Josine Reuling,1899-1961,Dutch,writer,Terug naar het eiland,[336]
Gerard Reve,1923-2006,Dutch,writer,"Op weg naar het einde, Nader tot U",[9]
Nina Revoyr,b. 1969,American,novelist,Southland,[337]
Shane Rhodes,b. ?,Canadian,poetry,"Holding Pattern, The Bindery",[315]
Christopher Rice,b. 1978,American,author,"The Heavens Rise, The Vines",[338]
Adrienne Rich,1929-2012,American,poetry,"The Dream of a Common Language, Diving into the Wreck",[9]
Christopher Richards,b. 1961,Canadian,playwright,Molly Wood,[339]
Bill Richardson,b. 1955,Canadian,humorist,Bachelor Brothers' Bed and Breakfast,[160]
Nancy Richler,b. 1957,Canadian,novelist,"Your Mouth Is Lovely, The Impostor Bride",[340]
Arthur Rimbaud,1854–1891,French,poetry,A Season in Hell,[9]
Keith Ridgway,b. 1965,Irish,novelist,The Long Falling,[341]
Mireya Robles,b. 1934,Cuban,writer,Tiempo artesano. Barcelona: Campos,[8]
Sophie Robinson,b. 1985,English,poet,a,[342]
Robert Rodi,b. 1956,American,writer,"Codename: Knockout, Kept Boy",[343][344]
Nelson Rodrigues,1912–1980,Brazilian,"writer, playwright",Vestido de Noiva,[8]
Paul Rogers,1936-1984,American,novelist,Saul's Book,[345]
Ned Rorem,b. 1923,American,composer,The Paris Diary of Ned Rorem,[9]
Mark Brennan Rosenberg,b. ?,American,comedy,Blackouts and Breakdowns,[346]
Sinclair Ross,1908-1996,Canadian,novelist,As For Me and My House,[347]
Jeffrey Round,b. ?,Canadian,mystery,A Cage of Bones,[348]
Andrea Routley,b. ?,Canadian,short stories,Jane and the Whales,[349]
Michael Rowe,b. 1962,Canadian,journalist,"Writing Below the Belt: Conversations with Erotic Authors, Other Men's Sons",[350]
André Roy,b. 1944,Canadian,poet,"Action writing, Monsieur désir",[6]
Shawn Stewart Ruff,b. 1959,American,"novelist, editor","Finlater, GJS II, Go the Way Your Blood Beats",[351]
Muriel Rukeyser,1913–1980,American,poetry,The Book of the Dead,[9]
Jane Rule,1931–2007,American/Canadian,"novels, non-fiction",Desert of the Heart,[9]
Joanna Russ,b. 1937,American,science fiction,The Female Man,[9][352]
Paul Russell,b. 1956,American,novels,"The Coming Storm, The Unreal Life of Sergey Nabokov",[353]
Elizabeth Ruth,b. 1968,Canadian,novelist,"Ten Good Seconds of Silence, Smoke, Matadora",[354]
Patrick Ryan,b. 1965,American,"short story writer, novelist","The Dream Life of Astronauts, Send Me",[109]
Geoff Ryman,b. 1951,Canadian/British,science fiction/fantasy,"Lust, The Unconquered Country",[355]
Rami Saari,b. 1963,Israeli,poet,"Behold, I've Found My Home, Men at the Crossroad, Introduction to Sexual Linguistics",[356]
Umberto Saba,1883–1957,Italian,"poet, novelist",Songbook,[9]
Vita Sackville-West,1892–1962,British,novelist,The Land,[9]
Marquis de Sade,1740–1814,French,"novelist, philosopher, playwright","The 120 Days of Sodom, Justine, Philosophy in the Bedroom, Juliette",[9]
Benjamin Alire Sáenz,b. 1954,American,novelist,Everything Begins and Ends at the Kentucky Club,[357]
Assotto Saint,1957-1994,American,"poet, essayist, playwright","Wishing for Wings, Spells of a Voodoo Doll",[358]
Trish Salah,b. ?,Canadian,poet,Wanting in Arabic,[220]
George Santayana,1863–1952,Spanish-American,"novelist, poet, philosopher",The Realms of Being,[9]
Mayra Santos-Febres,b. 1966,Puerto Rican,"novelist, poet, literary critic",Sirena Selena,[359]
Sappho,ca 630? B.C.,Greek,poet,"""Ode to Aphrodite"" (poem)",[9]
Severo Sarduy,1937–1993,Cuban,"poet, playwright",Cobra,[8]
Frank Sargeson,1903–1982,New Zealander,short story writer,A Man and his Wife (short story collection),[9]
May Sarton,1912–1995,Belgian-American,"poet, novelist, memoirist","Plant Dreaming Deep, Journal of a Solitude, The House by the Sea, Recovering and At Seventy",[9]
Dan Savage,b. 1964,American,"journalist, editor","Advice column Savage Love, Skipping Towards Gomorrah: The Seven Deadly Sins and the Pursuit of Happiness in America",[360][361][362][363][364]
Gail Scott,b. 1945,Canadian,"novelist, essayist","My Paris, The Obituary, Biting the Error",[6][67]
Sarah Schulman,b. 1958,American,"novelist, historian, playwright","Stagestruck: Theater, AIDS, and the Marketing of Gay America",[9]
V. E. Schwab,b. 1987,American,novelist,Shades of Magic series,[365]
Gregory Scofield,b. 1966,Canadian,poet,"The Gathering: Stones for the Medicine Wheel, Native Canadiana: Songs from the Urban Rez, Thunder Through My Veins",[366]
Manda Scott,b. 1962,Scottish,novelist,Hen's Teeth,[367]
Sarah Scott,1723–1795,English,novelist,A Description of Millenium Hall and the Country Adjacent,[9]
David Sedaris,b. 1956,American,"essayist, short story writer",Naked (essay collection),[368]
Shyam Selvadurai,b. 1965,Sri Lankan-Canadian,novelist,Funny Boy,[6]
