name,bio
Michael Lowenthal,"Michael Lowenthal is an American fiction writer,  of four novels, most recently The Paternity Test, (University of Wisconsin Press, 2012). Currently an instructor of creative writing at , he has been the recipient of fellowships from the  and Wesleyan writers' conferences, the Massachusetts Cultural Council, the New Hampshire State Council on the Arts, and the Hawthornden International Retreat for Writers. His short stories have appeared in literary journals and magazines including The Kenyon Review, Tin House, and Esquire.
"
Ed Luce,"Ed Luce is an  cartoonist, best known for his  series . The series focuses on Oaf Jadwiga, a  gay ex-wrestler looking for love. Originally funded by a grant from , it was self-published in five standalone chapters until being compiled in  form by  in 2015.
"
Michael Lynch,"Michael Lynch (1944 – July 9, 1991) was an American-born  professor, journalist, and activist, most noted as a pioneer of  in Canadian academia and as an important builder of many significant  and  organizations in .
"
Elizabeth A. Lynn,"Elizabeth A. Lynn (born 1946) is a US writer most known for  and to a lesser extent .  She is particularly known for being one of the first writers in science fiction or fantasy to introduce gay and lesbian characters; in honor of Lynn, the widely known California and New York-based chain of LGBT bookstores  took its name from her novel. She is a recipient of the .
"
Ann-Marie MacDonald,"
"
Bryden MacDonald,"Bryden MacDonald (born October 30, 1960 in , ) is a  playwright.
"
Lee MacDougall,"Lee MacDougall is a  actor, writer and theatre director. Originally from , , he studied at the  and  before launching his career as an actor.
"
Daniel MacIvor,"Daniel MacIvor (born July 23, 1962) is a  , , , and . He is probably best known for his acting roles in  and the  .
"
John Henry Mackay,"
"
Bennett Madison,"Bennett Madison (born March 28, 1981) is an American .
"
Gregory Maguire,"
"
Anand Mahadevan,"
"
Louise Maheux-Forcier,"Louise Maheux-Forcier (June 9, 1929 – February 5, 2015) was a  author.
"
Klaus Mann,"
"
Thomas Mann,"
"
David Charles Manners,"David Charles Manners (born 1965) is a  writer published in four languages.  He is a representative for the charity Diversity Role Models, and the co-founder of ,  a charity that provides medical care, education and human contact to socially excluded individuals and communities on the Indian subcontinent, most of whom are affected by the stigma of .
"
Jaime Manrique,"Jaime Manrique (born 16 June 1949) is a bilingual  novelist, poet, essayist, educator, and translator.
"
Blaine Marchand,"Blaine Marchand (born 1949 in , ) is a Canadian writer. Marchand has published poetry, non-fiction and a novel.
"
Jovette Marchessault,"Jovette Marchessault (French: ) (February 9, 1938 – December 31, 2012) was a Canadian writer and artist from , who worked in a variety of literary and artistic domains including , , ,  and . An important pioneer of  and  literature and art in Canada, many of her most noted works were inspired by other real-life women in literature and art, including ,  and , ,  and .
"
Daphne Marlatt,"Daphne Marlatt, born Buckle,  (born July 11, 1942 in , ), is a Canadian  and novelist who lives in , .
"
Douglas A. Martin,"Douglas A. Martin (born September 29, 1973) is an American poet, a novelist and a short story writer.
"
Paula Martinac,"
"
Richard Mason,"
"
Blair Mastbaum,"Blair Mastbaum is an American  and a former model who lives in .
"
Nemir Matos-Cintrón,"Nemir Matos-Cintrón is a Puerto Rican author who resides in . She has published several books of poetry and parts of a novel. She has openly thematized her  in much of her work.
"
F. O. Matthiessen,"Francis Otto Matthiessen (February 19, 1902 – April 1, 1950) was an educator, scholar and literary critic influential in the fields of  and .  His best known work, American Renaissance: Art and Expression in the Age of Emerson and Whitman, celebrated the achievements of several 19th-century American authors and had a profound impact on a generation of scholars. It also established  as the common term to refer to American literature of the mid-nineteenth century. Matthiessen was known for his support of liberal causes and progressive politics. His contributions to the  community have been memorialized in several ways, including an endowed visiting professorship.
"
W. Somerset Maugham,"
"
Armistead Maupin,"
"
Tawiah M'carthy,"Tawiah Ben M'Carthy is a -born  actor and playwright. He is best known for his 2012 play Obaaberima, a one-man play about growing up  in Ghana.
"
Richard McCann,"Richard John McCann was a writer of fiction, nonfiction, and poetry. He lived in Washington, D.C., where he was a longtime professor in the MFA Program in Creative Writing at American University.
"
Barry McCrea,"Barry McCrea (born 15 October 1974) is an  writer and academic.  He grew up in , , and was educated at the  , and  (1993–1997) where he studied French and Spanish literature. He received a Ph.D. from  in 2004.  He taught Comparative Literature at , where he was appointed full professor in 2012.  He is currently professor of literature at the .
"
Carson McCullers,"
"
Val McDermid,"
"
Keith McDermott,"Keith McDermott (born September 28, 1953) is an American actor, theater director, and writer.
"
Michael McDowell,"Michael McEachern McDowell (June 1, 1950 – December 27, 1999) was an American  and  described by author  as ""the finest writer of paperback originals in America today"". His best-known work is the screenplay for the  film .
"
Peter McGehee,"Peter Gregory McGehee (October 6, 1955 – September 13, 1991) was an American-born Canadian novelist, dramatist and short story writer.
"
Fiona McGregor,"
"
Vestal McIntyre,"Vestal McIntyre is an  currently based in the UK. He was born in , and educated at , Massachusetts. His first collection of short stories, You Are Not the One, was published by the independent Scottish publisher  in 2006. His follow-up book, Lake Overturn, was published in 2009, and won the  and the .
"
Terrence McNally,"
"
Lída Merlínová,"
"
Mark Merlis,"Mark Merlis (March 9, 1950 – August 15, 2017) was an American writer and health policy analyst.
"
James Merrill,"James Ingram Merrill (March 3, 1926 – February 6, 1995) was an American poet.  He was awarded the  for poetry in 1977 for . His poetry falls into two distinct bodies of work: the polished and formalist lyric poetry of his early career, and the epic narrative of occult communication with spirits and angels, titled  (published in three volumes from 1976 to 1980), which dominated his later career. Although most of his published work was poetry, he also wrote essays, fiction, and plays.
"
Charlotte Mew,"
"
Shayne Michael,"Shayne Michael is a  (Maliseet) poet from . He is most noted for his 2020 poetry collection Fif et sauvage, which was the winner in the French poetry category at the 2021 .
"
Grant Michaels,"Grant Michaels is the pen name of Michael Mesrobian (1947 – July 2, 2009), an  writer of . He published six novels with  in the 1990s, centering on Stan Kraychik, a  hairdresser turned amateur detective. All six novels were shortlisted  finalists in the Gay Mystery category.
"
Michelangelo,"
"
Stevie Mikayne,"Stevie Mikayne is a  writer of . She is a two-time  nominee in the Lesbian Mystery category, for UnCatholic Conduct at the  and for Illicit Artifacts at the .
"
Edna St. Vincent Millay,"
"
Isabel Miller,"
"
Roswell George Mills,"Roswell George Mills (1896 - 1966) was a  journalist, poet and magazine publisher. A friend and colleague of poet , he is the first known  man in Canadian history whose life and sexual orientation is attested through biographical literature rather than court records of a  trial.
"
John Milton,"
"
Yukio Mishima,"
"
Sylvia Molloy,"Sylvia Molloy (born 19 August 1938) is an  professor, author, editor and essayist based in New York. She was one of the pioneers in dealing with LGBT culture issues in her literary works and in studying autobiography as a genre.
"
Paul Monette,"
"
Carlos Monsiváis,"Carlos Monsiváis Aceves (May 4, 1938 – June 19, 2010) was a   writer, critic,  , and journalist. He also wrote political opinion columns in leading newspapers    within the country's  sectors. His generation of writers includes , , and . Monsiváis won more than 33 awards, including the 1986 Jorge Cuesta Prize (named after a fellow writer about whom he wrote a book), the 1989 Mazatlán Prize, and the 1996 . Considered a leading intellectual of his time, Monsiváis documented contemporary Mexican themes, values, class struggles, and  in his essays, books and . He was a staunch critic of the long-ruling  (PRI), leaned towards the , and was ubiquitous in disseminating his views on radio and television. As a founding member of ""Gatos Olvidados"", Monsiváis wanted his and other ""forgotten cats"" to be provided for beyond his lifetime.
"
Shani Mootoo,"Shani Mootoo, writer, visual artist and video maker, was born in , Ireland, in 1957 to  parents. She grew up in Trinidad and relocated at the age of 19 to , , Canada. She currently lives in , , Canada.
"
Cherríe Moraga,"
"
Ethan Mordden,"Ethan Mordden (born 1947) is a prolific American  and musical theater researcher.
"
César Moro,"
"
Erwin Mortier,"
"
Erín Moure,"
"
Cherry Muhanji,"Cherry Muhanji is the  of Jeannette Delaine Washington (born April 26, 1939 in , ), an American writer.
"
Manuel Mujica Láinez,"
"
Mirjam Müntefering,"Mirjam Müntefering (born  January 29, 1969 in , ) is a   and a .
"
Hasan Namir,"Hasan Namir (born 1987) is an Iraqi-Canadian writer, whose  God in Pink won the  for  at the .
"
Nathanaël,"Nathanaël (born 1970 in ) is a  writer, literary translator and educator. Some of her works have been published under her  Nathalie Stephens. She lives in .
"
Michael Nava,"Michael Angel Nava (born September 16, 1954 in ) is an American attorney and writer. He has worked on the staff for the , and ran for a Superior Court position in 2010.  He authored a ten-volume mystery series featuring Henry Rios, an openly gay protagonist who is a criminal defense lawyer. His novels have received six  and critical acclaim in the  and Latino communities.
"
Abdi Nazemian,"Abdi Nazemian is an - author, screenwriter, and producer whose  The Walk-In Closet won the  for  at the  in 2015.
"
Frances Negrón-Muntaner,"Frances Negrón-Muntaner  (born 1966) is a  filmmaker, writer, and scholar. Her work is focused on a comparative exploration of coloniality, primarily in Puerto Rico and the United States, with special attention given to the intersections between race, ethnicity, gender, sexuality and politics.  She is an associate professor of English and Comparative Literature and Director of the Center for the Study of Ethnicity and Race at  in New York City. She has also contributed to the Huffington Post, El Diario/La Prensa, and 80 Grados, and since 2008 has served as a Global Expert for the United Nations Rapid Response Media Mechanism. She is one of the best-known Puerto Rican  artists currently living in the United States.
"
Luis Negrón,"Luis Negrón (born 1970 in , ) is a  writer.
"
Patrick Ness,"
"
Anaïs Nin,"Angela Anaïs Juana Antolina Rosa Edelmira Nin y Culmell (February 21, 1903 – January 14, 1977) (, French: ), was a --American diarist, essayist, novelist and writer of short stories and . Born to Cuban parents in France, Nin was the daughter of composer  and Rosa Culmell, a classically trained singer. Nin spent her early years in  Spain and Cuba, about sixteen years in  (1924–1940), and the remaining half of her life in the United States, where she became an established author.
"
Salvador Novo,"
"
Katia Noyes,"Katia Noyes is an American author whose works have appeared in many publications and anthologies. Her , Crashing America, was a  Notable Book in 2005, and was chosen as one of the Ten Best Gay/Lesbian Books of 2005 by Amazon.com and the UK's Rainbow Network.
"
Achy Obejas,"Achy Obejas (born June 28, 1956) is a  writer and translator focused on personal and national identity issues, living in . She frequently writes on her sexuality and nationality, and has received numerous awards for her creative work. Obejas' stories and poems have appeared in , , , Another Chicago Magazine and many other publications. Some of her work was originally published in , a Latina lesbian magazine published and edited by , which gave voice to the Latina lesbian community. Obejas worked as a journalist in  for more than two decades. For several years, she was also a writer in residence at the University of Chicago, University of Hawaii, DePaul University, Wichita State University, and Mills College in Oakland, California. She is currently a writer/editor for Netflix on the bilingual team in the Product Writing department.
"
Frank O'Hara,"Francis Russell ""Frank"" O'Hara (March 27, 1926 – July 25, 1966) was an American writer, poet, and art critic. A curator at the , O'Hara became prominent in . O'Hara is regarded as a leading figure in the , an informal group of artists, writers, and musicians who drew inspiration from , , , , and contemporary  art movements.
"
Joe Okonkwo,"Joe Okonkwo is an  writer, whose debut novel Jazz Moon won the  and was shortlisted for the , in 2017.
"
Jamie O'Neill,"
"
Joe Orton,"
"
Lawrence O'Toole,"Lawrence O'Toole is a  former journalist, best known as a film, dance and theatre critic for  and  in the 1970s and 1980s. After moving to  in 1988, he was a contributor to , ,  and , and volunteered for an . In 1994, he published Heart's Longing: Newfoundland, New York and the Distance Home, a memoir of his experience growing up in , coming out as  as an adult, and later returning to his hometown of  for a visit. The book was an expansion of an article he had previously written for .
"
Wilfred Owen,"
"
John Palmer,"John Palmer (May 13, 1943 – May 15, 2020) was a   and  director and playwright.
"
Morris Panych,"Morris Stephen Panych (born 30 June 1952) is a  ,  and .
"
Arleen Paré,"Arleen Lyda Paré (born 1946) is a  writer. She has published three collections of poetry and two novels to date.
"
Sophia Parnok,"
"
Pier Paolo Pasolini,"
"
Benito Pastoriza Iyodo,"Benito Pastoriza Iyodo is an author of poetry, poetics, fiction and literary articles. The themes of his literary works include: man's evolution from childhood to adulthood, examination of self, the precipices of culture and its rituals, violence in the cities, examination of stereotypes, the constructs of communication, gender roles and sexuality, education systems and racism, exploitation and the manifestation of exclusion through political and economic powers.
"
Walter Pater,"
"
Fiona Patton,"
"
Robert Patrick,"Robert Patrick (born September 27, 1937) is an American , , , short story writer, and . He was born Robert Patrick O'Connor in .
"
Karleen Pendleton Jiménez,"Karleen Pendleton Jiménez is an American-Canadian writer and academic. She is best known for her 2000 book Are You a Boy or a Girl?, a  finalist which was adapted into the 2008 film , and her 2011 memoir How to Get a Girl Pregnant, a  finalist.
"
Sandro Penna,"Sandro Penna (June 12, 1906 – January 21, 1977) was an  .
"
Cristina Peri Rossi,"Cristina Peri Rossi is a  , , , and author of .
"
Néstor Perlongher,"Néstor Osvaldo Perlongher (, 24 December 1949 - , 26 November 1992)  was an   and .
"
Fernando Pessoa,"
"
Petronius,"
"
Edward O. Phillips,"Edward Openshaw Phillips (November 26, 1931 - May 30, 2020) was a Canadian novelist, who has written both  and mainstream literary fiction. He was best known for his mystery novel series featuring  detective Geoffrey Chadwick.
"
Katherine Philips,"
"
Leah Lakshmi Piepzna-Samarasinha,"Leah Lakshmi Piepzna-Samarasinha (born April 21, 1975 in ) is a  and -based , writer, educator and . Her writing and performance art focuses on documenting the stories of  and  , abuse survivors, mixed-race people and diasporic South Asians and Sri Lankans. A central concern of her work is the interconnection of systems of colonialism, abuse and violence.
"
János Pilinszky,"János Pilinszky (25 November 1921 in  – 27 May 1981 in Budapest) was one of the greatest Hungarian poets of the 20th century.
"
Sarah Pinder,"Sarah Pinder is a  poet.
"
Virgilio Piñera,"Virgilio Piñera Llera (, August 4, 1912 – , October 18, 1979) was a  author, , , short story writer, and essayist.
"
Jean-Paul Pinsonneault,"Jean-Paul Pinsonneault (1923 - 1978) was a  writer, who won the  and the  in 1964 for his novel Les terres sèches. He also published the plays Cette terre de faim, Electre and Terre d'aube, and the novels Jérôme Aquin, Le mauvais pain and Les abîmes de l'aube.
"
Alejandra Pizarnik,"Flora Alejandra Pizarnik (April 29, 1936 – September 25, 1972) was an  poet. Her idiosyncratic and thematically introspective poetry has been considered ""one of the most unusual bodies of work in "", and has been recognized and celebrated for its fixation on ""the limitation of language, silence, the body, night, the nature of intimacy, madness, [and] death"".
"
David Plante,"David Robert Plante (born March 4, 1940  in ) is an American , diarist, and memoirist. The son of Albina Bisson and Aniclet Plante, he is of both  and  descent. He is a graduate of  and the . He has been published extensively including in  and  and various literary magazines. He is a fellow of the . Among his honours are: Henfield Fellow, University of East Anglia, 1975; British Arts Council Grant, 1977; Guggenheim Fellowship, 1983; , 1983. He is an Ambassador for the  Committee of the . His voluminous diary is kept in the Berg Collection of the New York Public Library. His papers are kept in the library of The University of Tulsa, Oklahoma. He is a retired professor of creative writing at . His novels examine the spiritual in a variety of contexts, but notably in the milieu of large, working-class, Catholic families of French Canadian background. His male characters range from   to sexually ambiguous and .
"
August von Platen,"Karl August Georg Maximilian  von Platen-Hallermünde (24 October 1796 – 5 December 1835) was a   and . In German he mostly is called  () Platen.
"
Plato,"
"
Casey Plett,"Casey Plett (born June 20, 1987) is a Canadian writer.
"
William Plomer,"
"
Plutarch,"
"
Craig Poile,"Craig Poile is a  poet, who won the  in 2010 for his collection True Concessions. He was also a shortlisted nominee for the  in 1999 for his debut collection First Crack, and for an  in 2010 for True Concessions.
"
Sydney Pokorny,"Sydney Pokorny (23 December 1965 – 1 September 2008) was a  writer, editor, columnist and activist based in . She graduated from  in 1988 with a degree in art history. The author of numerous articles on topics ranging from """" to art criticism and the  epidemic; she also cowrote the  nominated So You Want to be a Lesbian? with Liz Tracey.
"
Sarah Ponsonby,"
"
Ljuba Prenner,"
"
John Preston,"John Preston (December 11, 1945 in  – April 28, 1994 in ) was an author of gay erotica and an  of gay  .
"
Edward Irenaeus Prime-Stevenson,"
"
Marcel Proust,"
"
Manuel Puig,"Juan Manuel Puig Delledonne (December 28, 1932 – July 22, 1990), commonly called Manuel Puig, was an  author. Among his best-known novels are  (, 1968), Boquitas pintadas (, 1969), and El beso de la mujer araña (, 1976) which was adapted into  released in 1985, directed by the Argentine-Brazilian director ; and  in 1993.
"
Yair Qedar,"Yair Qedar (: יאיר קדר‎, born June 13, 1969 in Afula, Israel) is an   and a civil-rights activist. His academic training on 20th-century Hebrew literature (Tel Aviv University), propelled him into The Hebrews — a documentary project on the Hebrew and Jewish literary canon, centered on filmic portraits of Hebrew writers from the 17 century to recent days. 16 feature length documentary films were made in the project so far. The documentary films which Qedar produced - and directed with other 10 Israeli film directors - all premiered in film festivals, aired on Israeli TV, circulated far and wide in hundreds of cinemas, cinematheques, community and cultural centers, in Israel and around the world (United States and Canada, Europe, Australia and Russia) earning 14 awards -Special Mention in Haifa film festival 2018 - Jury comments: ""A unique project of artistic and historical value that wonderfully preserves via documentary films, literary and poetic pearls, some of which, unfortunately, are becoming extinct."", and 2016: first prize for filmmaking in the field of Jewish culture by the ministry of Education in Israel, 2015: the Hebrews films won the prize for best television project in the Israeli Documentary competition). The project, both digital and print, offers altogether e14 documentary films, a video archive and several books. In 2019, Docaviv festival held a special retrospective for the Hebrews films, alongside Van Leer institute in Jerusalem, the Jewish Museum in Berlin as well as other institutions.
"
Andy Quan,"Andy Quan (born 7 July 1969), is a   who now lives in , . In his writing, he frequently explores the ways in which  and  interact. Quan is  .
"
Carol Queen,"Carol Queen (born 1957) is an American author, editor, sociologist and  active in the  movement. Queen is a two time Grand Marshal of San Francisco LGBTQ Pride. Queen has written on  in books such as Real Live Nude Girl: Chronicles of Sex-Positive Culture. She has written a sex tutorial, Exhibitionism for the Shy: Show Off, Dress Up and Talk Hot, as well as , such as the novel The Leather Daddy and the Femme. Queen has produced adult movies, events, workshops and lectures. Queen was featured as an instructor and star in both installments of the  series about female-to-male , or . She has also served as editor for compilations and anthologies. She is a sex-positive sex educator in the United States.
"
Sina Queyras,"Sina Queyras is a Canadian writer. To date they have published seven collections of poetry, a novel and an essay collection.
"
D. Michael Quinn,"
"
Cheryl Rainfield,"Cheryl Rainfield (born August 19, 1972) is a Canadian author. She is an  and  survivor. She battled with abuse by reading numerous books, and by writing and creating art during her early life which opened doors for her as an escape. She is an active  and a . Her favourite pastime is reading. She is a passionate reader, and enjoys writing and creating art. She lives with her dog, Petal, and her cat, Amazon. She currently resides in Toronto, Ontario.
"
David Rakoff,"
"
Ahmad Danny Ramadan,"Danny Ramadan (formerly Ahmad Danny Ramadan, born 31 May 1984) is a - award-winning novelist, public speaker, and  activist who was born in , . Ramadan's work focuses on themes of immigration, identity, diaspora and belonging. His debut novel, The Clothesline Swing, won multiple awards. Currently, Ramadan lives in ,  with his husband.
"
Manuel Ramos Otero,"Manuel Ramos Otero (July 20, 1948 – October 7, 1990) was a . He is widely considered to be the most important   twentieth-century Puerto Rican writer who wrote in Spanish, and his work was often controversial due to its sexual and political content. Ramos Otero died in , , due to complications from .
"
James Randi,"
"
Lev Raphael,"Lev Raphael (born May 19, 1954) is an  writer of  heritage. He has published work in a variety of genres, including literary fiction, murder mysteries, fantasy, short stories, memoir and non-fiction, and is known for being one of the most prominent  figures in contemporary . He is one of the first American-Jewish writers to publish fiction about children of Holocaust survivors, beginning to do so in 1978.
"
Ian Iqbal Rashid,"
"
David Rayside,"
"
John Rechy,"John Francisco Rechy (born March 10, 1931) is an American novelist, essayist, memoirist, dramatist and literary critic. In his novels, he has written extensively about  in Los Angeles and wider America, among other subject matter, and is among the pioneers of modern . , his  published in 1963, was a best seller. Drawing on his own background, he has contributed to  literature, notably with his novel The Miraculous Day of Amalia Gomez, which has been taught in several  courses throughout the United States.
"
Riley Redgate,"Riley Redgate is the  of Ríoghnach Robinson (), an American  of .
"
Paul Reed,"Paul Reed (May 28, 1956 – January 28, 2002) was an American writer, best known as one of the first major writers of -themed literature in the United States.
"
Raziel Reid,"Raziel Reid is a Canadian writer, whose debut   won the  at the . The novel, inspired in part by the 2008 murder of gay teenager , was published by  in 2014. Its launch was marked with a national book tour with , who was simultaneously promoting her new book She of the Mountains.
"
Steven Reigns,"Steven Reigns (born 1975) is an  ,  and  known for his poetry publications, his work as West Hollywood's first City Poet, his participatory art projects, his LGBT activism, and his scholarly work on .
"
Mary Renault,"
"
Glen Retief,"
Glen Retief is a  writer who won a  in 2012 for his memoir The Jack Bank: A Memoir of a South African Childhood.
The Jack Bank was also an Africa Book Club Book of 2011.
"
Josine Reuling,"
"
Gerard Reve,"
"
Nina Revoyr,"
"
Shane Rhodes,"Shane Rhodes is a .
"
Christopher Rice,"Christopher Travis Rice (born March 11, 1978) is an American author. Rice made his fiction debut in 2000 with the bestselling A Density of Souls, going on to write many more novels including The Snow Garden, The Heavens Rise, The Vines, as well as the Burning Girl series. His work spans multiple genres, including suspense, crime, supernatural thriller, and erotic romance. With his mother , he is the co-author of the - novels  and its sequel, Ramses the Damned: The Reign of Osiris. 
"
Adrienne Rich,"Adrienne Cecile Rich (; May 16, 1929 – March 27, 2012) was an American poet, essayist and . She was called ""one of the most widely read and influential poets of the second half of the 20th century"", and was credited with bringing ""the oppression of women and lesbians to the forefront of poetic discourse"". Rich criticized rigid forms of feminist identities, and valorized what she coined the ""lesbian continuum"", which is a female continuum of solidarity and creativity that impacts and fills women's lives.
"
Christopher Richards,"
"
Bill Richardson,"
Bill Richardson (born 1955 in , ) is a Canadian radio broadcaster and author.
"
Nancy Richler,"
"
Arthur Rimbaud,"
"
Keith Ridgway,"Keith Ridgway (born 2 October 1965) is an Irish novelist. An author, he has been described as ""a worthy inheritor"" of ""the modernist tradition in Irish fiction.""
"
Mireya Robles,"Mireya Robles (born 1934) is a Cuban  and literary critic.
"
Sophie Robinson,"
Sophie Robinson (born 1985) is an English poet and teacher.
"
Robert Rodi,"Robert Rodi (born 1956 in ) is an American , , , essayist, and .
"
Nelson Rodrigues,"Nelson Falcão Rodrigues (August 23, 1912 – December 21, 1980) was a  ,  and . In 1943, he helped usher in a new era in Brazilian theater with his play Vestido de Noiva (The Wedding Dress), considered revolutionary for the complex exploration of its characters' psychology and its use of colloquial dialogue. He went on to write many other seminal plays and today is widely regarded as Brazil's greatest playwright.
"
Paul Rogers,"Paul T. Rogers was an  writer. His sole published novel Saul's Book, an account of the  underground  scene in , was the winner of 's Editors' Book Award in 1981. The award, presented to unpublished manuscripts of quality which had been rejected by commercial publishers, included the novel's publication by Pushcart, which released Saul's Book in 1982; a paperback edition by  followed in 1984. The novel had been rejected by 10 publishing companies before coming to Pushcart's attention.
"
Ned Rorem,"Ned Rorem (born October 23, 1923) is an American composer and . He won a  for Music in 1976 for his .
"
Mark Brennan Rosenberg,"Mark Brennan Rosenberg is an   author and comedian based in .  He is the author of two books: Blackouts and Breakdowns - released on August 24, 2011, and Eating My Feelings: Tales of Overeating, Underperforming, and Coping with My Crazy Family - released on August 6, 2013 through . Rosenberg's writings and commentary focus on the issues that affect the , , , and  ; particularly alcohol addiction and substance abuse, which he discusses heavily in his first book. Rosenberg has been  since 2008. He is currently a contributor for . Rosenberg toured the country promoting his first book Blackouts and Breakdowns in 2012, and again promoting his second book, Eating My Feelings, in late 2013. Rosenberg's first novel This Made Me Think of You was released on April 5, 2016. It follows a couple's breakup over the course of a year solely through their social media, text and email exchanges.
"
Sinclair Ross,"James Sinclair Ross,  (January 22, 1908 – February 29, 1996) was a Canadian banker and author, who wrote novels and short fiction about life on the . He is best known for his first novel, .
"
Jeffrey Round,"Jeffrey Round is a Canadian writer, director, playwright, publisher, and songwriter, who has encouraged the development of LGBT literature, particularly in Canada. His published work includes literary fiction, plays, poetry and .
"
Andrea Routley,"Andrea Routley is a  writer. Her short story collection Jane and the Whales was a finalist for the  for  at the  in 2014.
"
Michael Rowe,"Michael Rowe (born September 9, 1962) is a Canadian writer, journalist, novelist and anthologist.  He has written for numerous publications in Canada and the United States including the , , The United Church Observer,  and .
"
André Roy,"André Roy (born February 27, 1944) is a Canadian poet and arts critic from . He won the  in 1985 for Action writing and was a shortlisted nominee for the award on three other occasions.
"
Shawn Stewart Ruff,"
"
Muriel Rukeyser,"
"
Jane Rule,"Jane Vance Rule, ,  (28 March 1931 – 27 November 2007) was an American writer of -themed works. Her first novel, , appeared in 1964, when gay activity was still a criminal offence. It turned Rule into a reluctant media celebrity, and brought her massive correspondence from women who had never dared explore lesbianism. Rule became an active anti-censorship campaigner, and served on the executive of the Writers' Union of Canada.
"
Joanna Russ,"
"
Paul Russell,"Paul Russell is an , poet and short story writer. He is a two-time winner of the  for  fiction, in 2000 for  and in 2012 for The Unreal Life of Sergey Nabokov. The Unreal Life of Sergey Nabokov is a fictionalized portrayal of a real person - , the gay younger brother of Russian novelist , about whom very little concrete biographical information is known.
"
Elizabeth Ruth,"Elizabeth Ruth (born 1968) is a Canadian novelist.
"
Patrick Ryan,"Patrick Eugene Ryan (born 1965) is an American novelist and short story writer. His books include The Dream Life of Astronauts and Send Me, as well as three novels for young adults: Saints of Augustine, In Mike We Trust, and Gemini Bites.
"
Geoff Ryman,"
"
Rami Saari,"Rami Saari (: רמי סערי‎; b. 17 September 1963, , ) is an  poet, translator, linguist and literary critic.
"
Umberto Saba,"
"
Vita Sackville-West,"
"
Marquis de Sade,"
"
Benjamin Alire Sáenz,"Benjamin Alire Sáenz (born August 16, 1954) is an American poet, novelist, and writer of .
"
Assotto Saint,"Assotto Saint (October 2, 1957 - June 29, 1994) was a -born  poet, publisher and performance artist, who was a key figure in  and  art and literary culture of the 1980s and early 1990s.
"
Trish Salah,"Trish Salah is an  poet, activist, and academic. She is the author of the poetry collections, Wanting in Arabic, published in 2002 by  and Lyric Sexology Vol. 1, published by Roof Books in 2014. An expanded Canadian edition of Lyric Sexology, Vol. 1 was published by Metonymy Press in 2017.
"
George Santayana,"Jorge Agustín Nicolás Ruiz de Santayana y Borrás, known in English as George Santayana (; December 16, 1863 – September 26, 1952), was a , , , and . Originally from Spain, Santayana was raised and educated in the US from the age of eight and identified himself as an American, although he always retained a valid . At the age of 48, Santayana left his position at  and returned to Europe permanently.
"
Mayra Santos-Febres,"
"
Sappho,"
"
Severo Sarduy,"Severo Sarduy (February 25, 1937 – June 8, 1993) was a  , author, playwright, and critic of Cuban literature and art. Some of his works deal explicitly with male  and .
"
Frank Sargeson,"
"
May Sarton,"
"
Dan Savage,"
"
Gail Scott,"Gail Scott (born 1945) is a  novelist, short story writer, essayist and translator, best known for her work in  forms such as  and . She was a major contributor to 1980s Québécoise feminist language theory, known as écriture au féminin, which explores the relationship between language, bodies, and feminist politics. Many of her novels and stories deal with fragmentation in time, in subjects, and in narrative structures.
"
Sarah Schulman,"Sarah Miriam Schulman (born July 28, 1958) is an American novelist, playwright, nonfiction writer, screenwriter, , and  historian. She is a Distinguished Professor of the Humanities at  (CSI) and a Fellow at the . She is a recipient of the .
"
V. E. Schwab,"Victoria (V. E.) Schwab (born July 7, 1987) is an American  author best known for her 2013 novel , the Shades of Magic series, , and her  and  books published under the name Victoria Schwab.
"
Gregory Scofield,"Gregory Scofield (born July 20, 1966 in , ) is a  Métis poet, beadwork artist, dramatist and non-fiction writer. He is a graduate of the Gabriel Dumont Institute Native Human Justice Program. His written and performance art draws on  story-telling traditions. He has published two instruction books on doing Métis flower-beadwork for the Gabriel Dumont Institute.
"
Manda Scott,"
"
Sarah Scott,"
"
David Sedaris,"
"
Shyam Selvadurai,"
"
Maurice Sendak,"
"
Anna Seward,"
"
Ken Shakin,"Ken Shakin (born 1959 in ) is a writer of underground .
"
Merry Shannon,"Merry Shannon is an American author. She writes lesbian romance/adventure novels and short stories published by .
"
Bradford Shellhammer,"
"
Lorimer Shenher,"Lorimer Shenher is a  writer and former police officer. The former head of the Missing Persons Unit of the , he is most noted for his 2015 non-fiction book Lonely Section of Hell: The Botched Investigation of a Serial Killer Who Almost Got Away, about the regulatory and bureaucratic failures that hampered his investigation of serial killer . The book was a shortlisted finalist for the  and the  in 2015.
"
Reginald Shepherd,"Reginald Shepherd (April 10, 1963 – September 10, 2008) was an , born in  and raised in the . He died of cancer in , in 2008.
"
Randy Shilts,"
"
Vivek Shraya,"Vivek Shraya (born February 15, 1981) is a Canadian , writer, and . She currently lives in , , where she is an assistant professor in the creative writing program at University of Calgary.
"
jaye simpson,"jaye simpson is an - writer from Canada, most noted as a shortlisted finalist for the  for LGBTQ Canadian writers in 2021.
"
Andy Sinclair,"Andy Sinclair is a Canadian writer, whose  Breathing Lessons was a shortlisted nominee for the  for  at the .
"
Edith Sitwell,"
"
